layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.002019941806793213,0.0014629364013671875,950.2706978730537,0.16089942998036322,1339.471923828125,487.4712829589844,10.408676147460938,75.48384094238281,17.41252326965332,68.70152282714844,0.9756932854652405,941.7528076171875,0.26980653405189514,"2871,2650,3303,891,162,2646,565,1669,194,3608,2333,2082,4055,133,2877,87",619.5711059570312,,,,,0,6.109378814697266,33.73992919921875,11.167448997497559,32.61261749267578,"0.076,0.076,2.246,0.755,0.364,0.214,0.003,0.001",467.9175720214844,794.7615356445312,"199.7,199.7,13.59,1624,766.9,825,84.53,30.41",7.356321811676025,6.428199768066406,"7.341,7.341,0.472,8.447,8.172,10.29,8.182,8.606","1.461,1.461,0.3215,3.968,4.587,2.752,0.344,0.1658","5.31,5.31,0.2145,4.568,7.608,5.951,6.72,7.361",295,0.053765829652547836,39,0.0357990600168705,"2871,2650,1421,1669,1727,663,3303,3183",2.1512632369995117,0.2159423828125,0.1527099609375,"5.69,5.32,3.6,3.62,3.66,2.84,5.24,3.28","4.41,3.91,2.17,1.77,1.53,1.5,1.49,1.37","-0.68,-0.5,0.246,-0.0957,-0.369,0.133,0.633,-0.119","-0.777,-0.583,0.388,0,-0.388,0.194,0.583,-0.194","-0.777,-0.429,0.27,-0.105,-0.316,0.126,0.542,-0.109",0.6796875,0.7767857313156128,1,1.0636171102523804,0.10051991045475006
0,k_proj,gptq,1024,4096,0,0.001981496810913086,0.0014295578002929688,645.3360712951354,0.21003388039510185,869.18701171875,287.89776611328125,7.066387176513672,31.490705490112305,12.076112747192383,29.340911865234375,0.9756932854652405,639.6832885742188,0.3025350570678711,"2871,2650,3303,891,2646,565,162,194,1669,4055,3608,1384,87,2082,2535,2333",619.5711059570312,,,,,0,4.439606666564941,17.386571884155273,7.661008834838867,12.628612518310547,"0.072,0.072,2.468,1.118,0.719,0.295,0.004,0.001",467.9175720214844,794.7615356445312,"199.7,199.7,13.59,1624,766.9,825,84.53,30.41",7.356321811676025,6.428199768066406,"7.341,7.341,0.472,8.447,8.172,10.29,8.182,8.606","1.396,1.396,0.2674,3.379,3.857,2.274,0.2554,0.126","5.217,5.217,0.1702,3.196,4.55,4.187,3.989,4.502",807,0.03845715895295143,807,0.0491701103746891,"2871,2650,1421,1669,1727,663,3303,3183",2.074444532394409,0.3121337890625,0.17041015625,"3.33,2.97,1.92,2.37,2.55,2.29,5.17,1.61","4.41,3.91,2.17,1.77,1.53,1.5,1.49,1.37","-0.508,-0.486,0.322,-0.221,-0.508,0.225,0.57,-0.13","-0.593,-0.593,0.395,-0.198,-0.593,0.198,0.593,-0.198","-0.435,-0.417,0.29,-0.29,-0.435,0.193,0.489,-0.124",0.69140625,0.5926339626312256,6,0.7564249634742737,1.0090208053588867
0,v_proj,gptq,1024,4096,0,0.002020597457885742,0.0014452934265136719,5.566054409942602,0.025187679532943284,18.83628273010254,17.309249877929688,0.06223400682210922,0.4557614326477051,0.07114314287900925,0.34673574566841125,0.9756932854652405,5.39703369140625,0.06996660679578781,"2871,2650,891,565,2646,194,1669,162,2333,3608,1384,87,133,2082,4055,2304",619.5711059570312,,,,,0,0.02342061698436737,0.14943663775920868,0.042478229850530624,0.15382176637649536,"0.222,0.222,0.626,0.316,0.261,0.111,0.010,0.005",467.9175720214844,794.7615356445312,"199.7,199.7,13.59,1624,766.9,825,84.53,30.41",7.356321811676025,6.428199768066406,"7.341,7.341,0.472,8.447,8.172,10.29,8.182,8.606","0.08374,0.08374,0.02479,0.2944,0.2065,0.2022,0.04202,0.02707","0.1776,0.1776,0.03134,0.5239,0.404,0.6061,0.4127,0.395",607,0.016964251175522804,274,0.0106129739433527,"2871,2650,1421,1669,1727,663,3303,3183",1.0245177745819092,0.56689453125,0.865478515625,"0.0385,0.056,0.114,0.0868,0.0676,0.0885,0.0404,0.158","4.41,3.91,2.17,1.77,1.53,1.5,1.49,1.37","0.00032,0.00135,0.000847,-0.00433,-0.00421,-0.00328,-4.05e-05,-0.00854","0,0,0,0,-0.00715,0,0,-0.00715","0,0,0,-0.00774,-0.00774,0,0,-0.00861",0.046630859375,0.04703511670231819,1,0.026900872588157654,0.007421186193823814
0,o_proj,gptq,4096,4096,0,0.0021165013313293457,0.00146484375,59.65751432924665,0.05067597686924661,146.73712158203125,75.33885192871094,0.004876228980720043,0.013926109299063683,0.007227151654660702,0.010481208562850952,0.6731289029121399,59.53438186645508,0.11998458951711655,"272,386,3129,1311,314,1341,285,1289,383,372,511,357,263,1297,258,413",82.78096008300781,,,,,0,0.0017833004239946604,0.004426950588822365,0.0040150792337954044,0.004507100209593773,"0.115,0.115,0.247,0.427,1.114,0.891,0.257,0.271",1222.88525390625,6172.0712890625,"109.5,109.5,463,362.9,5880,985.1,1130,742.9",0.45366063714027405,0.493638277053833,"0.3566,0.3566,0.2476,0.3554,0.4624,0.407,0.769,0.6748","0.01687,0.01687,0.01726,0.0327,0.067,0.0515,0.05429,0.04734","0.04982,0.04982,0.03476,0.05004,0.06348,0.05458,0.1071,0.09086",133,0.060036078095436096,3231,0.012638822197914124,"2468,313,387,131,3,357,1102,1358",0.6065562963485718,0.353912353515625,0.355560302734375,"0.758,0.661,0.517,0.421,0.538,0.597,0.637,0.468","0.246,0.082,0.0811,0.0796,0.0669,0.0615,0.0596,0.0593","-0.00769,0.0493,0.0175,0.0308,-0.00153,-0.00677,-0.114,-0.0403","0,0.116,0,0,0,0,-0.138,0","0,0.0558,0,0.0227,0,0,-0.109,-0.0522",0.40625,0.3482142984867096,4,0.016416940838098526,0.002149867359548807
0,gate_proj,gptq,14336,4096,0,0.0020525966371808734,0.0015177556446620397,248.33262029980506,0.025588178258592855,836.6077880859375,604.8531494140625,5.056848526000977,11.153928756713867,9.083444595336914,11.410764694213867,0.6440908908843994,248.21359252929688,0.04621567204594612,"1856,1669,2082,3488,2461,689,29,2888,607,199,3261,2283,3485,2871,3303,541",15.7964506149292,,,,,0,2.9917526245117188,6.481204986572266,5.8098859786987305,5.291626930236816,"0.040,0.040,0.744,1.129,1.425,0.413,0.145,0.139",2197.14599609375,4324.21484375,"206.6,206.6,1571,7578,4713,2211,643.9,447.3",6.458932876586914,5.767764091491699,"7.425,7.425,4.314,7.86,5.256,7.171,6.604,5.617","0.5692,0.5692,1.466,3.197,2.462,1.791,0.9919,0.8145","2.858,2.858,1.7,3.008,2.063,2.789,2.602,2.184",5163,0.004976969212293625,378,0.005992259364575148,"2871,417,2978,1262,3183,1759,1319,3096",0.10437851399183273,0.3763863742351532,0.3629935383796692,"1.63,1.43,1.5,1.44,1.65,1.47,1.46,1.52","0.691,0.688,0.66,0.613,0.605,0.586,0.555,0.547","0.0635,0.0156,0.0432,0.0273,-0.00543,0.02,0.0043,-0.0135","0.0575,0,0.0575,0.0575,0,0,0,0","0.0578,0.0202,0.0472,0.0234,0,0.0338,0,-0.0222",0.201171875,0.1724330484867096,2,0.1736891269683838,0.014364568516612053
0,up_proj,gptq,14336,4096,0,0.0020540612084524973,0.0015425852366856166,196.10109764609933,0.02406080397333541,682.0814819335938,491.18487548828125,4.225664138793945,8.98464584350586,7.2442169189453125,9.130302429199219,0.6440908908843994,196.01309204101562,0.03824283555150032,"1856,1669,3488,2082,2461,2888,689,29,199,3485,2871,2283,3522,3303,3261,541",15.7964506149292,,,,,0,2.433166980743408,5.165304183959961,4.597245216369629,4.218681335449219,"0.043,0.043,0.687,1.176,1.357,0.430,0.159,0.152",2197.14599609375,4324.21484375,"206.6,206.6,1571,7578,4713,2211,643.9,447.3",6.458932876586914,5.767764091491699,"7.425,7.425,4.314,7.86,5.256,7.171,6.604,5.617","0.5347,0.5347,1.254,2.954,2.141,1.62,0.9068,0.7535","2.572,2.572,1.513,2.723,1.838,2.47,2.273,1.935",3190,0.0017053812043741345,8800,0.0012954098638147116,"2871,417,2978,1262,3183,1759,1319,3096",0.0944419577717781,0.3748953938484192,0.3938685953617096,"1.41,1.39,1.18,1.37,1.05,1.4,1.39,1.21","0.691,0.688,0.66,0.613,0.605,0.586,0.555,0.547","-0.0114,-0.00397,-0.00674,-0.00308,0.00766,-0.0171,0.0148,-0.00775","0,0,0,0,0,-0.0239,0.0239,-0.0198","-0.00841,0,-0.00893,0,0.00854,-0.0176,0.0112,-0.00854",0.08349609375,0.0715680792927742,1,0.08840495347976685,0.00509465578943491
0,down_proj,gptq,4096,14336,0,0.002001592091151646,0.0015355348587036133,443.8010063721158,0.05423736257753092,964.919921875,506.82745361328125,0.016832754015922546,0.06089814379811287,0.09629476070404053,0.4237757623195648,0.9988656640052795,442.071044921875,0.09252052009105682,"8268,10585,2605,3106,8001,11579,491,13768,8509,8733,10902,12036,10002,5647,3024,7749",3625.572265625,,,,,0,0.03613010048866272,0.7787754535675049,0.0669613629579544,0.02900628000497818,"0.001,0.001,0.714,0.988,1.800,0.456,0.387,0.398",18811.369140625,21508.515625,"209.8,209.8,5.31e+04,3.767e+04,3.893e+04,9623,7114,3630",3.4054665565490723,0.834037721157074,"10.12,10.12,2.095,1.383,0.9569,1.01,0.9014,0.6678","0.0482,0.0482,0.3466,0.2616,0.2468,0.13,0.1091,0.07856","1.714,1.714,0.4102,0.2631,0.1839,0.1924,0.1754,0.1245",291,0.046998266130685806,291,0.03454497829079628,"4914,13336,14013,9928,2769,8237,7433,7375",0.8888429999351501,0.367889404296875,0.38140869140625,"0.732,0.749,0.747,0.746,0.768,0.594,0.622,0.744","0.703,0.2,0.188,0.175,0.141,0.127,0.125,0.125","-0.0464,0.015,-0.000881,-0.0147,0.0361,0.012,0.0471,-0.0623","-0.133,0,0,0,0,0,0,0","-0.0592,0.0264,0,-0.029,0,0,0.0932,-0.0742",0.6171875,0.7419044375419617,1,0.05349654331803322,0.034180719405412674
1,q_proj,gptq,4096,4096,0,0.002047717571258545,0.001481771469116211,460.7261840513586,0.07250118290581421,850.6944580078125,451.40655517578125,8.121833801269531,66.70991516113281,23.28036880493164,56.39078140258789,0.904883623123169,458.35723876953125,0.1977948546409607,"3572,1935,1306,1472,3829,1902,2345,3490,2593,29,50,979,3261,541,1163,3266",109.27056884765625,,,,,0,8.670978546142578,23.731731414794922,14.171270370483398,27.467817306518555,"0.945,0.945,0.638,0.352,0.808,0.108,0.109,0.080",1054.57666015625,1508.625732421875,"175.7,175.7,1812,1681,2634,690.2,722.3,545.8",11.344921112060547,13.03639030456543,"3.969,3.969,12.83,14.57,13.33,14.18,14.28,13.62","2.354,2.354,3.836,3.389,4.764,1.841,1.906,1.539","2.421,2.421,4.801,5.711,5.301,5.597,5.774,5.449",991,0.00910311657935381,3043,0.011215206235647202,"1935,3104,2978,709,3183,1421,2646,2485",0.35980409383773804,0.30694580078125,0.26177978515625,"2,1.82,1.8,1.8,1.77,1.64,1.83,1.46","3.55,3.12,2.77,2.62,2.05,2.03,1.9,1.84","0.0238,0.0659,0.0294,0.0287,4.89e-05,-0.000576,0.00424,0.000557","0,0.0527,0.0527,0.0527,0,0,0,0","0.0319,0.0741,0.0233,0.0366,0,0,0,0",0.2119140625,0.25312530994415283,1,0.4545234143733978,0.10117249935865402
1,k_proj,gptq,1024,4096,0,0.0020585060119628906,0.0014712810516357422,272.5973872416977,0.08562020635658683,468.1247253417969,254.653564453125,4.730233669281006,37.47151184082031,14.247533798217773,32.119869232177734,0.904883623123169,271.6521911621094,0.2208203673362732,"3572,1935,1472,3829,1306,1902,3490,2345,2593,29,979,541,3261,50,3266,1163",109.27056884765625,,,,,0,4.87125301361084,13.553547859191895,8.775896072387695,15.891252517700195,"1.158,1.158,0.643,0.308,0.914,0.093,0.108,0.090",1054.57666015625,1508.625732421875,"175.7,175.7,1812,1681,2634,690.2,722.3,545.8",11.344921112060547,13.03639030456543,"3.969,3.969,12.83,14.57,13.33,14.18,14.28,13.62","1.349,1.349,3.065,2.498,3.79,1.359,1.447,1.178","1.254,1.254,3.82,4.5,3.965,4.461,4.395,3.937",427,0.016419773921370506,606,0.019936803728342056,"1935,3104,2978,709,3183,1421,2646,2485",0.38822054862976074,0.3131103515625,0.2457275390625,"1.5,1.53,1.6,1.25,1.36,1.16,1.35,1","3.55,3.12,2.77,2.62,2.05,2.03,1.9,1.84","-0.0688,-0.136,-0.316,-0.123,0.146,-0.138,-0.0767,-0.0408","-0.0904,-0.0904,-0.362,-0.0904,0.181,-0.0904,-0.0904,-0.0904","-0.0893,-0.126,-0.271,-0.141,0.126,-0.12,-0.0809,-0.0326",0.31640625,0.361607164144516,1,0.4857117533683777,0.18080827593803406
1,v_proj,gptq,1024,4096,0,0.0020668506622314453,0.00145721435546875,7.1360741249488955,0.021119109448978712,26.84302520751953,20.258773803710938,0.16186772286891937,1.6352431774139404,0.28859949111938477,1.389601230621338,0.904883623123169,7.110030174255371,0.1081119105219841,"3572,2822,1472,3448,2058,1935,2347,3327,3508,1932,689,911,482,2578,979,887",109.27056884765625,,,,,0,0.10880915820598602,0.6003267765045166,0.1730959713459015,0.6682495474815369,"0.772,0.772,0.317,0.195,0.388,0.069,0.074,0.067",1054.57666015625,1508.625732421875,"175.7,175.7,1812,1681,2634,690.2,722.3,545.8",11.344921112060547,13.03639030456543,"3.969,3.969,12.83,14.57,13.33,14.18,14.28,13.62","0.08479,0.08479,0.4569,0.4065,0.5548,0.2452,0.2495,0.2279","0.09653,0.09653,0.8114,0.9212,0.8911,0.9345,0.9153,0.8785",885,0.017654061317443848,350,0.01109833363443613,"1935,3104,2978,709,3183,1421,2646,2485",0.1665969043970108,0.532470703125,0.85302734375,"0.06,0.079,0.105,0.0649,0.116,0.111,0.0825,0.0845","3.55,3.12,2.77,2.62,2.05,2.03,1.9,1.84","0.000133,-0.000326,-0.00108,-0.00183,0.00112,0.00552,0.00135,-0.00388","0,0,0,0,0,0.00701,0,-0.00701","0,0,0,0,0,0.00575,0,-0.00572",0.040771484375,0.034526366740465164,2,0.07371606677770615,0.0175889041274786
