layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.0020894408226013184,0.0014861226081848145,55.78563717877114,0.04469303531274969,124.23857879638672,79.20263671875,3.0746989250183105,40.746612548828125,7.773200035095215,38.02335739135742,0.7400079965591431,55.75570297241211,0.2592235803604126,"830,1030,2100,4068,1680,1,856,1675,3041,398,532,1258,3617,2821,91,3406",246.95965576171875,,,,,0,6.068011283874512,19.397457122802734,1.6869953870773315,21.274173736572266,"0.619,0.619,0.629,0.496,0.046,0.142,0.126,0.072",1542.0457763671875,1499.8448486328125,"211.4,211.4,465.2,4612,1029,2278,2093,1437",20.528465270996094,20.283004760742188,"29.18,29.18,5.466,18.49,21.11,20.18,19.85,20.77","4.107,4.107,0.9522,2.442,1.112,1.618,1.565,1.277","5.22,5.22,1.201,3.469,5.159,4.292,4.408,4.769",1125,0.015682894736528397,1382,0.036266859620809555,"1675,1680,2100,398,3041,830,679,856",2.1242177486419678,0.2000732421875,0.1634521484375,"1.48,1.09,1.36,1.18,1.31,1.37,1.18,1.22","6.92,4.91,4.89,4.86,4.63,4.57,3.36,2.74","-0.273,0.188,-0.213,0.2,-0.26,-0.153,0.189,0.204","-0.312,0.156,-0.234,0.156,-0.312,-0.156,0.156,0.156","-0.312,0.156,-0.182,0.172,-0.297,-0.175,0.162,0.175",0.2734375,0.3125,3,0.1393047720193863,0.27309104800224304
0,k_proj,gptq,1024,4096,0,0.002111673355102539,0.0014650821685791016,33.23806209009854,0.05198697083648319,70.04806518554688,40.27616500854492,1.7714561223983765,15.881841659545898,5.970880508422852,18.06911849975586,0.7400079965591431,33.38654327392578,0.2952333390712738,"830,1030,4068,1680,1258,2100,1,856,3617,532,3041,398,91,2821,1675,3406",246.95965576171875,,,,,0,5.004464149475098,10.72344970703125,0.9633381962776184,8.302427291870117,"0.676,0.676,0.813,0.662,0.072,0.204,0.190,0.105",1542.0457763671875,1499.8448486328125,"211.4,211.4,465.2,4612,1029,2278,2093,1437",20.528465270996094,20.283004760742188,"29.18,29.18,5.466,18.49,21.11,20.18,19.85,20.77","3.965,3.965,0.7118,1.879,0.8183,1.229,1.193,0.9782","4.821,4.821,0.7897,2.309,3.056,2.724,2.741,3.012",180,0.00910123810172081,294,0.03717860206961632,"1675,1680,2100,398,3041,830,679,856",2.202080249786377,0.271728515625,0.1893310546875,"0.842,0.642,0.685,0.76,0.77,1.16,0.586,0.719","6.92,4.91,4.89,4.86,4.63,4.57,3.36,2.74","0.00409,-0.00836,-0.00558,0.0062,0.00607,0.0496,0.00598,0.011","0,0,0,0,0,0.0474,0,0","0,-0.0128,0,0,0,0.0462,0,0.0154",0.0830078125,0.08003157377243042,1,0.07806351780891418,0.06236143037676811
0,v_proj,gptq,1024,4096,0,0.002096891403198242,0.0014863014221191406,0.7947667974255523,0.026970162726384625,2.5203871726989746,1.773702621459961,0.05871950089931488,0.2507094740867615,0.0680161565542221,0.20443543791770935,0.7400079965591431,0.7932895421981812,0.062475234270095825,"830,1030,4068,1,1680,2100,532,856,3617,91,398,3041,3406,2821,224,10",246.95965576171875,,,,,0,0.037291817367076874,0.09382888674736023,0.030948646366596222,0.12058066576719284,"0.402,0.402,0.965,0.718,0.195,0.375,0.346,0.256",1542.0457763671875,1499.8448486328125,"211.4,211.4,465.2,4612,1029,2278,2093,1437",20.528465270996094,20.283004760742188,"29.18,29.18,5.466,18.49,21.11,20.18,19.85,20.77","0.1569,0.1569,0.09994,0.3091,0.1494,0.2175,0.2094,0.1736","0.2474,0.2474,0.1018,0.3647,0.3379,0.3552,0.3562,0.3429",587,0.011225110851228237,928,0.00744582200422883,"1675,1680,2100,398,3041,830,679,856",0.44439831376075745,0.7841796875,0.912353515625,"0.0159,0.0239,0.0184,0.0227,0.019,0.0206,0.0289,0.0238","6.92,4.91,4.89,4.86,4.63,4.57,3.36,2.74","-0.000469,-0.00034,-0.00024,-0.000744,-0.000462,3.89e-05,0.000343,-0.000401","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0",0.0146484375,0.017604267224669456,1,0.01582818478345871,0.0074717202223837376
0,o_proj,gptq,4096,4096,0,0.0020792484283447266,0.0014785528182983398,5.452887716830219,0.03627392190988264,15.516572952270508,9.728771209716797,0.0008359738858416677,0.010982570238411427,0.0009339720127172768,0.009387467056512833,0.9907087087631226,5.366615295410156,0.1831936091184616,"1670,1381,2384,1343,1301,1125,1333,1374,1317,1283,2512,1129,1334,2128,1385,1364",463.0960998535156,,,,,0,0.00039007727173157036,0.004276810679584742,0.0005254189600236714,0.004979096818715334,"0.016,0.016,0.016,0.048,0.145,0.092,0.179,0.132",861.4178466796875,1278.7015380859375,"140,140,157.2,687.5,1846,965.6,1627,1328",0.9653753638267517,0.988646924495697,"0.9339,0.9339,0.8817,0.8934,1.056,0.9697,1.046,1.009","0.007474,0.007474,0.00761,0.01319,0.02774,0.02045,0.03054,0.02562","0.05938,0.05938,0.0596,0.05996,0.07282,0.06725,0.07222,0.07053",0,0.0635596215724945,0,0.4437730312347412,"1798,1670,1926,1542,1192,1448,4002,3874",1.7444770336151123,0.640380859375,0.641815185546875,"0.233,0.234,0.233,0.231,0.225,0.197,0.264,0.203","0.348,0.348,0.347,0.346,0.104,0.0942,0.0939,0.0789","0.229,0.229,0.228,0.227,0.0718,-0.0403,-0.23,0.126","0.198,0.198,0.198,0.198,0.0719,-0.0658,-0.263,0.0719","0.196,0.196,0.195,0.194,0.0865,-0.0312,-0.263,0.102",0.23046875,0.2633928656578064,1,0.00699312798678875,0.04850942641496658
0,gate_proj,gptq,12288,4096,0,0.002076884110768636,0.0014211734135945637,25.2273243177915,0.023362153519466758,87.164794921875,60.804351806640625,6.506111145019531,16.769285202026367,10.443044662475586,22.72641372680664,0.5246203541755676,25.191802978515625,0.07229690253734589,"830,0,1680,1258,4068,13,1030,36,2100,856,398,2821,1675,1614,49,6",727.4097290039062,,,,,0,6.028745651245117,13.91419506072998,3.9831998348236084,8.842427253723145,"0.026,0.026,2.637,0.972,0.447,0.602,0.585,0.449",2547.3486328125,2112.390869140625,"213,213,1332,7492,2153,3462,3337,2176",28.756425857543945,23.494752883911133,"41.6,41.6,17.37,30.17,23.69,25.82,25.95,23.86","0.8327,0.8327,3.555,3.684,2.009,2.522,2.483,2.017","5.165,5.165,2.189,3.737,3.006,3.25,3.247,3.009",3817,0.0029413634911179543,3817,0.006032353267073631,"0,1680,830,1675,1246,2100,1614,79",0.5561318397521973,0.387451171875,0.38238525390625,"0.426,0.541,0.467,0.561,0.513,0.555,0.503,0.501","9.52,2.33,1.94,1.84,1.73,1.6,1.51,1.43","-0.162,-0.0147,0.0649,0.00629,0.00885,0.0125,-0.00198,0.0952","-0.139,0,0.0463,0,0,0,0,0.0926","-0.139,-0.0183,0.0557,0,0.0146,0.0115,0,0.0926",0.162109375,0.17649401724338531,1,0.10894216597080231,0.2334441989660263
0,up_proj,gptq,12288,4096,0,0.0020653605461120605,0.0014109611511230469,21.726226388018404,0.022586332226483916,76.9453353881836,54.370689392089844,5.848109722137451,13.774284362792969,8.887809753417969,19.012399673461914,0.5246203541755676,21.725685119628906,0.057882677763700485,"830,0,1680,1258,4068,13,1030,2100,36,856,398,2821,1675,49,1614,1246",727.4097290039062,,,,,0,5.062729835510254,11.758844375610352,3.5409302711486816,7.294784069061279,"0.024,0.024,2.448,0.996,0.471,0.640,0.618,0.483",2547.3486328125,2112.390869140625,"213,213,1332,7492,2153,3462,3337,2176",28.756425857543945,23.494752883911133,"41.6,41.6,17.37,30.17,23.69,25.82,25.95,23.86","0.7319,0.7319,3.015,3.461,1.884,2.382,2.347,1.907","4.77,4.77,1.927,3.468,2.746,2.978,2.985,2.743",0,0.00048395898193120956,4,0.0037129796110093594,"0,1680,830,1675,1246,2100,1614,79",0.4179484248161316,0.4275004267692566,0.4434916377067566,"0.273,0.438,0.368,0.475,0.457,0.465,0.455,0.375","9.52,2.33,1.94,1.84,1.73,1.6,1.51,1.43","-0.0405,0.0234,0.0117,-0.0134,-0.00818,0.00458,-0.0234,0.0125","-0.036,0.024,0.012,-0.012,-0.012,0,-0.024,0.012","-0.046,0.0272,0.0142,-0.00907,-0.006,0.00795,-0.0258,0.0153",0.0537109375,0.04504748061299324,1,0.04144999384880066,0.06917577981948853
0,down_proj,gptq,4096,12288,0,0.0019544760386149087,0.0014074842135111492,51.798685526535735,0.051671836592235426,84.26029968261719,58.462867736816406,0.08776585757732391,3.207685947418213,1.2224812507629395,57.60006332397461,0.9999304413795471,14.517816543579102,0.9787777066230774,"40,3228,123,0,786,8429,6,3,214,4520,604,7153,1654,4,397,8",12096.5419921875,,,,,0,0.06897581368684769,3.537623405456543,0.6649079322814941,32.32209014892578,"0.012,0.012,0.777,1.189,1.299,1.267,1.148,1.054",737.8409423828125,530.593994140625,"216.8,216.8,1225,1477,617.6,842.3,778.1,529",11.425797462463379,23.518877029418945,"38.78,38.78,3.122,2.973,1.91,2.125,1.999,1.726","0.4185,0.4185,0.2371,0.224,0.1578,0.1708,0.1552,0.1301","3.749,3.749,0.2691,0.2054,0.1385,0.1518,0.1448,0.1267",2,0.3467431962490082,0,0.031245093792676926,"260,4,3817,12,34,732,404,21",0.5458877682685852,0.50189208984375,0.521392822265625,"0.266,0.328,0.321,0.245,0.282,0.275,0.285,0.285","0.374,0.346,0.253,0.215,0.196,0.189,0.183,0.176","-0.00204,0.115,0.147,-0.0249,-0.0439,-0.0199,0.00412,0.042","0.0837,0.0837,-0.0837,-0.335,0,-0.0537,0,0","0,0.0837,0.126,0,-0.0837,-0.018,0,0.0837",0.29296875,1.6666021347045898,2,0.09294350445270538,0.009866493754088879
1,q_proj,gptq,4096,4096,0,0.00206911563873291,0.0014737844467163086,19.289367703956486,0.02895055535152697,58.06041717529297,37.89948272705078,17.540067672729492,98.62799072265625,19.92879867553711,85.34237670898438,0.9074620604515076,19.220617294311523,0.08635222166776657,"0,2,29,13,6,79,22,112,34,39,19,49,36,25,4,10",341.04266357421875,,,,,0,9.559910774230957,41.227874755859375,10.097329139709473,46.13356018066406,"0.139,0.139,0.201,0.314,0.204,0.270,0.301,0.212",1489.0306396484375,1687.2611083984375,"168.5,168.5,902.4,2628,1620,2185,2495,1744",57.21509552001953,62.01725387573242,"43.75,43.75,51.01,64.55,63.04,63.67,64.58,63.37","2.04,2.04,2.642,3.868,3.079,3.552,3.76,3.159","5.482,5.482,5.898,6.899,6.823,6.831,6.855,6.865",103,0.0023395351599901915,161,0.01988067477941513,"0,6,8,29,4,10,79,23",0.7227610349655151,0.4998779296875,0.522674560546875,"0.447,0.288,0.316,0.355,0.353,0.403,0.428,0.357","21.6,11.9,10.7,10.7,9.61,7.14,7.13,5.78","0.00136,0.00279,0.00164,0.00123,0.00163,-0.00259,-0.00479,-0.00107","0,0,0,0,0,0,-0.00729,0","0,0,0,0,0,0,-0.00729,0",0.037841796875,0.043573275208473206,1,0.14893299341201782,0.08863841742277145
1,k_proj,gptq,1024,4096,0,0.0020990371704101562,0.0014865398406982422,8.810601024478729,0.028328528049894004,26.755542755126953,17.494503021240234,8.031455993652344,35.71385192871094,8.70091724395752,31.553213119506836,0.9074620604515076,8.799860000610352,0.06381251662969589,"0,29,13,2,6,79,39,34,19,22,112,49,36,25,280,96",341.04266357421875,,,,,0,4.157101154327393,15.243149757385254,4.544854640960693,17.147796630859375,"0.119,0.119,0.246,0.371,0.240,0.315,0.361,0.261",1489.0306396484375,1687.2611083984375,"168.5,168.5,902.4,2628,1620,2185,2495,1744",57.21509552001953,62.01725387573242,"43.75,43.75,51.01,64.55,63.04,63.67,64.58,63.37","1.088,1.088,1.73,2.621,2.061,2.379,2.556,2.142","3.155,3.155,3.485,4.306,4.207,4.239,4.254,4.193",687,0.00579938804730773,101,0.008376630954444408,"0,6,8,29,4,10,79,23",0.47388821840286255,0.453857421875,0.466064453125,"0.367,0.232,0.192,0.2,0.227,0.23,0.278,0.219","21.6,11.9,10.7,10.7,9.61,7.14,7.13,5.78","-0.00534,-0.000881,0.00278,0.00476,-0.004,-0.000992,0.00101,-0.000471","-0.00778,0,0,0.00778,-0.00778,0,0,0","-0.0061,0,0,0.0061,-0.0061,0,0,0",0.0478515625,0.05334815755486488,1,0.15697680413722992,0.13566887378692627
1,v_proj,gptq,1024,4096,0,0.002100229263305664,0.001508474349975586,0.7791766359990682,0.026254501854124684,2.4976539611816406,1.6870588064193726,0.7700437307357788,2.7961390018463135,0.7795664668083191,2.11538028717041,0.9074620604515076,0.7785796523094177,0.0416518896818161,"29,13,34,79,112,39,19,6,22,25,49,0,73,280,96,36",341.04266357421875,,,,,0,0.368997186422348,0.9554687142372131,0.4213389754295349,1.2801380157470703,"0.314,0.314,0.467,0.450,0.307,0.396,0.427,0.328",1489.0306396484375,1687.2611083984375,"168.5,168.5,902.4,2628,1620,2185,2495,1744",57.21509552001953,62.01725387573242,"43.75,43.75,51.01,64.55,63.04,63.67,64.58,63.37","0.2033,0.2033,0.4686,0.8024,0.6354,0.7354,0.7874,0.6643","0.3631,0.3631,0.6857,1.197,1.146,1.169,1.206,1.16",807,0.004055922385305166,66,0.0078993896022439,"0,6,8,29,4,10,79,23",0.32777535915374756,0.701416015625,0.730224609375,"0.00842,0.0266,0.023,0.0353,0.0272,0.0363,0.0566,0.044","21.6,11.9,10.7,10.7,9.61,7.14,7.13,5.78","-0.000115,-0.000511,-0.000504,0.000235,0.000397,4.11e-06,-0.00229,0.00113","0,0,0,0,0,0,-0.00194,0.00194","0,0,0,0,0,0,-0.00163,0.00163",0.01129150390625,0.012020020745694637,1,0.040467385202646255,0.025759568437933922
