layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,1536,1536,0,0.002155727810329861,0.0014165242513020833,350.74767946638167,0.06304880022440901,713.188232421875,388.15325927734375,79.24214172363281,412.34820556640625,167.74703979492188,513.488525390625,0.9924444556236267,338.09490966796875,0.5115429759025574,"609,1424,909,553,1421,503,1301,713,1272,286,1229,354,1076,403,1248,582",466.01763916015625,,,,,0,83.47014617919922,181.22979736328125,46.14917755126953,249.022705078125,"0.785,1.283,0.339,0.573,0.014,0.885,1.375,0.002",828.3634643554688,514.9793701171875,"1179,979.7,1390,257.3,86.48,1286,1435,12.9",21.7523193359375,22.46177101135254,"28.63,17.33,31.02,17.08,25.53,15.39,17.44,21.6","13.13,10.55,12.78,6.229,1.97,7.798,10.8,0.6194","14.82,9.319,21.96,8.229,16.87,8.287,9.212,12.46",887,0.048611149191856384,255,0.05304427072405815,"609,1424,553,503,1421,222,1272,1105",114.02641296386719,0.458984375,0.472900390625,"4.75,5.38,2.84,3.18,2.36,2.44,2.44,2.4","16.5,8.38,3.92,3.91,3.03,2.09,1.76,1.65","-0.516,1.3,0.0173,-0.198,0.084,-0.021,0.101,0.0251","-0.371,1.11,0,-0.371,0,0,0,0","-0.589,1.11,0,-0.17,0,0,0.0826,0.0371",1.296875,1.1116071939468384,1,0.4343376159667969,2.396791696548462
0,k_proj,gptq,256,1536,0,0.0019785563151041665,0.0013631184895833333,33.685364940261934,0.027489031263286334,107.02642059326172,74.6391830444336,9.909366607666016,37.70966720581055,19.56241798400879,44.93070602416992,0.9924444556236267,33.349761962890625,0.16681809723377228,"609,1424,909,553,286,1421,503,1301,1248,713,1229,589,222,354,1272,592",466.01763916015625,,,,,0,9.588138580322266,19.459228515625,5.335544586181641,20.346235275268555,"0.545,0.709,0.718,0.312,0.022,0.928,0.900,0.005",828.3634643554688,514.9793701171875,"1179,979.7,1390,257.3,86.48,1286,1435,12.9",21.7523193359375,22.46177101135254,"28.63,17.33,31.02,17.08,25.53,15.39,17.44,21.6","4.528,3.072,4.207,1.705,0.744,3.304,3.821,0.2868","6.134,3.648,4.965,3.054,4.977,3.431,4.028,4.243",24,0.03965851664543152,29,0.03804238513112068,"609,1424,553,503,1421,222,1272,1105",17.4290771484375,0.52734375,0.5478515625,"0.144,0.195,0.808,1.11,0.755,0.652,0.832,0.655","16.5,8.38,3.92,3.91,3.03,2.09,1.76,1.65","0.00046,0.0143,-0.0889,0.0762,-0.0109,-0.0354,0.0327,0.0518","0,0,-0.0804,0.0804,0,-0.0402,0.0402,0.0402","0,0,-0.0661,0.0859,0,-0.0444,0.0608,0.0466",0.2314453125,0.2543913722038269,1,0.14815902709960938,0.17528463900089264
0,v_proj,gptq,256,1536,0,0.0021413167317708335,0.001556396484375,4.245578281434064,0.030772457130970116,13.000710487365723,9.226602554321289,1.2254573106765747,3.989086389541626,2.5453104972839355,4.7956414222717285,0.9924444556236267,4.216270923614502,0.08827245235443115,"609,909,553,286,1421,503,1301,713,1248,1229,354,802,589,1076,1105,1272",466.01763916015625,,,,,0,1.2605953216552734,2.280181884765625,0.6032899618148804,1.9876418113708496,"0.616,0.921,0.924,0.163,0.029,0.985,0.962,0.003",828.3634643554688,514.9793701171875,"1179,979.7,1390,257.3,86.48,1286,1435,12.9",21.7523193359375,22.46177101135254,"28.63,17.33,31.02,17.08,25.53,15.39,17.44,21.6","1.769,1.179,1.467,0.5564,0.2365,1.133,1.326,0.08489","2.253,1.229,1.526,1.38,1.4,1.141,1.352,1.527",86,0.04528895765542984,93,0.03376149386167526,"609,1424,553,503,1421,222,1272,1105",7.768730640411377,0.591796875,0.57177734375,"0.0182,0.013,0.285,0.296,0.241,0.306,0.276,0.284","16.5,8.38,3.92,3.91,3.03,2.09,1.76,1.65","-0.000561,0.00032,-0.0034,-0.00861,-0.0111,-0.000767,-0.0153,-0.000603","0,0,0,0,-0.0197,0,-0.0197,0","0,0,0,-0.0155,-0.0209,0,-0.0155,0",0.08642578125,0.08180955052375793,1,0.050322357565164566,0.031171083450317383
0,o_proj,gptq,1536,1536,0,0.002350277370876736,0.001438564724392361,49.10087354465213,0.039634842345018566,128.88792419433594,72.13595581054688,2.9900240898132324,12.451491355895996,4.791875839233398,14.491560935974121,0.9855037331581116,48.91807174682617,0.045685138553380966,"1129,1385,1513,98,1001,1257,249,1328,1072,761,1119,857,1099,633,1081,82",94.14341735839844,,,,,0,3.5132572650909424,8.216270446777344,1.6260297298431396,6.5956807136535645,"0.389,0.635,0.933,0.275,0.228,0.265,0.411,0.173",1544.869873046875,615.889404296875,"3412,3588,1907,786.9,551.4,648.3,1126,338.4",13.454301834106445,12.049819946289062,"20.4,16.8,11.43,11.89,11.66,12.04,13.3,10.11","2.62,2.757,2.204,1.289,1.228,1.236,1.825,0.8706","4.2,3.459,2.282,2.46,2.574,2.402,2.847,2.09",163,0.02890651859343052,1340,0.014954001642763615,"610,738,354,98,505,249,482,226",0.32784271240234375,0.7919108271598816,0.8338216543197632,"0.287,0.243,0.264,0.293,0.729,0.599,0.261,0.239","2.8,2.41,2.39,2.19,1.94,1.94,1.8,1.8","-0.00677,-0.00623,-0.00488,-0.00552,-0.0231,-0.0178,-0.00659,-0.00641","0,0,0,-0.0483,-0.0483,0,0,0","-0.00792,0,-0.00837,-0.00652,-0.0343,-0.0282,0,0",0.19921875,0.1792902648448944,2,0.20874130725860596,0.041695304214954376
0,gate_proj,gptq,8960,1536,0,0.0022452944800967264,0.0014469691685267856,907.7508261032601,0.06974437474674967,1697.696533203125,778.6184692382812,36.17869567871094,176.29150390625,61.286949157714844,166.1450653076172,0.9732279777526855,908.23046875,0.07528030872344971,"1340,1452,1251,337,662,1400,23,500,1303,641,446,81,0,118,319,44",150.4794464111328,,,,,0,45.4443359375,84.69903564453125,21.771520614624023,87.22295379638672,"0.754,0.915,1.085,0.325,0.219,0.298,0.376,0.223",1315.05810546875,609.660400390625,"1980,3172,2095,736.1,593,573.2,954.2,417.3",12.647432327270508,12.787435531616211,"13.08,15,11.51,12,13.82,11.73,13.19,10.85","8.152,10.28,8.588,5.007,4.668,4.603,5.938,3.798","9.386,10.75,8.243,8.78,9.979,8.431,9.68,8.038",2160,0.0034818798303604126,44,0.0036349722649902105,"147,553,1532,1200,1395,1229,118,1087",0.7797110676765442,0.32618582248687744,0.3282366096973419,"3.52,3.56,2.92,3.02,3.28,3.69,2.9,2.93","4.53,3.66,2.09,1.45,1.4,1.3,1.17,1.13","-0.21,-0.054,-0.0554,0.12,-0.0204,-0.124,0.0129,0.0144","-0.224,-0.0748,-0.0748,0.133,-0.0778,-0.0748,0,0","-0.18,-0.0399,-0.0511,0.121,0,-0.121,0,0",0.26171875,0.31129390001296997,1,0.27545133233070374,0.0017348751425743103
0,up_proj,gptq,8960,1536,0,0.0022396995907738096,0.0015342349097842262,575.822902163438,0.06413306995452064,1114.466064453125,536.2760009765625,24.700611114501953,109.57501983642578,41.095672607421875,106.73414611816406,0.9732279777526855,575.267822265625,0.06928277015686035,"1340,1452,1251,23,662,500,446,337,1303,405,641,0,1400,81,1532,44",150.4794464111328,,,,,0,29.987548828125,55.29741287231445,14.891956329345703,56.40620803833008,"0.728,0.882,1.072,0.349,0.223,0.310,0.379,0.261",1315.05810546875,609.660400390625,"1980,3172,2095,736.1,593,573.2,954.2,417.3",12.647432327270508,12.787435531616211,"13.08,15,11.51,12,13.82,11.73,13.19,10.85","6.575,8.351,6.921,4.109,3.788,3.831,4.827,3.135","7.706,8.894,6.686,6.958,8.026,6.879,7.837,6.134",665,0.0018177310703322291,8065,0.002028905786573887,"147,553,1532,1200,1395,1229,118,1087",0.6504655480384827,0.5154017806053162,0.551464855670929,"0.662,0.788,2.41,2.2,1.84,0.785,2.5,2.49","4.53,3.66,2.09,1.45,1.4,1.3,1.17,1.13","0.0134,-0.00087,-0.004,0.0454,0.0684,-0.00179,-0.0138,-0.00388","0.0211,0,0,0.0605,0.0659,0,-0.0211,0","0,0,0,0.0458,0.0737,0,-0.0243,0",0.2578125,0.22537219524383545,1,0.16150037944316864,0.052774228155612946
0,down_proj,gptq,1536,8960,0,0.002026221865699405,0.001473054431733631,424.1919440662605,0.04300568017017333,1039.79638671875,602.0692138671875,5.185737133026123,15.670639991760254,30.549909591674805,27.970664978027344,0.18458478152751923,423.6754150390625,0.09676194190979004,"1624,4200,6688,4020,8352,7454,1645,8242,1779,8121,8120,4237,3601,3085,5813,386",631.7251586914062,,,,,0,18.942543029785156,14.998915672302246,4.545341968536377,7.708195209503174,"1.405,1.720,1.688,0.377,0.357,0.807,1.409,0.329",29666.794921875,6212.50390625,"9.913e+04,7.815e+04,1.979e+04,3443,6313,6876,2.224e+04,1396",13.67092227935791,10.434159278869629,"24.54,20.57,10.85,10.12,14.16,9.265,12.65,7.223","7.807,6.999,3.658,1.599,2.189,2.196,3.863,1.068","6.585,5.336,2.816,2.605,3.662,2.445,3.255,1.862",609,0.009237941354513168,748,0.00843139085918665,"4075,8916,1377,5073,3678,4562,3379,8765",1.1413609981536865,0.3362630307674408,0.3422037959098816,"0.974,1.04,0.903,1.01,1.08,1.05,1.05,1.02","5.62,5.41,4.97,3.58,1.95,1.84,1.51,1.49","-0.0757,0.0104,0.015,-0.0258,0.0398,-0.00494,-0.0157,-0.0422","-0.085,0,0.0283,-0.0283,0.0524,0,0,-0.0867","-0.0882,0,0,0,0,0,-0.0307,-0.0737",0.55859375,0.48254454135894775,1,0.21036721765995026,0.2687513828277588
1,q_proj,gptq,1536,1536,0,0.0021112230088975695,0.001411861843532986,78.71082858295995,0.030189813459263356,233.55618286132812,155.749267578125,13.154098510742188,44.174354553222656,24.4295654296875,41.386985778808594,0.9540731906890869,78.6445541381836,0.14039196074008942,"1173,1279,1215,1395,147,356,1360,316,1073,113,251,1283,1166,718,1007,553",149.55471801757812,,,,,0,17.181167602539062,22.268707275390625,7.116493225097656,19.97344970703125,"1.198,1.240,1.111,0.340,0.330,0.568,0.693,0.168",1286.313720703125,654.423095703125,"2656,2574,1246,493.8,697.1,852.7,1477,293.7",14.43342399597168,13.79183292388916,"18.19,16.42,12.21,13.07,14.75,12.86,14.94,13.02","6.44,6.002,4.163,2.384,2.737,3.177,4.038,1.748","5.885,5.389,3.95,4.086,4.763,4.215,4.85,4.266",1023,0.010808523744344711,956,0.01613224297761917,"147,1215,553,1214,223,1397,408,1395",0.408846378326416,0.3479817807674408,0.3628743588924408,"1.51,0.701,1.38,1.05,1.45,1.34,1.58,1.76","5.69,2.23,2.03,1.91,1.77,1.58,1.48,1.41","0.032,0.00366,0.0126,0.00848,0.0047,0.0967,0.117,0.00124","0.0339,0,0,0,0,0.102,0.102,0","0.0413,0,0,0,0,0.105,0.108,0",0.2060546875,0.2356693148612976,1,0.28450000286102295,0.13603612780570984
1,k_proj,gptq,256,1536,0,0.0022150675455729165,0.0015462239583333333,24.558981073409086,0.031773947895199814,70.44903564453125,45.28533935546875,3.932570457458496,12.696943283081055,7.119269371032715,11.396072387695312,0.9540731906890869,24.644750595092773,0.14753425121307373,"1173,1279,1215,316,1395,147,1360,1073,251,113,1166,1283,356,865,718,1007",149.55471801757812,,,,,0,4.82987117767334,5.963952541351318,1.9697692394256592,5.67874813079834,"1.216,1.501,0.954,0.376,0.381,0.617,0.553,0.173",1286.313720703125,654.423095703125,"2656,2574,1246,493.8,697.1,852.7,1477,293.7",14.43342399597168,13.79183292388916,"18.19,16.42,12.21,13.07,14.75,12.86,14.94,13.02","3.462,3.364,2.076,1.334,1.421,1.603,1.965,0.8937","3.139,2.745,2.125,2.176,2.304,2.041,2.642,2.148",166,0.04248545318841934,171,0.03564168140292168,"147,1215,553,1214,223,1397,408,1395",0.44730743765830994,0.35302734375,0.33984375,"0.744,0.558,0.874,0.659,0.588,0.748,0.762,0.775","5.69,2.23,2.03,1.91,1.77,1.58,1.48,1.41","-0.0134,0.0718,0.141,0.0596,-0.0217,0.083,-0.0654,-0.0347","0,0.0804,0.121,0.0402,-0.0402,0.0804,-0.0804,-0.0402","0,0.048,0.137,0.048,0,0.101,-0.0742,-0.0505",0.1943359375,0.19679205119609833,1,0.2929687798023224,0.0019169747829437256
1,v_proj,gptq,256,1536,0,0.0021387736002604165,0.0014139811197916667,5.529103581637173,0.034747032888340086,15.593650817871094,10.280216217041016,0.8683028817176819,2.746199607849121,1.6335822343826294,2.5823922157287598,0.9540731906890869,5.525808334350586,0.12112864851951599,"1173,1279,1215,1395,251,147,316,113,1360,718,1073,1007,1166,4,1214,1283",149.55471801757812,,,,,0,1.1356732845306396,1.3982937335968018,0.45668819546699524,1.3081530332565308,"1.471,1.601,1.140,0.243,0.280,0.521,0.651,0.213",1286.313720703125,654.423095703125,"2656,2574,1246,493.8,697.1,852.7,1477,293.7",14.43342399597168,13.79183292388916,"18.19,16.42,12.21,13.07,14.75,12.86,14.94,13.02","1.692,1.598,1.018,0.5805,0.6577,0.8123,0.9925,0.4681","1.395,1.262,0.9533,1.177,1.242,1.125,1.23,1.015",191,0.03516870364546776,218,0.03333096206188202,"147,1215,553,1214,223,1397,408,1395",0.4124749004840851,0.59765625,0.6240234375,"0.114,0.207,0.126,0.232,0.243,0.28,0.166,0.166","5.69,2.23,2.03,1.91,1.77,1.58,1.48,1.41","0.00964,0.000263,-0.00485,-0.0199,-0.000648,-0.0156,0.00208,0.004","0,0,-0.0201,-0.0201,0,-0.0201,0,0","0.0166,0,0,-0.0157,0,-0.0258,0,0",0.09033203125,0.08607157319784164,1,0.12334834784269333,0.004484109580516815
