layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.002003967761993408,0.0014593005180358887,1105.0892749229713,0.19268430529650413,1503.268310546875,474.32928466796875,11.097610473632812,68.67070007324219,30.06209945678711,58.834442138671875,0.9354525208473206,1046.113525390625,0.35253581404685974,"2871,3303,2650,1669,891,565,2646,162,194,3608,2082,2333,4055,87,133,2877",644.4254150390625,,,,,0,23.557897567749023,27.1636905670166,5.894093036651611,34.13437271118164,"3.077,3.077,2.140,0.655,0.057,0.236,0.186,0.166",614.1131591796875,630.1541748046875,"196.1,196.1,436.3,1504,295.9,869.3,724.8,690.3",7.181359767913818,7.753104209899902,"6.95,6.95,2.995,8.121,8.098,8.159,8.1,8.077","8.548,8.548,2.253,3.856,1.564,2.79,2.485,2.443","4.873,4.873,1.54,4.766,6.539,5.745,5.756,5.987",362,0.0065901149064302444,295,0.020359350368380547,"2650,2871,1669,565,3303,1421,2082,2646",2.847473382949829,0.193817138671875,0.1424560546875,"5.25,5.62,3.57,4.75,5.19,3.54,3.98,3.41","3.7,3.48,1.57,1.29,0.95,0.783,0.636,0.536","-0.523,-0.691,-0.245,0.566,0.547,0.156,-0.355,0.426","-0.593,-0.79,-0.198,0.395,0.395,0.198,-0.395,0.395","-0.449,-0.79,-0.209,0.485,0.469,0.156,-0.305,0.449",0.69140625,0.7901785969734192,1,0.12694905698299408,0.37365755438804626
0,k_proj,gptq,1024,4096,0,0.002011537551879883,0.0014503002166748047,752.7535767623519,0.2519684657168017,994.0697021484375,281.06573486328125,7.627311706542969,27.72684097290039,22.160037994384766,26.61928367614746,0.9354525208473206,719.3973999023438,0.382700115442276,"3303,2871,2650,1669,565,891,2646,162,194,3608,2082,4055,87,1384,2333,3153",644.4254150390625,,,,,0,17.88887596130371,14.700762748718262,4.003293991088867,13.488028526306152,"2.351,2.351,2.740,0.964,0.106,0.402,0.319,0.295",614.1131591796875,630.1541748046875,"196.1,196.1,436.3,1504,295.9,869.3,724.8,690.3",7.181359767913818,7.753104209899902,"6.95,6.95,2.995,8.121,8.098,8.159,8.1,8.077","7.535,7.535,1.901,3.214,1.312,2.336,2.066,2.041","4.915,4.915,1.149,3.274,4.025,3.685,3.657,3.756",485,0.014919860288500786,807,0.042506441473960876,"2650,2871,1669,565,3303,1421,2082,2646",2.7747507095336914,0.27294921875,0.15185546875,"2.93,3.3,2.33,3.25,5.17,1.89,2.57,2.2","3.7,3.48,1.57,1.29,0.95,0.783,0.636,0.536","-0.00595,-0.0216,-0.143,0.00696,0.652,0.00232,0.0488,0.0483","0,0,-0.186,0,0.559,0,0,0","0,0,-0.163,0,0.559,0,0.0405,0.0419",0.65234375,0.7639631032943726,1,0.16021376848220825,0.168050155043602
0,v_proj,gptq,1024,4096,0,0.0019698143005371094,0.0014350414276123047,5.245655988997124,0.023927270008063623,18.794008255004883,17.31839370727539,0.05902574211359024,0.4065502882003784,0.07220367342233658,0.29368847608566284,0.9354525208473206,5.204540252685547,0.08724594116210938,"3303,2871,1669,2650,891,565,2646,194,162,2333,3608,2082,133,87,4055,1384",644.4254150390625,,,,,0,0.04099677875638008,0.13506236672401428,0.029573865234851837,0.18173886835575104,"5.523,5.523,0.710,0.296,0.085,0.198,0.168,0.167",614.1131591796875,630.1541748046875,"196.1,196.1,436.3,1504,295.9,869.3,724.8,690.3",7.181359767913818,7.753104209899902,"6.95,6.95,2.995,8.121,8.098,8.159,8.1,8.077","0.229,0.229,0.1555,0.2777,0.1166,0.2046,0.1851,0.1792","0.09742,0.09742,0.1846,0.5107,0.3988,0.4597,0.452,0.4381",242,0.006445877254009247,825,0.004786983598023653,"2650,2871,1669,565,3303,1421,2082,2646",0.5327730178833008,0.62744140625,0.92041015625,"0.0564,0.0356,0.0883,0.0583,0.0331,0.114,0.0636,0.0605","3.7,3.48,1.57,1.29,0.95,0.783,0.636,0.536","0.000664,0.000187,4.96e-05,-0.00141,2.24e-07,-0.000744,0.00223,0.000729","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0",0.04345703125,0.03752291202545166,3,0.00935843400657177,0.011293192394077778
0,o_proj,gptq,4096,4096,0,0.0021114349365234375,0.0014774799346923828,115.42325947317708,0.050036351486646424,283.6651611328125,147.25418090820312,0.008349253796041012,0.022675540298223495,0.014418522827327251,0.02063646912574768,0.4585133492946625,115.09835815429688,0.10242339968681335,"272,386,1311,314,3129,285,372,1341,1289,383,263,357,336,511,1297,344",82.71601104736328,,,,,0,0.003746192902326584,0.00798580702394247,0.0067380694672465324,0.01082528568804264,"0.124,0.124,0.268,0.290,0.604,0.465,0.575,0.485",1044.8140869140625,4943.19140625,"101.2,101.2,912.7,419.5,2079,1353,2011,1382",0.42578190565109253,0.5181119441986084,"0.3072,0.3072,0.3105,0.3047,0.6362,0.5033,0.5431,0.4941","0.0209,0.0209,0.0308,0.03182,0.1006,0.06749,0.08696,0.06995","0.05943,0.05943,0.0595,0.05908,0.1294,0.09896,0.1147,0.1004",291,0.011620419099926949,133,0.016052763909101486,"157,1230,285,1358,1102,3,263,135",0.1908663511276245,0.3614501953125,0.3873291015625,"0.64,0.781,0.995,0.656,0.886,0.753,0.806,0.822","0.0677,0.0677,0.0669,0.0641,0.0621,0.0586,0.0584,0.0581","0.00247,0.146,0.239,0.122,0.204,-0.0278,0.0938,-0.0491","0,0.158,0.278,0.139,0.238,0,0.139,-0.139","0,0.133,0.234,0.102,0.208,0,0.0781,-0.0449",0.6484375,0.6001145243644714,1,0.010846422985196114,0.012869506143033504
0,gate_proj,gptq,14336,4096,0,0.0020625931876046316,0.0015293189457484654,254.36329786836723,0.02626818470880971,837.2939453125,601.8793334960938,4.608184337615967,10.72178840637207,6.90899658203125,10.947708129882812,0.469621479511261,254.25445556640625,0.04791050776839256,"2082,2461,1856,3488,1669,689,29,2283,199,3522,3261,2888,541,3475,2993,103",13.53757095336914,,,,,0,3.1524956226348877,6.452795505523682,2.9818243980407715,4.877204895019531,"0.040,0.040,0.709,0.999,0.404,0.613,0.583,0.579",2446.989501953125,2311.084716796875,"206.5,206.5,2789,6574,1639,2910,2781,2471",6.527925491333008,5.618464946746826,"7.119,7.119,5.808,7.528,5.915,6.344,6.402,5.988","0.5499,0.5499,1.886,2.89,1.463,1.936,1.9,1.79","2.748,2.748,2.24,2.892,2.302,2.472,2.489,2.352",8001,0.0014499245444312692,8001,0.002220532624050975,"607,2650,223,1669,3902,417,1109,1759",0.10891181230545044,0.3590959906578064,0.3428868055343628,"1.74,1.71,1.48,1.75,1.49,1.44,1.76,1.47","0.557,0.391,0.386,0.33,0.315,0.309,0.302,0.302","-0.441,0.0801,-0.0242,-0.00977,-0.00181,-0.00613,0.0903,0.041","-0.378,0.126,0,0,0,0,0.126,0","-0.378,0.102,-0.0346,0,0,0,0.0967,0.0368",0.44140625,0.3783482313156128,2,0.05572568625211716,0.10848818719387054
0,up_proj,gptq,14336,4096,0,0.002059340476989746,0.0015453100204467773,200.780642984133,0.02455368273103607,686.209228515625,492.04608154296875,3.893980026245117,8.681862831115723,5.5835795402526855,8.840192794799805,0.469621479511261,200.77496337890625,0.039297621697187424,"3488,1856,2082,2461,1669,199,3522,689,2283,2888,29,3261,3475,3485,541,2993",13.53757095336914,,,,,0,2.604248046875,5.21867036819458,2.450460433959961,3.9475510120391846,"0.043,0.043,0.680,1.011,0.412,0.636,0.602,0.598",2446.989501953125,2311.084716796875,"206.5,206.5,2789,6574,1639,2910,2781,2471",6.527925491333008,5.618464946746826,"7.119,7.119,5.808,7.528,5.915,6.344,6.402,5.988","0.5112,0.5112,1.661,2.625,1.338,1.778,1.741,1.637","2.454,2.454,2.015,2.611,2.084,2.23,2.245,2.117",10835,0.0002813972532749176,1794,0.0005474967765621841,"607,2650,223,1669,3902,417,1109,1759",0.08112899214029312,0.3674491047859192,0.384434312582016,"1.05,1.32,1.44,1.36,1.43,1.4,1.38,1.4","0.557,0.391,0.386,0.33,0.315,0.309,0.302,0.302","0.0179,-0.031,0.0129,0.00873,0.00589,0.0114,0.0112,0.00687","0,-0.0379,0,0,0,0,0,0","0.0142,-0.0279,0.0127,0.0119,0,0.0109,0.0126,0.0119",0.14453125,0.1571880578994751,1,0.022442679852247238,0.022869760170578957
0,down_proj,gptq,4096,14336,0,0.0019999401909964426,0.001538327762058803,412.08396028040806,0.05022550205117626,929.3215942382812,507.0709228515625,0.019223887473344803,0.06898221373558044,0.13402146100997925,1.0212491750717163,0.9977219104766846,408.75927734375,0.11180867999792099,"10585,8268,3106,2605,8001,11579,10002,8485,8509,8733,13768,7749,12036,3024,8631,4925",3939.486572265625,,,,,0,0.07368175685405731,1.0837113857269287,0.030565865337848663,0.026956647634506226,"0.002,0.002,0.561,0.834,0.810,0.909,0.868,0.813",32415.98828125,13479.8037109375,"209.8,209.8,1.814e+05,2.685e+04,1.075e+04,1.538e+04,1.378e+04,1.073e+04",4.144091606140137,0.7844135165214539,"11.93,11.93,4.501,1.356,0.8092,0.9191,0.9024,0.8103","0.09484,0.09484,0.6457,0.2377,0.1462,0.1709,0.1633,0.1443","1.968,1.968,0.8624,0.2602,0.1624,0.1792,0.1753,0.1599",291,0.016467101871967316,291,0.034942351281642914,"7375,6903,6337,10353,13490,4176,7386,4999",0.20730683207511902,0.388031005859375,0.40240478515625,"0.742,0.676,0.571,0.729,0.761,0.722,0.693,0.56","0.0928,0.0725,0.0723,0.0628,0.059,0.0524,0.0523,0.0491","-0.0554,-0.015,0.0549,-0.00372,-0.0153,-0.0266,0.0189,0.0344","-0.129,0,0,0,0,-0.033,0,0","-0.0737,-0.0202,0.0898,0,0,0,0.0368,0.0497",0.609375,1.0518097877502441,1,0.01876087859272957,0.030362717807292938
1,q_proj,gptq,4096,4096,0,0.0020471811294555664,0.001483619213104248,474.41959821266596,0.07640694457883797,856.838134765625,440.679443359375,7.493923187255859,62.132362365722656,22.076763153076172,51.30243682861328,0.9234810471534729,472.08148193359375,0.1986619234085083,"3572,1935,3829,1472,1306,1902,2593,2345,50,3490,29,3837,3261,541,3405,1163",115.33865356445312,,,,,0,6.364315509796143,21.900978088378906,7.635383129119873,28.26761245727539,"1.213,1.213,0.445,0.237,0.156,0.204,0.205,0.171",1034.4576416015625,1116.5877685546875,"174.8,174.8,1758,1491,955.8,1274,1320,1127",10.771917343139648,13.089823722839355,"3.874,3.874,12.63,13.28,12.97,13.16,13.24,13.16","2.524,2.524,3.288,2.604,2.088,2.377,2.4,2.193","2.292,2.292,4.929,5.344,5.279,5.264,5.302,5.306",3052,0.0051746307872235775,983,0.005152053665369749,"3516,1306,2485,3104,1856,2943,2265,2570",0.9554216265678406,0.29998779296875,0.260772705078125,"1.72,1.95,1.46,1.8,1.71,1.85,1.67,1.57","1.84,1.72,1.7,1.63,1.62,1.61,1.54,1.53","0.0188,-0.00705,0.0266,-0.0405,-0.00104,-0.0879,0.0215,-0.0415","0,0,0,0,0,-0.0831,0,-0.0831","0,0,0.0449,-0.0494,0,-0.0816,0,-0.0405",0.291015625,0.26153117418289185,1,0.15020017325878143,0.3729530870914459
1,k_proj,gptq,1024,4096,0,0.0020101070404052734,0.0014674663543701172,280.03904325831024,0.09035864446789109,471.7505187988281,247.73204040527344,4.349822044372559,33.26396179199219,13.439949989318848,27.3613338470459,0.9234810471534729,279.12652587890625,0.22258898615837097,"3572,1935,3829,1472,2593,1902,1306,2345,3490,50,29,3261,541,3266,979,3837",115.33865356445312,,,,,0,3.292835235595703,11.405537605285645,4.715441703796387,15.0333251953125,"1.360,1.360,0.430,0.252,0.187,0.226,0.225,0.192",1034.4576416015625,1116.5877685546875,"174.8,174.8,1758,1491,955.8,1274,1320,1127",10.771917343139648,13.089823722839355,"3.874,3.874,12.63,13.28,12.97,13.16,13.24,13.16","1.438,1.438,2.481,1.988,1.616,1.824,1.821,1.687","1.233,1.233,3.783,3.956,3.736,3.836,3.836,3.854",237,0.010046868585050106,599,0.013851826079189777,"3516,1306,2485,3104,1856,2943,2265,2570",0.9359610080718994,0.311279296875,0.2413330078125,"1.21,1.28,0.99,1.52,1.29,1.37,1.3,1.17","1.84,1.72,1.7,1.63,1.62,1.61,1.54,1.53","0.0271,-0.0177,0.016,-0.0723,0.0273,-0.024,-0.00368,-0.02","0,0,0,-0.0658,0,0,0,0","0.0297,-0.0283,0.0243,-0.0783,0,-0.0294,0,0",0.23046875,0.25786662101745605,1,0.16193854808807373,0.11600811779499054
1,v_proj,gptq,1024,4096,0,0.0020639896392822266,0.0014526844024658203,7.702150825382699,0.02233154025997537,27.894271850585938,20.670608520507812,0.1544378250837326,1.5360653400421143,0.264631986618042,1.3092546463012695,0.9234810471534729,7.655427932739258,0.1115940734744072,"3572,1935,2822,3448,1472,3327,689,199,2058,1932,482,911,23,1902,3508,887",115.33865356445312,,,,,0,0.08650993555784225,0.5547709465026855,0.11113423109054565,0.7276929616928101,"0.594,0.594,0.239,0.169,0.112,0.144,0.147,0.127",1034.4576416015625,1116.5877685546875,"174.8,174.8,1758,1491,955.8,1274,1320,1127",10.771917343139648,13.089823722839355,"3.874,3.874,12.63,13.28,12.97,13.16,13.24,13.16","0.0618,0.0618,0.397,0.359,0.2871,0.3285,0.3363,0.3075","0.08016,0.08016,0.8125,0.874,0.8587,0.8663,0.876,0.8638",1000,0.013165704905986786,941,0.008126378990709782,"3516,1306,2485,3104,1856,2943,2265,2570",0.3674497902393341,0.55322265625,0.8409423828125,"0.0913,0.0684,0.0846,0.0791,0.119,0.116,0.0954,0.0411","1.84,1.72,1.7,1.63,1.62,1.61,1.54,1.53","-0.00787,0.000414,-0.00732,-0.033,-0.00293,0.000717,-0.0118,0.00714","-0.0154,0,-0.0154,-0.0308,0,0,-0.0154,0","-0.0154,0,-0.0125,-0.0283,0,0,-0.0109,0.0115",0.0927734375,0.10535082221031189,1,0.032937563955783844,0.03709518536925316
