layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,2048,2048,0,0.002107381820678711,0.0014226436614990234,206.23103143092885,0.04479706013153583,458.1323547363281,396.95751953125,3.2257564067840576,36.517784118652344,5.170222282409668,37.7315788269043,0.9902344346046448,205.99462890625,0.2756519913673401,"844,1757,683,1312,1222,229,1588,654,1133,398,619,1064,375,1416,1946,812",148.6326141357422,,,,,0,5.265999794006348,21.684776306152344,2.4521782398223877,19.347412109375,"0.043,0.221,0.543,0.435,0.122,0.751,0.105,0.057",1289.2894287109375,762.0758056640625,"248.2,1188,1233,2823,974.6,2089,1239,519.7",7.995190620422363,8.269004821777344,"9.053,6.816,7.858,8.03,8.465,7.869,7.841,8.03","1.151,1.804,2.956,2.955,1.826,3.547,1.784,0.988","5.569,3.839,4.011,4.481,5.232,4.093,5.507,4.135",619,0.05346950143575668,621,0.09316529333591461,"1133,1312,1222,977,1588,826,619,1064",3.0200181007385254,0.2635498046875,0.19921875,"3.18,4.14,3.14,2.48,4.8,2.97,2.7,4.44","3.11,2.62,2.59,2.19,2.16,1.89,1.55,1.41","0.492,0.777,0.475,-0.101,0.855,0.369,0.375,0.688","0.571,0.857,0.571,0,0.857,0.286,0.286,0.571","0.589,0.666,0.41,-0.125,0.733,0.286,0.415,0.589",1.0,0.8571429252624512,4,0.42220592498779297,0.6472004652023315
0,k_proj,gptq,512,2048,0,0.0020990371704101562,0.0014324188232421875,77.36601604024781,0.03493533219923802,202.82489013671875,145.736083984375,1.4538220167160034,11.5106782913208,2.25704288482666,11.501276016235352,0.9902344346046448,77.48440551757812,0.2272285372018814,"844,1757,683,1312,1588,1222,1946,1133,654,229,375,1064,2022,1812,398,372",148.6326141357422,,,,,0,2.027677059173584,5.615046977996826,1.030139684677124,5.685942649841309,"0.071,0.398,0.564,0.709,0.187,0.740,0.267,0.083",1289.2894287109375,762.0758056640625,"248.2,1188,1233,2823,974.6,2089,1239,519.7",7.995190620422363,8.269004821777344,"9.053,6.816,7.858,8.03,8.465,7.869,7.841,8.03","0.7131,1.204,1.722,2.002,1.078,1.994,1.316,0.6491","2.686,1.907,2.293,2.377,2.489,2.318,2.548,2.258",376,0.02960558421909809,199,0.05463658273220062,"1133,1312,1222,977,1588,826,619,1064",2.50026798248291,0.3349609375,0.281982421875,"1.32,1.7,1.4,1.1,1.98,1.16,1.02,1.84","3.11,2.62,2.59,2.19,2.16,1.89,1.55,1.41","0.00153,0.00644,-0.0018,0.083,0.102,-0.0258,-0.0601,0.0283","0,0,0,0.0614,0.123,0,-0.0614,0","0,0,0,0.0617,0.123,-0.0502,-0.0539,0.0469",0.2431640625,0.2455357313156128,1,0.18541063368320465,0.04029121249914169
0,v_proj,gptq,512,2048,0,0.0020227432250976562,0.0014448165893554688,4.670009997258006,0.025306537744543528,15.823688507080078,11.49374008178711,0.11595819145441055,0.6588859558105469,0.16985058784484863,0.6596666574478149,0.9902344346046448,4.656128406524658,0.15740083158016205,"844,1757,683,1312,1588,398,229,1222,654,1133,1946,619,1416,812,2022,26",148.6326141357422,,,,,0,0.1264955699443817,0.33068954944610596,0.0717209205031395,0.3819127678871155,"0.079,0.403,0.474,0.693,0.228,0.813,0.304,0.121",1289.2894287109375,762.0758056640625,"248.2,1188,1233,2823,974.6,2089,1239,519.7",7.995190620422363,8.269004821777344,"9.053,6.816,7.858,8.03,8.465,7.869,7.841,8.03","0.1758,0.3122,0.4073,0.4633,0.2813,0.5317,0.3198,0.1974","0.6253,0.4915,0.5918,0.5567,0.5897,0.5895,0.5801,0.5666",175,0.042557187378406525,16,0.04627984017133713,"1133,1312,1222,977,1588,826,619,1064",1.5641841888427734,0.52880859375,0.664794921875,"0.136,0.148,0.132,0.337,0.187,0.193,0.218,0.207","3.11,2.62,2.59,2.19,2.16,1.89,1.55,1.41","-0.00122,-0.0113,-0.00351,-0.0243,-0.0197,0.0137,-0.00403,-0.0256","0,-0.0205,0,-0.0205,-0.0205,0.0205,0,-0.0205","0,-0.0174,0,-0.0199,-0.0167,0.0186,0,-0.0178",0.0771484375,0.08448716998100281,1,0.05803708732128143,0.057638488709926605
0,o_proj,gptq,2048,2048,0,0.0021445751190185547,0.0014255046844482422,35.37952787383256,0.05356490448965538,82.93887329101562,44.79136657714844,0.05561625212430954,0.28575894236564636,0.10268822312355042,0.2850797176361084,0.9832679629325867,35.19098663330078,0.13388794660568237,"796,629,214,591,470,540,631,342,719,140,595,885,357,268,668,569",190.6928253173828,,,,,0,0.20064595341682434,0.22956711053848267,0.1391049027442932,0.2212270349264145,"0.352,0.478,1.067,1.153,0.692,1.701,0.771,0.534",5223.2685546875,3365.1591796875,"2103,3829,6917,9541,2461,1.259e+04,2239,2104",2.9052414894104004,2.71267032623291,"3.203,2.977,3.307,3.108,2.334,3.462,2.277,2.572","0.321,0.3288,0.5058,0.5651,0.328,0.6948,0.3404,0.3354","0.5412,0.4757,0.4897,0.5262,0.3945,0.5328,0.3877,0.4592",1867,0.057317063212394714,1852,0.07415980845689774,"470,86,357,229,796,851,975,12",0.6119627952575684,0.57879638671875,0.455322265625,"0.533,1.06,0.714,0.545,0.515,0.503,0.974,1.01","0.66,0.586,0.465,0.463,0.406,0.324,0.307,0.305","0.136,0.445,0.0796,0.131,-0.0454,0.0264,-0.404,-0.363","0.127,0.382,0,0.127,0,0,-0.382,-0.382","0.116,0.382,0.0695,0.112,-0.0458,0.0229,-0.347,-0.382",0.4453125,0.40254390239715576,1,0.07853342592716217,0.010469705797731876
0,gate_proj,gptq,11008,2048,0,0.0020931155182594475,0.001393384711686955,159.55182353062082,0.022346184602700717,581.152587890625,429.66387939453125,17.86976432800293,36.15105438232422,25.759075164794922,36.491607666015625,0.9682234525680542,159.39385986328125,0.0557941310107708,"549,977,844,26,806,375,619,552,1563,1416,966,1739,1462,513,241,1878",18.717910766601562,,,,,0,20.21588134765625,19.086421966552734,11.875755310058594,17.265316009521484,"0.701,0.759,1.247,1.315,1.060,2.847,0.962,0.486",2067.9951171875,1206.5638427734375,"1261,1897,1489,2741,2834,3059,2362,901.2",9.335916519165039,8.83633804321289,"9.111,10.73,7.336,9.675,10.82,7.119,10.74,9.158","3.509,4.373,3.829,5.164,5.144,5.525,4.812,2.969","4.191,5.019,3.429,4.504,4.996,3.274,4.907,4.26",9093,0.0025199493393301964,9093,0.00994123611599207,"826,977,549,569,1025,890,1756,1526",0.08548114448785782,0.3470657765865326,0.34272801876068115,"1.8,2.12,2.02,2.01,2.03,1.87,1.82,2.09","1.6,1.39,1.12,1.03,0.871,0.867,0.836,0.793","-0.0801,-0.00748,0.428,-0.0109,-0.0276,0.0679,0.0554,-0.101","-0.132,0,0.397,0,0,0.0721,0.132,-0.117","-0.104,0,0.367,0,-0.0222,0.104,0.102,-0.0866",0.462890625,0.5290178656578064,1,0.258230596780777,0.49810224771499634
0,up_proj,gptq,11008,2048,0,0.0020933816599291426,0.0013977760492369187,140.03505067951028,0.021298070188927543,526.1177978515625,395.1422424316406,16.471881866455078,33.201725006103516,23.3746280670166,33.489295959472656,0.9682234525680542,140.0486602783203,0.052454497665166855,"549,977,844,26,806,375,1416,619,1563,552,1739,966,241,513,1462,89",18.717910766601562,,,,,0,18.07815170288086,17.415124893188477,10.734416007995605,15.821788787841797,"0.645,0.787,1.165,1.314,1.117,2.556,0.949,0.502",2067.9951171875,1206.5638427734375,"1261,1897,1489,2741,2834,3059,2362,901.2",9.335916519165039,8.83633804321289,"9.111,10.73,7.336,9.675,10.82,7.119,10.74,9.158","3.302,4.176,3.514,4.893,5.039,5.003,4.616,2.873","4.112,4.708,3.256,4.268,4.768,3.13,4.738,4.055",8050,0.002205131808295846,4097,0.001832182053476572,"826,977,549,569,1025,890,1756,1526",0.07432432472705841,0.36929959058761597,0.3896370828151703,"1.57,1.72,1.97,1.8,1.84,1.8,1.79,1.76","1.6,1.39,1.12,1.03,0.871,0.867,0.836,0.793","-0.014,0.00111,-0.0767,-0.00394,0.0469,-0.0786,0.017,0.0408","-0.0296,0,-0.0887,0,0.0592,-0.0963,0.0296,0.0562","-0.025,0,-0.0876,0,0.0533,-0.0749,0.0234,0.0366",0.10791015625,0.1056038960814476,1,0.23663976788520813,0.13298624753952026
0,down_proj,gptq,2048,11008,0,0.0020400202551553418,0.001393429068631904,292.62317365385024,0.0458842744026132,687.3318481445312,401.13031005859375,0.13157162070274353,0.4697573184967041,0.28731346130371094,0.4685741662979126,0.7446893453598022,292.1300048828125,0.08426781743764877,"3547,9932,7929,9637,8329,4370,9146,9951,3666,6681,3568,206,350,5372,7980,1688",63.607540130615234,,,,,0,0.3017001450061798,0.4053015112876892,0.14018869400024414,0.22129295766353607,"0.653,0.791,0.416,1.065,0.924,1.331,0.719,0.557",13777.67578125,8957.896484375,"1.986e+04,1.389e+04,2771,1.983e+04,2.597e+04,5230,1.544e+04,7231",2.8685121536254883,2.305058479309082,"5.674,2.807,1.838,2.651,3.427,1.398,2.834,2.319","0.9763,0.4983,0.2479,0.5564,0.6304,0.3136,0.4781,0.3418","1.208,0.5602,0.3841,0.539,0.656,0.2718,0.5637,0.4578",1789,0.013202035799622536,1062,0.00790160521864891,"6035,6076,9724,2720,9146,6137,1717,8349",0.34493356943130493,0.437255859375,0.47027587890625,"0.748,0.748,0.743,0.71,0.951,0.746,0.707,0.757","1.09,0.691,0.59,0.555,0.434,0.404,0.387,0.359","-0.0508,-0.0337,-0.0247,0.0187,-0.0166,-0.00732,-0.0352,-0.04","-0.0331,-0.0308,-0.0263,0.0223,0,-0.0111,-0.0347,-0.0347","-0.0435,-0.029,-0.0266,0.0287,-0.0156,-0.0145,-0.0374,-0.0399",0.1572265625,0.1389508992433548,1,0.07243847101926804,0.041727062314748764
1,q_proj,gptq,2048,2048,0,0.002129077911376953,0.0014412403106689453,223.19989990722252,0.06685767739929234,435.8243408203125,248.28660583496094,6.283996105194092,40.64915084838867,9.816717147827148,39.24583435058594,0.994208812713623,222.15057373046875,0.1601884365081787,"549,460,844,154,1739,193,416,832,240,12,455,675,1649,258,375,1552",162.36105346679688,,,,,0,10.203280448913574,18.645038604736328,5.600157737731934,18.228933334350586,"0.668,0.464,0.658,0.705,0.515,0.998,0.345,0.159",1261.123291015625,939.8614501953125,"1333,1436,693.7,1913,1501,1258,1290,663.7",10.11547565460205,10.128985404968262,"10.3,10.63,8.947,10.36,10.7,9.344,10.83,9.81","3.722,2.997,3.047,3.661,3.127,3.964,2.742,1.759","4.555,4.398,3.757,4.36,4.359,3.968,4.666,4.409",634,0.0178616214543581,1004,0.018062423914670944,"549,1852,372,12,981,1878,1770,1359",0.8427333831787109,0.3077392578125,0.2576904296875,"2.47,1.97,2.22,2.05,1.27,2.4,2.13,2.09","2.91,2.44,2.03,1.95,1.95,1.93,1.84,1.83","0.0305,-0.0126,0.0317,-0.0309,-0.108,0.0513,0.0884,-0.0566","0,0,0.0753,0,-0.0753,0.0753,0.0753,-0.0753","0,0,0.043,-0.0586,-0.103,0.0416,0.07,-0.053",0.263671875,0.2260044813156128,9,0.4179481267929077,0.05309620872139931
1,k_proj,gptq,512,2048,0,0.0020751953125,0.0013990402221679688,130.2359209576025,0.08273849828745716,228.86058044433594,131.8305206298828,3.4067728519439697,24.639572143554688,5.56632661819458,23.42461395263672,0.994208812713623,129.5823211669922,0.17940454185009003,"549,460,154,193,832,416,1739,240,844,1200,375,1932,1355,12,1256,1220",162.36105346679688,,,,,0,6.27178955078125,10.683061599731445,3.339038610458374,10.505845069885254,"0.692,0.406,0.720,0.954,0.513,1.134,0.360,0.150",1261.123291015625,939.8614501953125,"1333,1436,693.7,1913,1501,1258,1290,663.7",10.11547565460205,10.128985404968262,"10.3,10.63,8.947,10.36,10.7,9.344,10.83,9.81","2.758,2.164,2.476,2.964,2.477,3.261,2.117,1.309","3.314,3.397,2.918,3.035,3.457,3.062,3.531,3.379",241,0.03162935748696327,428,0.04656738415360451,"549,1852,372,12,981,1878,1770,1359",0.7167961001396179,0.3125,0.22802734375,"1.88,1.6,1.42,1.75,1.35,1.44,1.68,1.49","2.91,2.44,2.03,1.95,1.95,1.93,1.84,1.83","-0.053,-0.0483,0.000664,0.0277,-0.119,-0.0408,-0.0566,-0.102","-0.0792,0,0,0,-0.0792,0,-0.0792,-0.0792","-0.0399,-0.0338,0,0.0483,-0.119,-0.0338,-0.0798,-0.0815",0.279296875,0.3259207606315613,1,0.4404735565185547,0.40947192907333374
1,v_proj,gptq,512,2048,0,0.0021533966064453125,0.0014410018920898438,6.438518545404094,0.031650065706551926,18.541767120361328,12.537480354309082,0.2427607923746109,1.1202822923660278,0.34175485372543335,1.073420763015747,0.994208812713623,6.434233665466309,0.12259985506534576,"832,193,1932,549,455,154,1355,833,1075,98,258,675,416,453,1200,1739",162.36105346679688,,,,,0,0.2866738736629486,0.5062510371208191,0.18043796718120575,0.5043753385543823,"0.608,0.477,0.644,0.788,0.590,0.947,0.380,0.275",1261.123291015625,939.8614501953125,"1333,1436,693.7,1913,1501,1258,1290,663.7",10.11547565460205,10.128985404968262,"10.3,10.63,8.947,10.36,10.7,9.344,10.83,9.81","0.5818,0.5289,0.4454,0.6504,0.5707,0.5837,0.5067,0.3615","0.746,0.7659,0.5552,0.7324,0.7431,0.5998,0.822,0.6888",328,0.021343400701880455,17,0.023199180141091347,"549,1852,372,12,981,1878,1770,1359",0.35728082060813904,0.623291015625,0.78076171875,"0.133,0.0494,0.175,0.0874,0.277,0.133,0.108,0.112","2.91,2.44,2.03,1.95,1.95,1.93,1.84,1.83","0.00604,0.00108,-0.00351,0.00571,-0.0176,0.00191,0.000919,0.00415","0,0,0,0.0115,-0.0115,0,0,0","0,0,0,0,-0.0127,0,0,0",0.059814453125,0.05593974515795708,1,0.0833730399608612,0.0023654913529753685
