layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.002009868621826172,0.001447439193725586,932.4615695289051,0.15946083676260833,1319.537841796875,482.68939208984375,10.392919540405273,74.98414611816406,15.571908950805664,62.51034927368164,0.9797173142433167,924.33935546875,0.2762831747531891,"2871,2650,3303,891,1669,2646,565,162,194,2082,3608,2333,2877,4055,87,133",605.0460205078125,,,,,0,9.014317512512207,21.24724769592285,8.399364471435547,40.353271484375,"0.113,0.113,3.724,0.682,2.582,0.414,0.721,0.565",790.5759887695312,799.6543579101562,"219.6,219.6,49.1,1535,36.84,1129,1659,1477",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","1.724,1.724,0.8438,3.8,0.5614,4.371,4.018,3.932","5.128,5.128,0.4373,4.6,0.3494,6.796,4.733,5.228",3768,0.012155726552009583,4022,0.02054618112742901,"2229,2917,2581,345,2126,3483,1508,297",0.08952173590660095,0.3948974609375,0.34625244140625,"1.85,1.84,2.07,1.83,1.96,1.89,1.83,1.83","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","0.0143,-0.019,0.00546,-0.0103,-0.0143,0.0203,-0.00793,0.0103","0,0,0,0,0,0.024,0,0.024","0.0169,0,0,-0.017,-0.0234,0.0162,-0.015,0.017",0.349609375,0.2996652126312256,3,0.06189236789941788,0.0010011179838329554
0,k_proj,gptq,1024,4096,0,0.001983165740966797,0.0014109611511230469,634.1499944881124,0.2083385838106626,857.23388671875,285.19085693359375,7.069794654846191,29.823843002319336,10.886774063110352,25.975547790527344,0.9797173142433167,628.6185302734375,0.3080589175224304,"2871,3303,2650,891,2646,565,162,1669,194,3608,4055,87,2082,1384,2333,2877",605.0460205078125,,,,,0,6.7523417472839355,13.230652809143066,5.838939666748047,15.525524139404297,"0.099,0.099,6.684,0.966,4.123,0.892,1.070,0.904",790.5759887695312,799.6543579101562,"219.6,219.6,49.1,1535,36.84,1129,1659,1477",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","1.658,1.658,0.8203,3.289,0.4602,3.696,3.326,3.479","5.266,5.266,0.3173,3.346,0.2266,3.912,3.215,3.659",295,0.03168367221951485,875,0.01935468427836895,"2229,2917,2581,345,2126,3483,1508,297",0.10411286354064941,0.37939453125,0.3040771484375,"1.76,1.77,1.79,1.76,1.63,1.68,1.74,1.63","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","0.0986,-0.0723,-0.0256,-0.00164,-0.0364,0.0498,-0.0342,-0.0361","0,-0.0708,0,0,-0.0708,0.0459,-0.0708,0","0.0854,0,0,0,-0.0368,0.0413,-0.0569,-0.0407",0.69921875,0.5993304252624512,1,0.08191151916980743,0.0035340441390872
0,v_proj,gptq,1024,4096,0,0.0020055770874023438,0.0014576911926269531,5.441979340006131,0.02485817858038494,18.55347442626953,17.150089263916016,0.06156949698925018,0.4369243085384369,0.07411611825227737,0.34837889671325684,0.9797173142433167,5.264659404754639,0.07077548652887344,"2871,2650,891,2646,565,1669,194,162,2333,3608,87,2082,2304,1384,3303,4055",605.0460205078125,,,,,0,0.03948790207505226,0.12320816516876221,0.03759624809026718,0.2239304780960083,"0.278,0.278,0.691,0.291,0.763,0.470,0.303,0.286",790.5759887695312,799.6543579101562,"219.6,219.6,49.1,1535,36.84,1129,1659,1477",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.08538,0.08538,0.04997,0.2782,0.03892,0.2603,0.2786,0.2731","0.1618,0.1618,0.06011,0.5157,0.04457,0.3798,0.5063,0.511",844,0.02169247530400753,129,0.010903301648795605,"2229,2917,2581,345,2126,3483,1508,297",0.068547822535038,0.4833984375,0.817626953125,"0.0661,0.0779,0.0883,0.073,0.0956,0.125,0.104,0.106","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","-0.00204,0.00146,0.00359,0.0011,-1.93e-05,-0.00952,0.00531,-0.00131","0,0,0.00474,0,0,-0.00727,0.00474,0","0,0,0,0,0,-0.0112,0.00687,0",0.0419921875,0.03460505232214928,2,0.005732963792979717,7.895406452007592e-05
0,o_proj,gptq,4096,4096,0,0.0020945072174072266,0.0014528632164001465,57.785936055917546,0.049540590539747395,143.2847900390625,74.64352416992188,0.0045306626707315445,0.012279452756047249,0.012137566693127155,0.012472154572606087,0.585486650466919,57.693302154541016,0.11878185719251633,"272,3129,386,314,1311,285,1341,383,372,357,263,511,1297,336,2959,258",105.27217864990234,,,,,0,0.0038631458301097155,0.004365229047834873,0.006473388522863388,0.006754785776138306,"0.110,0.110,0.272,0.633,1.123,1.369,1.194,0.927",4575.390625,4482.4443359375,"129.6,129.6,664.9,735.3,1.686e+04,1.223e+04,1600,4257",0.43976396322250366,0.557219386100769,"0.3379,0.3379,0.2705,0.3739,0.6136,0.4913,0.4023,0.6908","0.01607,0.01607,0.01999,0.04268,0.08859,0.07853,0.06011,0.1027","0.04838,0.04838,0.03832,0.05365,0.08361,0.06712,0.05501,0.1066",4055,0.06227628514170647,1039,0.014031430706381798,"3907,3932,3651,3676,3779,3804,3129,4035",0.23529839515686035,0.41668701171875,0.3531494140625,"0.41,0.558,0.351,0.383,0.985,0.805,0.805,0.936","0.0869,0.0825,0.0752,0.0732,0.0708,0.0698,0.0674,0.0664","-0.0381,0.0153,0.101,-0.0544,0.0247,-0.146,-0.0496,-0.0684","-0.0628,0.0297,0.0932,0,0,-0.128,-0.0932,-0.0851","-0.0605,0,0.0915,-0.0458,0,-0.152,-0.0485,-0.053",0.326171875,0.2799307703971863,1,0.022107208147644997,0.006557763554155827
0,gate_proj,gptq,14336,4096,0,0.0020646367754255024,0.0015205144882202148,236.94015619517745,0.02461259416819422,822.0340576171875,599.827880859375,5.043348789215088,10.72166919708252,9.36677360534668,10.877683639526367,0.626731812953949,236.7097625732422,0.045740265399217606,"607,1669,1856,3488,29,2461,689,2888,3485,2082,2871,2283,3261,3303,199,3522",15.45247745513916,,,,,0,5.52323055267334,6.856650352478027,3.8584394454956055,5.115962505340576,"0.045,0.045,0.830,1.005,1.099,1.719,1.061,0.988",4068.857666015625,2824.55908203125,"228.1,228.1,1913,6113,3520,7571,6727,6250",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.601,0.601,1.587,2.933,2.173,3.148,3.022,2.928","2.821,2.821,1.741,2.925,2.073,2.401,2.933,2.946",11587,0.006630080286413431,8001,0.012039492838084698,"3485,709,29,4046,2389,3104,3596,3608",0.09387090057134628,0.3620256781578064,0.355564683675766,"2.07,1.59,1.81,1.74,1.75,1.78,1.65,1.8","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418","0.0298,-0.0425,-0.0732,-0.04,-0.0303,-0.00537,0.0508,-0.0903","0,-0.065,-0.065,-0.0611,0,0,0.065,-0.065","0.0296,-0.043,-0.0783,-0.0338,-0.0236,0,0.067,-0.1",0.26953125,0.23039406538009644,1,0.17693264782428741,0.06821096688508987
0,up_proj,gptq,14336,4096,0,0.0020558834075927734,0.0015333890914916992,187.75199396594553,0.023224400270337408,669.8114013671875,487.1895446777344,4.1910858154296875,8.641002655029297,7.538930416107178,8.767976760864258,0.626731812953949,187.66433715820312,0.0378427654504776,"607,1669,3488,1856,2461,29,2888,689,2871,3485,199,3522,2283,3475,541,3261",15.45247745513916,,,,,0,4.466159820556641,5.525938987731934,3.14066219329834,4.1707963943481445,"0.047,0.047,0.815,0.987,1.075,1.687,1.062,1.013",4068.857666015625,2824.55908203125,"228.1,228.1,1913,6113,3520,7571,6727,6250",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.5408,0.5408,1.406,2.635,1.911,2.817,2.747,2.663","2.504,2.504,1.557,2.652,1.843,2.169,2.666,2.647",8761,0.0013459521578624845,12829,0.002132125897333026,"3485,709,29,4046,2389,3104,3596,3608",0.0778031125664711,0.4006347954273224,0.4246216118335724,"1.34,1.11,1.32,1.08,1.38,1.32,1.26,1.31","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418","0.00534,-0.0115,0.0327,0.0222,0.0327,0.0149,0.0195,0.0173","0,0,0.0377,0,0.0491,0,0.0377,0.0377","0,-0.00886,0.0372,0.0211,0.0297,0,0.0169,0.0169",0.16015625,0.19655479490756989,1,0.0700957402586937,0.019667962566018105
0,down_proj,gptq,4096,14336,0,0.002013615199497768,0.0015303066798618861,454.2738729846824,0.05598452066800121,970.3681640625,502.564697265625,0.016126131638884544,0.0573844388127327,0.07740703970193863,0.30712229013442993,0.9981046319007874,452.391845703125,0.10081369429826736,"8268,10585,2605,8001,8733,11579,5647,8509,13768,3106,2632,3024,12036,6686,491,10002",3198.501220703125,,,,,0,0.05496044456958771,0.796333372592926,0.019940640777349472,0.020450782030820847,"0.001,0.001,0.689,0.745,3.447,2.594,0.820,1.201",26959.240234375,11416.5966796875,"232,232,6.909e+04,2.54e+04,2.355e+04,4.268e+04,2.424e+04,3.025e+04",3.3595798015594482,0.7231204509735107,"9.668,9.668,2.239,1.254,0.7945,0.8782,1.275,1.099","0.06444,0.06444,0.3574,0.2064,0.304,0.2624,0.2204,0.2262","1.728,1.728,0.4307,0.2391,0.1638,0.1629,0.2433,0.2064",1430,0.2646936774253845,3931,0.054759617894887924,"12650,12829,1794,10902,10835,10834,5505,10729",0.7077969908714294,0.43353271484375,0.4757080078125,"0.962,0.696,0.853,0.729,0.854,0.819,0.766,0.72","0.216,0.208,0.193,0.176,0.154,0.114,0.107,0.0962","0.0061,0.00629,0.0062,-0.00873,-0.0226,0.0845,0.000538,-0.0147","-0.0302,0,-0.0722,0,-0.54,0.402,0,-0.00983","0.00809,0.00774,0.00837,-0.00893,-0.0241,0.0724,0,-0.019",0.1689453125,0.625391960144043,1,0.1564243882894516,0.005722398404031992
1,q_proj,gptq,4096,4096,0,0.002052009105682373,0.0014661550521850586,433.9370636516976,0.0688964456286437,818.7100830078125,447.267333984375,7.449562072753906,66.74197387695312,24.16061782836914,59.46254348754883,0.8438459038734436,430.9925537109375,0.1944872885942459,"3572,1935,1306,1472,1902,3829,29,2345,50,3490,3261,979,2593,3837,541,1163",118.10209655761719,,,,,0,11.562653541564941,22.405738830566406,8.339171409606934,29.49694061279297,"1.095,1.095,0.582,0.317,0.589,0.897,0.257,0.324",1450.05810546875,1421.240234375,"193.4,193.4,1811,1706,1274,2850,1618,1955",11.018220901489258,13.412817001342773,"3.909,3.909,12.82,14.4,13.04,12.59,13.31,14.16","2.5,2.5,3.663,3.178,4.034,4.758,2.712,3.197","2.39,2.39,4.801,5.64,5.254,5.024,5.35,5.612",2990,0.014936424791812897,950,0.008127781562507153,"3266,788,2593,3104,4046,709,1472,4055",0.7742639780044556,0.294708251953125,0.255401611328125,"2.12,1.67,2.07,1.81,1.84,1.79,1.59,1.54","3.34,3.27,2.95,2.88,2.75,2.73,2.47,2.16","0.0166,-0.0186,0.021,0.0378,-0.0305,-0.00812,-0.0332,-0.0131","0,-0.0474,0,0.0474,0,0,-0.0474,0","0.0326,-0.0174,0.0382,0.0285,-0.0402,0,-0.0352,0",0.1669921875,0.1897321492433548,1,0.4929822087287903,0.0867827981710434
1,k_proj,gptq,1024,4096,0,0.0020818710327148438,0.0014238357543945312,255.67738388157028,0.08102882086297634,449.3106384277344,252.30661010742188,4.317899703979492,38.690433502197266,14.410686492919922,35.728729248046875,0.8438459038734436,254.472900390625,0.21677400171756744,"3572,1935,1472,3829,1306,1902,3490,2345,3261,2593,979,29,541,50,3837,103",118.10209655761719,,,,,0,6.455881595611572,13.629444122314453,4.913684368133545,16.922527313232422,"1.306,1.306,0.524,0.252,0.508,0.996,0.233,0.314",1450.05810546875,1421.240234375,"193.4,193.4,1811,1706,1274,2850,1618,1955",11.018220901489258,13.412817001342773,"3.909,3.909,12.82,14.4,13.04,12.59,13.31,14.16","1.399,1.399,2.825,2.25,3.1,3.868,2.027,2.453","1.224,1.224,3.901,4.481,4.348,3.874,4.203,4.378",687,0.026811445131897926,552,0.020450307056307793,"3266,788,2593,3104,4046,709,1472,4055",0.9278514385223389,0.2852783203125,0.2164306640625,"1.71,1.66,1.67,1.53,1.57,1.24,1.44,0.954","3.34,3.27,2.95,2.88,2.75,2.73,2.47,2.16","-0.0251,-0.0234,0.0879,-0.0221,0.0188,0.0264,0.00735,0.0311","0,0,0.127,0,0,0,0,0","-0.0371,-0.0382,0.0603,-0.0396,0.0338,0.0368,0,0.0338",0.22265625,0.19130003452301025,3,0.5076205134391785,0.4606891870498657
1,v_proj,gptq,1024,4096,0,0.002053976058959961,0.001458883285522461,6.819557970540596,0.02034990241630597,26.37718963623047,20.0921573638916,0.15013562142848969,1.6119177341461182,0.3054720163345337,1.4497592449188232,0.8438459038734436,6.790332794189453,0.10697519034147263,"2822,3572,3448,2058,1472,3327,689,482,3508,1932,1935,911,979,2347,2578,2973",118.10209655761719,,,,,0,0.14500565826892853,0.5535324811935425,0.13465100526809692,0.7110322713851929,"0.735,0.735,0.274,0.200,0.217,0.564,0.178,0.203",1450.05810546875,1421.240234375,"193.4,193.4,1811,1706,1274,2850,1618,1955",11.018220901489258,13.412817001342773,"3.909,3.909,12.82,14.4,13.04,12.59,13.31,14.16","0.07753,0.07753,0.4222,0.413,0.3793,0.5839,0.3673,0.4238","0.09044,0.09044,0.8064,0.9243,0.8134,0.7777,0.8706,0.9396",204,0.01525628287345171,955,0.01932060346007347,"3266,788,2593,3104,4046,709,1472,4055",0.626235842704773,0.5799560546875,0.888427734375,"0.0831,0.0762,0.069,0.0789,0.126,0.0647,0.0788,0.0546","3.34,3.27,2.95,2.88,2.75,2.73,2.47,2.16","-0.00208,0.00212,-0.00114,0.000239,-0.00217,-0.00175,-0.00363,-0.000241","0,0.00342,0,0,-0.00342,-0.00342,-0.00342,0","0,0,0,0,0,0,0,0",0.041259765625,0.04651705548167229,1,0.04684517905116081,0.0041504609398543835
1,o_proj,gptq,4096,4096,0,0.0020972490310668945,0.0014309883117675781,78.15546203565191,0.05082822437503948,188.47474670410156,94.35546875,0.012368600815534592,0.03091132640838623,0.018356934189796448,0.01869599148631096,0.45040300488471985,77.7720947265625,0.09873461723327637,"2988,2996,2612,2429,2657,2620,2589,2682,2608,2643,2681,2610,2635,196,2587,2615",41.25495529174805,,,,,0,0.016835378482937813,0.013060279190540314,0.006839426700025797,0.007859650999307632,"0.148,0.148,1.680,0.917,0.735,0.856,0.953,0.472",11129.009765625,1317.8599853515625,"69.57,69.57,8.273e+04,1119,1382,1234,1813,610.8",0.6247037649154663,0.5846973061561584,"0.38,0.38,1.567,0.5283,0.5805,0.5201,0.5757,0.466","0.02289,0.02289,0.3257,0.07917,0.07653,0.07364,0.087,0.04936","0.05948,0.05948,0.2513,0.08269,0.08929,0.07961,0.08914,0.07184",291,0.11252742260694504,2311,0.01778331585228443,"2633,2988,2860,2579,2641,2587,2597,2578",0.4859345853328705,0.431121826171875,0.35333251953125,"0.665,0.659,0.528,0.721,0.658,0.775,0.723,0.732","0.13,0.106,0.104,0.101,0.08,0.0796,0.0781,0.0781","-0.0103,0.119,0.00482,0.0215,0.00497,0.0391,0.0215,-0.022","0,0.154,0,0,0,0.077,0,0","0,0.102,0,0.0304,0,0.0304,0.0304,-0.0304",0.4140625,0.443387895822525,1,0.025670785456895828,0.002998404437676072
