layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.0020211338996887207,0.001447439193725586,953.6904714993693,0.16309120457870166,1340.9967041015625,482.68939208984375,10.210805892944336,74.86592102050781,15.207008361816406,62.51034927368164,0.982268214225769,944.4156494140625,0.275128036737442,"2871,2650,3303,891,1669,2646,162,565,194,3608,2082,2333,4055,133,2877,87",613.0956420898438,,,,,0,8.723166465759277,21.24724769592285,7.94857120513916,40.353271484375,"0.099,0.099,3.763,0.744,2.582,0.400,0.714,0.487",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","1.617,1.617,0.8482,3.967,0.5614,4.3,3.999,3.647","5.128,5.128,0.4373,4.6,0.3494,6.796,4.733,5.228",39,0.028091590851545334,4022,0.02054618112742901,"2229,2917,2581,345,2126,3483,1508,297",0.08272498846054077,0.38470458984375,0.34625244140625,"1.85,1.84,2.07,1.83,1.96,1.89,1.83,1.83","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","-0.114,-0.008,0.0525,-0.0295,0.085,0.00549,0.00705,0.0294","-0.131,0,0,0,0.131,0,0,0","-0.0938,0,0,0,0.144,0,0,0",0.74609375,0.8526785969734192,1,0.09408709406852722,0.04772021993994713
0,k_proj,gptq,1024,4096,0,0.0020139217376708984,0.0014109611511230469,648.5434072165167,0.21306728088564827,872.116455078125,285.19085693359375,6.958060264587402,29.85651969909668,11.01047134399414,25.975547790527344,0.982268214225769,643.6873779296875,0.30702874064445496,"2871,3303,2650,891,2646,565,162,1669,194,4055,3608,1384,87,2082,2535,2333",613.0956420898438,,,,,0,6.623885154724121,13.230652809143066,5.879387855529785,15.525524139404297,"0.085,0.085,6.479,1.113,4.374,0.922,1.107,0.701",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","1.538,1.538,0.8076,3.53,0.4739,3.757,3.382,3.062","5.266,5.266,0.3173,3.346,0.2266,3.912,3.215,3.659",818,0.023421291261911392,875,0.01935468427836895,"2229,2917,2581,345,2126,3483,1508,297",0.07579266279935837,0.3621826171875,0.3040771484375,"1.76,1.77,1.79,1.76,1.63,1.68,1.74,1.63","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","0.15,0.176,0.0703,0.0444,-0.00558,-0.104,-0.174,0.189","0.113,0.226,0,0,0,-0.0897,-0.113,0.179","0.129,0.157,0.0809,0.0678,0,-0.121,-0.165,0.203",0.380859375,0.4516035318374634,1,0.0725320428609848,0.018922235816717148
0,v_proj,gptq,1024,4096,0,0.001992940902709961,0.0014576911926269531,5.5062560610217925,0.025151785393226517,18.632125854492188,17.150089263916016,0.06074756756424904,0.43858110904693604,0.07311534881591797,0.34837889671325684,0.982268214225769,5.356195449829102,0.07091646641492844,"2871,2650,891,2646,565,1669,194,162,2333,3608,87,133,2082,3303,1384,4055",613.0956420898438,,,,,0,0.03895628824830055,0.12320816516876221,0.037118569016456604,0.2239304780960083,"0.249,0.249,0.696,0.324,0.884,0.447,0.311,0.244",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.08079,0.08079,0.05016,0.2936,0.0419,0.254,0.2825,0.2526","0.1618,0.1618,0.06011,0.5157,0.04457,0.3798,0.5063,0.511",844,0.03045561909675598,129,0.010903301648795605,"2229,2917,2581,345,2126,3483,1508,297",0.06337150186300278,0.481689453125,0.817626953125,"0.0661,0.0779,0.0883,0.073,0.0956,0.125,0.104,0.106","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","-0.00204,0.00146,0.00359,0.0011,-1.93e-05,-0.00952,0.00531,-0.00131","0,0,0.00479,0,0,-0.00741,0.00479,0","0,0,0,0,0,-0.0112,0.00687,0",0.0419921875,0.034460633993148804,2,0.0073114498518407345,7.895406452007592e-05
0,o_proj,gptq,4096,4096,0,0.0021052956581115723,0.0014528632164001465,59.461410156002785,0.050976995001067435,144.68109130859375,74.64352416992188,0.004544718191027641,0.012571033090353012,0.01108742505311966,0.012472154572606087,0.5945128202438354,59.2745361328125,0.12090761959552765,"272,386,3129,1311,314,285,1341,383,372,1289,511,357,263,413,2959,1297",100.36190032958984,,,,,0,0.0039998795837163925,0.004365229047834873,0.005397737491875887,0.006754785776138306,"0.127,0.127,0.280,0.732,1.170,1.367,1.034,1.004",4496.65771484375,4099.30078125,"115.6,115.6,641.6,700.8,1.668e+04,1.179e+04,1541,4383",0.43976396322250366,0.557219386100769,"0.3379,0.3379,0.2705,0.3739,0.6136,0.4913,0.4023,0.6908","0.01721,0.01721,0.02029,0.04591,0.09044,0.07847,0.05592,0.1069","0.04838,0.04838,0.03832,0.05365,0.08361,0.06712,0.05501,0.1066",291,0.06826815009117126,1039,0.014031430706381798,"3907,3932,3651,3676,3779,3804,3129,4035",0.20000934600830078,0.416351318359375,0.3531494140625,"0.41,0.558,0.351,0.383,0.985,0.805,0.805,0.936","0.0869,0.0825,0.0752,0.0732,0.0708,0.0698,0.0674,0.0664","0.0625,-0.104,-0.102,0.0786,-0.389,0.463,0.0505,0.114","0.0459,-0.0695,-0.0988,0.0918,-0.329,0.396,0.0988,0.113","0,-0.127,-0.129,0.0647,-0.397,0.397,0.0658,0.15",0.462890625,0.39554351568222046,1,0.023630913347005844,0.002583913505077362
0,gate_proj,gptq,14336,4096,0,0.002067634037562779,0.0015205144882202148,246.64761905235355,0.025620974712645628,831.763671875,599.827880859375,4.935277938842773,10.697928428649902,9.390006065368652,10.877683639526367,0.6468554735183716,246.45803833007812,0.04554366692900658,"1856,1669,3488,2461,689,29,2082,2888,3261,2283,607,199,3485,2871,3303,541",15.964418411254883,,,,,0,5.642289161682129,6.856650352478027,3.7505388259887695,5.115962505340576,"0.041,0.041,0.784,1.170,1.161,1.787,1.042,0.903",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.5709,0.5709,1.542,3.164,2.234,3.21,2.995,2.8","2.821,2.821,1.741,2.925,2.073,2.401,2.933,2.946",12650,0.007414661813527346,8001,0.012039492838084698,"3485,709,29,4046,2389,3104,3596,3608",0.08784570544958115,0.361851304769516,0.355564683675766,"2.07,1.59,1.81,1.74,1.75,1.78,1.65,1.8","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418","-0.236,0.0417,-0.33,-0.59,0.0723,-0.106,-0.218,-0.0623","-0.283,0,-0.377,-0.51,0,-0.17,-0.189,-0.0943","-0.203,0.0519,-0.283,-0.506,0.0619,-0.122,-0.212,-0.106",0.58984375,0.51035475730896,1,0.19235467910766602,0.10193481296300888
0,up_proj,gptq,14336,4096,0,0.002053380012512207,0.0015333890914916992,195.45469518683217,0.024177203021125426,677.8505859375,487.1895446777344,4.108868598937988,8.61789321899414,7.483076095581055,8.767976760864258,0.6468554735183716,195.36428833007812,0.037730615586042404,"3488,1856,1669,2461,689,2888,29,199,2082,3261,2871,2283,541,3522,3485,2185",15.964418411254883,,,,,0,4.505949020385742,5.525938987731934,3.0255484580993652,4.1707963943481445,"0.043,0.043,0.740,1.170,1.137,1.661,1.049,0.907",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.5186,0.5186,1.339,2.869,1.965,2.795,2.731,2.52","2.504,2.504,1.557,2.652,1.843,2.169,2.666,2.647",4108,0.0015418544644489884,12829,0.002132125897333026,"3485,709,29,4046,2389,3104,3596,3608",0.07161802053451538,0.400974839925766,0.4246216118335724,"1.34,1.11,1.32,1.08,1.38,1.32,1.26,1.31","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418","0.016,-0.00555,0.0432,-0.0256,0.00519,-0.0244,0.00928,-0.00751","0,0,0.0345,-0.03,0,-0.02,0,0","0.0155,-0.00858,0.037,-0.0292,0.00991,-0.0206,0.00795,-0.00795",0.12060546875,0.1033761203289032,1,0.07716286182403564,0.025657519698143005
0,down_proj,gptq,4096,14336,0,0.0020063774926321848,0.0015303066798618861,464.68573662868585,0.05726767435575419,981.4656372070312,502.564697265625,0.015406565740704536,0.058749884366989136,0.07421806454658508,0.30712229013442993,0.9984935522079468,462.8265686035156,0.09918614476919174,"8268,10585,2605,8001,11579,13768,8733,3106,5647,8509,8631,491,1456,7749,11381,3053",3447.137939453125,,,,,0,0.058846890926361084,0.796333372592926,0.016443423926830292,0.020450782030820847,"0.001,0.001,0.772,0.991,3.556,2.378,0.830,1.307",28983.25,10197.8515625,"209.8,209.8,7.558e+04,3.082e+04,2.455e+04,4.098e+04,2.567e+04,3.386e+04",3.3595798015594482,0.7231204509735107,"9.668,9.668,2.239,1.254,0.7945,0.8782,1.275,1.099","0.0617,0.0617,0.3784,0.2381,0.3088,0.2512,0.2217,0.236","1.728,1.728,0.4307,0.2391,0.1638,0.1629,0.2433,0.2064",1430,0.21394014358520508,3931,0.054759617894887924,"12650,12829,1794,10902,10835,10834,5505,10729",0.6288396120071411,0.43048095703125,0.4757080078125,"0.962,0.696,0.853,0.729,0.854,0.819,0.766,0.72","0.216,0.208,0.193,0.176,0.154,0.114,0.107,0.0962","0.0061,0.00629,0.0062,-0.00873,-0.0226,0.0845,0.000538,-0.0147","0,0,-0.0415,0,-0.544,0.401,0,-0.0107","0.00809,0.00774,0.00837,-0.00893,-0.0241,0.0724,0,-0.019",0.1689453125,0.6305392384529114,1,0.14282925426959991,0.005722398404031992
1,q_proj,gptq,4096,4096,0,0.00205075740814209,0.0014661550521850586,444.5506561086536,0.0705815720142114,830.7054443359375,447.267333984375,7.429476737976074,66.34388732910156,23.622562408447266,60.22411346435547,0.8586121797561646,441.63909912109375,0.19625608623027802,"3572,1935,1306,1472,1902,3829,2345,2593,3490,50,29,979,3261,1163,2717,541",115.50443267822266,,,,,0,11.591712951660156,22.578001022338867,7.705513954162598,29.905662536621094,"1.075,1.075,0.654,0.331,0.509,0.929,0.248,0.292",1451.11328125,1345.5758056640625,"178.2,178.2,1818,1719,1328,2803,1617,1967",11.027935028076172,13.461835861206055,"3.915,3.915,12.91,14.33,13.16,12.74,13.26,14","2.478,2.478,3.909,3.237,3.837,4.879,2.648,3.027","2.39,2.39,4.833,5.623,5.38,5.062,5.319,5.6",991,0.01160606648772955,950,0.008183173835277557,"788,3104,709,4046,1472,3266,2593,2272",0.747601330280304,0.28759765625,0.2490234375,"1.67,1.81,1.79,1.84,1.59,2.12,2.07,1.78","3.81,3.17,2.75,2.69,2.61,2.55,2.3,2.17","-0.0615,0.0645,0.0281,0.0254,-0.0596,0.0156,0.184,-0.00149","-0.0525,0.0525,0.0525,0.0525,-0.0525,0,0.157,0","-0.0552,0.0737,0.0366,0.0331,-0.041,0,0.157,0",0.2109375,0.19596903026103973,1,0.4133996367454529,0.14516039192676544
1,k_proj,gptq,1024,4096,0,0.002064228057861328,0.0014238357543945312,263.12731611236063,0.08338984010920596,456.7454528808594,252.30661010742188,4.316369533538818,38.45521545410156,13.877031326293945,36.02864074707031,0.8586121797561646,261.429443359375,0.2168198972940445,"3572,1935,1472,1306,3829,1902,2345,3490,2593,29,979,3261,541,50,1163,103",115.50443267822266,,,,,0,6.339774131774902,13.701032638549805,4.626002311706543,17.099597930908203,"1.294,1.294,0.543,0.282,0.454,0.945,0.233,0.283",1451.11328125,1345.5758056640625,"178.2,178.2,1818,1719,1328,2803,1617,1967",11.027935028076172,13.461835861206055,"3.915,3.915,12.91,14.33,13.16,12.74,13.26,14","1.394,1.394,2.891,2.384,2.986,3.811,2.009,2.305","1.226,1.226,3.923,4.489,4.432,3.92,4.16,4.329",741,0.02841510809957981,552,0.020864317193627357,"788,3104,709,4046,1472,3266,2593,2272",0.9446941614151001,0.2711181640625,0.2015380859375,"1.66,1.53,1.24,1.57,1.44,1.71,1.67,1.43","3.81,3.17,2.75,2.69,2.61,2.55,2.3,2.17","0.00916,0.00389,-0.0105,0.0284,0.0376,-0.0129,0.0547,-0.0405","0,0,0,0,0.0633,0,0.0633,0","0,0,0,0,0.0642,0,0.072,-0.0446",0.224609375,0.26299893856048584,1,0.5032995939254761,0.12816359102725983
1,v_proj,gptq,1024,4096,0,0.002030611038208008,0.001458883285522461,6.969517116352419,0.020797388015355914,26.516801834106445,20.0921573638916,0.14970745146274567,1.5995365381240845,0.2953885793685913,1.4516372680664062,0.8586121797561646,6.9344305992126465,0.1078464612364769,"3572,2058,2822,2717,3327,1472,3448,482,689,2461,911,3508,2973,1935,979,23",115.50443267822266,,,,,0,0.1402924656867981,0.54948490858078,0.12660828232765198,0.7178363800048828,"0.717,0.717,0.287,0.200,0.200,0.495,0.176,0.207",1451.11328125,1345.5758056640625,"178.2,178.2,1818,1719,1328,2803,1617,1967",11.027935028076172,13.461835861206055,"3.915,3.915,12.91,14.33,13.16,12.74,13.26,14","0.07753,0.07753,0.4314,0.4088,0.3585,0.5641,0.3633,0.4223","0.09157,0.09157,0.805,0.9135,0.8009,0.8017,0.8668,0.9279",578,0.025056440383195877,955,0.017185915261507034,"788,3104,709,4046,1472,3266,2593,2272",0.585631787776947,0.5614013671875,0.87158203125,"0.0762,0.0789,0.0647,0.126,0.0788,0.0831,0.069,0.0882","3.81,3.17,2.75,2.69,2.61,2.55,2.3,2.17","-0.00595,0.000277,0.0047,0.00455,0.0054,-0.00293,0.000171,0.00577","-0.00907,0,0.00907,0,0.00907,0,0,0.00907","-0.00705,0,0.00732,0.0053,0.00907,-0.00441,0,0.00488",0.03173828125,0.028798343613743782,1,0.05674872547388077,0.003962142858654261
