layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,3072,3072,0,0.0020890765719943577,0.0014401541815863715,1029.8382733799608,0.09428907619631464,1704.393798828125,827.4805908203125,9.112948417663574,55.40135192871094,27.036327362060547,54.761314392089844,0.9006261825561523,1025.7431640625,0.3083580732345581,"1238,1947,3039,642,1363,676,882,661,2663,1439,2433,221,2898,2679,1279,1655",90.92579650878906,,,,,0,17.186952590942383,22.284122467041016,6.631542682647705,27.809059143066406,"1.050,1.050,0.736,0.637,0.645,1.103,0.599,0.621",1692.38232421875,1147.62939453125,"183,183,1687,1869,1487,3929,1967,2234",6.585635185241699,6.816584587097168,"4.299,4.299,8.642,6.888,8.781,5.501,6.758,7.519","3.709,3.709,4.895,3.72,4.619,5.036,3.396,3.736","3.619,3.619,5.706,4.661,5.752,4.795,4.387,4.741",2215,0.024224113672971725,167,0.03494006767868996,"2587,2949,642,676,1238,1008,2610,443",1.201884388923645,0.1900227963924408,0.146728515625,"4.93,4.34,4.15,5.13,5.43,4.27,4.62,3.56","3,2.98,2.19,2.17,1.92,1.77,1.77,1.52","0.473,-0.188,0.289,0.465,0.426,0.354,0.283,0.112","0.563,-0.188,0.375,0.375,0.375,0.375,0.375,0.188","0.405,-0.154,0.266,0.398,0.365,0.311,0.27,0.142",0.65625,0.5625000596046448,2,0.7189216613769531,0.14875370264053345
0,k_proj,gptq,1024,3072,0,0.0020469029744466147,0.0014899571736653645,604.4728848497015,0.11231916247623472,964.4036865234375,424.58013916015625,5.262558460235596,21.808151245117188,16.560192108154297,22.395986557006836,0.9006261825561523,599.3560791015625,0.33093371987342834,"1238,1947,3039,642,1363,676,1439,2898,2433,882,2663,221,1279,661,2679,2172",90.92579650878906,,,,,0,11.01559066772461,10.781766891479492,3.9641690254211426,10.78849983215332,"0.967,0.967,1.057,1.072,0.878,2.172,0.716,0.668",1692.38232421875,1147.62939453125,"183,183,1687,1869,1487,3929,1967,2234",6.585635185241699,6.816584587097168,"4.299,4.299,8.642,6.888,8.781,5.501,6.758,7.519","3.067,3.067,3.989,3.102,3.721,4.077,2.423,2.728","3.118,3.118,3.88,2.996,3.972,2.766,2.864,3.339",1000,0.03497747331857681,768,0.030674023553729057,"2587,2949,642,676,1238,1008,2610,443",1.2174452543258667,0.2509765625,0.165283203125,"3.01,2.53,2.72,2.84,3.14,2.32,2.53,1.99","3,2.98,2.19,2.17,1.92,1.77,1.77,1.52","0.159,-0.109,0.129,0.154,0.116,0.064,0.0557,0.0566","0.237,0,0.237,0.237,0,0,0,0","0.136,-0.13,0.132,0.132,0.151,0.0748,0.0455,0.046",0.828125,0.7098214626312256,1,0.695905864238739,0.011480454355478287
0,v_proj,gptq,1024,3072,0,0.0020777384440104165,0.0014476776123046875,10.154358380522128,0.024900246909560324,34.80961608886719,26.27592658996582,0.12153465300798416,0.7330878973007202,0.22989171743392944,0.7380567193031311,0.9006261825561523,10.127452850341797,0.09558316320180893,"1238,1947,1363,3039,642,676,2898,661,882,221,1655,1439,2587,2679,2663,678",90.92579650878906,,,,,0,0.1256532371044159,0.31123077869415283,0.07710917294025421,0.3531760573387146,"0.628,0.628,0.277,0.370,0.237,1.256,0.372,0.342",1692.38232421875,1147.62939453125,"183,183,1687,1869,1487,3929,1967,2234",6.585635185241699,6.816584587097168,"4.299,4.299,8.642,6.888,8.781,5.501,6.758,7.519","0.1327,0.1327,0.3799,0.365,0.3525,0.5326,0.3536,0.3994","0.1675,0.1675,0.7218,0.6005,0.724,0.4753,0.5799,0.6826",345,0.01608864590525627,492,0.01213771104812622,"2587,2949,642,676,1238,1008,2610,443",0.6809792518615723,0.475830078125,0.8084716796875,"0.0921,0.166,0.122,0.092,0.109,0.144,0.146,0.182","3,2.98,2.19,2.17,1.92,1.77,1.77,1.52","0.00909,-0.00854,-0.00458,-0.00115,-0.0019,0.00635,0.0204,0.000671","0.0146,-0.0146,0,0,0,0.0146,0.0292,0","0.01,-0.0106,0,0,0,0.0119,0.0201,0",0.051025390625,0.047294750809669495,1,0.044710177928209305,0.02702997997403145
0,o_proj,gptq,3072,3072,0,0.002151065402560764,0.0014745924207899305,67.76418765546987,0.04944157551994523,165.99107360839844,87.87832641601562,0.014482943341135979,0.04299728572368622,0.033439211547374725,0.039574816823005676,0.8225146532058716,67.72508239746094,0.10704591870307922,"1085,1055,144,229,1041,2361,186,157,244,258,101,383,1033,1947,1935,2489",93.32683563232422,,,,,0,0.01330513320863247,0.01547486986964941,0.016493801027536392,0.023844575509428978,"0.201,0.201,0.197,0.996,0.570,1.463,0.782,0.926",2040.77587890625,2843.512451171875,"81.86,81.86,155.8,945.9,1078,9047,415.3,4520",0.6454950571060181,0.878757655620575,"0.4442,0.4442,0.4196,0.7127,0.6525,0.8111,0.4853,1.194","0.03462,0.03462,0.03224,0.1246,0.08945,0.1584,0.07471,0.221","0.07716,0.07716,0.07258,0.1248,0.1185,0.1309,0.08446,0.2296",1830,0.01489231362938881,2371,0.018848886713385582,"2617,2361,157,3057,2801,2929,2248,2665",0.5849971175193787,0.4010009765625,0.3877360224723816,"1.01,0.981,0.772,0.735,0.709,0.73,0.909,0.914","0.212,0.179,0.165,0.146,0.146,0.146,0.103,0.0977","-0.0108,-0.0347,-0.0762,-0.0972,-0.0942,-0.0972,-0.135,-0.000205","0,-0.0452,-0.0904,-0.0904,-0.0904,-0.0904,-0.136,0.0217","0,-0.0297,-0.0653,-0.0833,-0.0808,-0.0833,-0.127,0",0.158203125,0.1356026828289032,6,0.010916348546743393,0.004284512251615524
0,gate_proj,gptq,8192,3072,0,0.0020887056986490884,0.0014166831970214844,195.03475586645595,0.022096519401293126,713.3287353515625,525.0596923828125,6.736415386199951,13.80556583404541,12.258455276489258,14.676657676696777,0.6269672513008118,194.97637939453125,0.0431194007396698,"1731,642,1238,1404,2587,2924,2576,2172,676,1888,1534,1810,2949,1305,962,2330",17.91111946105957,,,,,0,7.277457237243652,8.66356086730957,4.647942543029785,6.878835201263428,"0.066,0.066,0.967,0.841,0.976,2.668,0.890,0.935",3035.373779296875,1907.738037109375,"202.5,202.5,4063,2967,3793,5849,3248,3958",7.033000469207764,6.22402286529541,"7.06,7.06,7.59,7.083,7.192,5.369,7.253,7.656","0.7533,0.7533,3.151,2.696,2.983,3.704,2.815,3.057","2.935,2.935,3.205,2.939,3.019,2.268,2.984,3.163",289,0.004970751702785492,1498,0.0052711330354213715,"2949,1622,1416,1655,938,2330,427,443",0.22333337366580963,0.364715576171875,0.3584442138671875,"1.69,1.73,1.7,1.6,1.71,1.75,1.71,1.68","1.86,1.2,1.17,1.05,0.895,0.883,0.875,0.812","0.0361,0.042,-0.0107,-0.0688,-0.00854,0.0178,-0.0245,-0.032","0.0614,0.0614,0,-0.0614,0,0,0,-0.0361","0.0259,0.0472,0,-0.0707,0,0.0229,-0.0255,-0.0255",0.21484375,0.2455357313156128,1,0.2102937400341034,0.09487904608249664
0,up_proj,gptq,8192,3072,0,0.0020652214686075845,0.001406709353129069,166.93907209151348,0.02117614156477431,627.1907348632812,462.8324279785156,6.017460823059082,12.018096923828125,10.674752235412598,12.6871919631958,0.6269672513008118,166.86767578125,0.03413383662700653,"1731,642,1238,2576,2924,2587,2172,1404,676,1810,1888,1534,1688,2949,2888,2330",17.91111946105957,,,,,0,6.315450668334961,7.501535415649414,4.142243385314941,5.89370059967041,"0.073,0.073,0.927,0.841,0.971,2.664,0.887,0.957",3035.373779296875,1907.738037109375,"202.5,202.5,4063,2967,3793,5849,3248,3958",7.033000469207764,6.22402286529541,"7.06,7.06,7.59,7.083,7.192,5.369,7.253,7.656","0.725,0.725,2.881,2.514,2.763,3.415,2.656,2.915","2.69,2.69,2.992,2.742,2.804,2.092,2.82,2.979",6164,0.0033362223766744137,5879,0.002576834987848997,"2949,1622,1416,1655,938,2330,427,443",0.17887578904628754,0.3489990234375,0.380859375,"1.52,1.5,1.48,1.27,1.54,1.53,1.55,1.54","1.86,1.2,1.17,1.05,0.895,0.883,0.875,0.812","-0.126,0.0183,-0.084,-0.00449,-0.0381,0.181,-0.0125,0.082","-0.162,0,-0.0809,0,0,0.162,0,0.0699","-0.144,0.0237,-0.0776,0,-0.0419,0.155,0,0.0798",0.283203125,0.2427455484867096,2,0.1596146523952484,0.05995778366923332
0,down_proj,gptq,3072,8192,0,0.0020249287287394204,0.001401344935099284,337.92401489525946,0.04346910911109753,827.5,484.8197021484375,0.06662027537822723,0.2139934003353119,0.15011277794837952,0.8146034479141235,0.9802821278572083,336.3096618652344,0.1220710352063179,"4701,289,2503,6198,7345,6623,8004,4386,4681,5651,4838,5843,8088,4745,4532,6317",1669.609375,,,,,0,0.10774786025285721,2.0277600288391113,0.0467790924012661,0.07003932446241379,"0.004,0.004,1.076,0.920,1.097,1.286,0.763,1.246",8637.4296875,4507.2841796875,"209.7,209.7,1.79e+04,7818,1.494e+04,6881,6802,1.433e+04",4.243520259857178,1.0457168817520142,"12.78,12.78,1.922,1.216,1.616,0.9329,1.267,1.434","0.1661,0.1661,0.5112,0.2824,0.4137,0.2565,0.2708,0.3944","2.781,2.781,0.4928,0.2944,0.395,0.2261,0.3101,0.3534",3059,0.026588337495923042,221,0.01181553304195404,"7345,2196,6661,6623,4161,1498,4947,1940",0.2865261733531952,0.45556640625,0.4847412109375,"1,0.866,0.895,0.882,0.905,0.72,0.973,0.725","0.4,0.395,0.385,0.236,0.219,0.211,0.198,0.198","0.0106,0.0181,-0.0145,-0.021,9.2e-05,0.00137,-0.0289,-0.0306","0,0.0662,-0.0169,0,0,0,0,-0.0662","0.0126,0,0,-0.0254,0,0,-0.0279,-0.0317",0.34375,0.392857164144516,1,0.06745634227991104,0.012283410876989365
1,q_proj,gptq,3072,3072,0,0.0021031697591145835,0.0014594395955403645,391.3357632076064,0.05414431593394135,824.8939208984375,459.86810302734375,8.175880432128906,51.74217987060547,19.232349395751953,49.99256134033203,0.9086443185806274,389.38909912109375,0.14124485850334167,"2652,1428,2852,2888,1909,2588,2482,79,3067,1026,730,40,2509,967,1725,1693",45.72677230834961,,,,,0,10.813444137573242,19.92435073852539,7.9414777755737305,25.438980102539062,"1.147,1.147,0.665,0.406,0.456,0.914,0.286,0.421",1479.426513671875,1367.9814453125,"160.4,160.4,1846,1760,1839,2421,1481,2168",9.724842071533203,11.716254234313965,"3.294,3.294,11.55,12.66,13.04,10.54,11.37,12.06","2.073,2.073,3.893,3.292,3.747,4.504,2.611,3.283","1.935,1.935,4.774,5.166,5.545,4.711,4.886,5.061",1864,0.010780606418848038,2297,0.011308780871331692,"1428,1404,2652,2400,34,454,2577,1659",0.47732123732566833,0.2864990234375,0.2781575620174408,"1.94,1.89,1.92,2.27,1.83,2.09,1.71,1.85","3.11,2.45,2.42,1.98,1.98,1.83,1.8,1.8","0.111,0.0635,0.0747,0.00473,-0.0228,0.0172,-0.0291,-0.0347","0.116,0.0578,0.0578,0,0,0.0432,-0.0578,-0.0578","0.0954,0.0759,0.0753,0,0,0,-0.0377,-0.0379",0.2021484375,0.1744074821472168,2,0.38900259137153625,0.22820797562599182
1,k_proj,gptq,1024,3072,0,0.0021142959594726562,0.0014603932698567708,248.02001688928422,0.06084404313510291,493.2750244140625,267.89801025390625,5.003856182098389,29.46343994140625,12.290019989013672,28.104412078857422,0.9086443185806274,246.98484802246094,0.148686021566391,"2652,1428,2852,2888,2588,1909,3067,2638,2482,79,730,24,404,40,1026,1404",45.72677230834961,,,,,0,6.988097190856934,11.057649612426758,5.060816764831543,14.520959854125977,"1.323,1.323,0.851,0.402,0.569,1.159,0.338,0.488",1479.426513671875,1367.9814453125,"160.4,160.4,1846,1760,1839,2421,1481,2168",9.724842071533203,11.716254234313965,"3.294,3.294,11.55,12.66,13.04,10.54,11.37,12.06","1.385,1.385,3.379,2.621,3.088,3.6,2.095,2.625","1.204,1.204,3.664,4.132,4.094,3.343,3.603,3.76",624,0.019880997017025948,192,0.020432017743587494,"1428,1404,2652,2400,34,454,2577,1659",0.49917319416999817,0.298095703125,0.26123046875,"1.42,1.46,1.51,1.69,1.23,1.61,1.19,1.46","3.11,2.45,2.42,1.98,1.98,1.83,1.8,1.8","0.165,-0.0332,0.0505,0.00836,0.0464,-0.0051,0.00103,0.0547","0.133,0,0.0664,0,0.0664,0,0,0.0664","0.144,-0.0491,0.0377,0,0.0452,0,0,0.0485",0.232421875,0.254855215549469,1,0.43539106845855713,0.44443562626838684
1,v_proj,gptq,1024,3072,0,0.0020891825358072915,0.0014438629150390625,15.066221647037372,0.027735138080772558,47.023502349853516,32.574066162109375,0.40184110403060913,2.7530264854431152,0.7348387837409973,2.653310775756836,0.9086443185806274,15.034947395324707,0.0888470858335495,"1519,2652,1428,1026,227,2509,835,1167,2071,359,2602,47,1889,151,3029,65",45.72677230834961,,,,,0,0.37561577558517456,1.031020164489746,0.3299371898174286,1.3569867610931396,"0.808,0.808,0.390,0.271,0.324,0.676,0.263,0.344",1479.426513671875,1367.9814453125,"160.4,160.4,1846,1760,1839,2421,1481,2168",9.724842071533203,11.716254234313965,"3.294,3.294,11.55,12.66,13.04,10.54,11.37,12.06","0.1021,0.1021,0.7172,0.6527,0.7302,0.8358,0.5725,0.6958","0.1136,0.1136,1.148,1.254,1.283,1.016,1.117,1.186",813,0.012577644549310207,973,0.009561238810420036,"1428,1404,2652,2400,34,454,2577,1659",0.2937160134315491,0.5328369140625,0.775146484375,"0.102,0.156,0.113,0.162,0.163,0.162,0.214,0.154","3.11,2.45,2.42,1.98,1.98,1.83,1.8,1.8","0.0051,-0.0016,0.00215,0.00754,-0.00653,0.000904,0.0061,0.000347","0,0,0,0,0,0.0115,0,0","0,0,0,0.0114,0,0,0.00889,0",0.05615234375,0.0481305792927742,2,0.0818897932767868,0.009257122874259949
