layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,5120,5120,0,0.0021071624755859375,0.001488037109375,654.7102043121122,0.051969859861094196,1403.636962890625,757.6541748046875,7.934446811676025,44.73919677734375,13.144079208374023,40.37944793701172,0.8376689553260803,653.8732299804688,0.04715971648693085,"3760,4131,1486,188,4963,1397,613,2508,4942,4448,249,4373,1013,4717,2832,2533",119.6910629272461,,,,,0,7.301156044006348,19.279640197753906,4.6119914054870605,22.4155330657959,"0.617,0.569,0.637,0.218,0.023,0.447,0.536,0.002",2725.94677734375,2055.14892578125,"171.8,6456,2555,1917,98.73,4392,6204,12.92",9.97662353515625,11.158710479736328,"1.934,13.04,9.929,12.04,9.169,12.67,13.1,7.934","0.5973,3.735,3.912,2.241,0.6151,3.178,3.642,0.1925","0.7607,4.951,4.899,4.798,4.025,4.753,4.973,4.312",254,0.004639882128685713,3711,0.027610352262854576,"4717,613,1486,2832,4963,4942,4131,2261",2.9310715198516846,0.28010255098342896,0.24086914956569672,"2.63,2.89,2.43,2.47,2.72,2.5,2.44,2.2","1.8,1.59,1.56,1.54,1.41,1.38,1.16,0.961","-0.00461,-0.00241,-0.00278,0.00934,0.0175,0.0493,-0.00357,-0.00763","0,0,0,0,0,0.0347,0,0","0,0,0,0,0.034,0.034,0,0",0.2109375,0.2378195971250534,1,0.041900139302015305,0.13033322989940643
0,k_proj,gptq,1024,5120,0,0.002117347717285156,0.0014455795288085937,238.5836932748498,0.05139987067722188,514.0751953125,273.73223876953125,2.953010082244873,15.991745948791504,4.822166919708252,13.989126205444336,0.8376689553260803,238.67752075195312,0.04138733819127083,"3760,4131,1486,188,1397,4963,2508,4448,2832,4942,4373,249,613,1013,4717,2533",119.6910629272461,,,,,0,2.6462063789367676,6.722672939300537,1.8229737281799316,7.956600189208984,"0.689,0.582,0.734,0.261,0.022,0.405,0.585,0.002",2725.94677734375,2055.14892578125,"171.8,6456,2555,1917,98.73,4392,6204,12.92",9.97662353515625,11.158710479736328,"1.934,13.04,9.929,12.04,9.169,12.67,13.1,7.934","0.3784,2.253,2.291,1.409,0.3671,1.956,2.178,0.1168","0.4558,2.954,2.673,2.755,2.449,3.074,2.848,2.56",543,0.01397637091577053,694,0.04888526722788811,"4717,613,1486,2832,4963,4942,4131,2261",2.538302183151245,0.422607421875,0.4205322265625,"1.48,1.24,1.27,1.53,1.44,1.25,1.4,1.25","1.8,1.59,1.56,1.54,1.41,1.38,1.16,0.961","0.00337,-0.00176,-0.0023,0.0051,0.00327,-0.00208,-0.000603,-0.00717","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0",0.1396484375,0.17108143866062164,1,0.04339906573295593,0.07714095711708069
0,v_proj,gptq,1024,5120,0,0.0020938873291015624,0.0014659881591796875,45.70962237697677,0.04963037669816484,100.35589599609375,53.045318603515625,0.6104661226272583,2.834561586380005,0.8536195755004883,2.4302139282226562,0.8376689553260803,45.711578369140625,0.02546066790819168,"3760,4131,1486,188,1397,4942,613,2508,4963,249,4448,4373,2832,1013,2533,95",119.6910629272461,,,,,0,0.46757805347442627,1.1916923522949219,0.34167563915252686,1.3451650142669678,"0.674,0.561,0.561,0.249,0.033,0.445,0.539,0.003",2725.94677734375,2055.14892578125,"171.8,6456,2555,1917,98.73,4392,6204,12.92",9.97662353515625,11.158710479736328,"1.934,13.04,9.929,12.04,9.169,12.67,13.1,7.934","0.1639,0.9927,0.7781,0.6141,0.1733,0.869,0.9788,0.0502","0.1995,1.325,1.039,1.23,0.9564,1.302,1.333,0.8716",875,0.01145221944898367,81,0.061867404729127884,"4717,613,1486,2832,4963,4942,4131,2261",1.3505297899246216,0.7109375,0.799560546875,"0.289,0.3,0.346,0.3,0.289,0.315,0.283,0.298","1.8,1.59,1.56,1.54,1.41,1.38,1.16,0.961","-0.00101,0.000858,0.000263,0.00204,0.000881,-0.0011,0.00226,0.00185","0,0,0,0.00579,0,0,0,0.00579","0,0,0,0,0,0,0,0",0.050048828125,0.057478830218315125,1,0.01854211650788784,0.006667046807706356
0,o_proj,gptq,5120,5120,0,0.002096748352050781,0.0014682769775390624,235.65701059356797,0.03845160554403808,645.4976806640625,390.7049560546875,3.774686336517334,12.211013793945312,6.092334747314453,13.493636131286621,0.9974719882011414,233.85397338867188,0.08176442980766296,"2254,2193,1138,5055,2936,2283,2408,3607,2301,2279,2194,593,2269,2876,81,2463",492.72796630859375,,,,,0,4.440498352050781,8.920218467712402,3.3359057903289795,7.524129390716553,"0.370,0.537,0.726,0.388,0.355,0.514,0.663,0.262",5816.2744140625,3675.296875,"4985,1.395e+04,5242,6274,5057,3571,5839,1616",10.372730255126953,9.501890182495117,"11.83,13.78,8.341,9.815,9.926,9.962,12.27,7.06","2.02,2.852,1.972,1.721,1.606,2.02,2.973,0.9806","3.32,3.892,2.314,2.762,2.695,2.818,3.652,1.916",4675,0.0378299243748188,1466,0.03457707539200783,"3351,3223,3735,3607,3479,1138,1125,3042",0.684619128704071,0.726489245891571,0.7088379263877869,"0.693,0.72,0.696,0.717,0.636,1.04,1.23,1.41","2.72,2.66,2.59,2.58,2.52,2.22,1.21,1.04","0.287,0.301,0.287,0.301,0.281,-0.0718,-0.0137,-0.171","0.258,0.258,0.258,0.258,0.258,-0.0859,-0.0486,-0.173","0.246,0.258,0.246,0.258,0.241,-0.124,0,-0.146",0.43359375,0.5316267609596252,1,0.31243041157722473,0.45349714159965515
0,gate_proj,gptq,13824,5120,0,0.002112155490451389,0.0014290421097366897,1364.3183295942945,0.05652804716781383,2821.717041015625,1457.06884765625,3.31848406791687,30.295116424560547,6.376307487487793,28.767494201660156,0.97081458568573,1359.477783203125,0.10023382306098938,"927,1158,1542,1711,1679,3170,575,4930,1787,5000,129,3593,1684,4597,4808,4863",224.13125610351562,,,,,0,4.661383152008057,16.524887084960938,2.9860763549804688,17.26541519165039,"0.334,0.327,0.763,0.254,0.171,0.191,0.185,0.201",3543.494140625,2359.841064453125,"5322,6826,3750,3152,2693,2183,3033,1389",7.398901462554932,7.587688446044922,"8.063,9.158,5.705,7.236,8.135,7.015,8.538,5.341","2.553,2.833,2.683,1.954,1.826,1.66,1.992,1.294","4.418,4.953,3.071,3.877,4.412,3.801,4.632,2.885",13805,0.00567591330036521,6420,0.001371867605485022,"3850,4930,3390,28,890,1787,3170,3593",0.7621013522148132,0.3560565114021301,0.2953016459941864,"2.57,2.27,2.72,2.4,2.56,2.27,2.32,3","1.3,0.867,0.766,0.715,0.703,0.699,0.668,0.66","0.0757,-0.0417,-0.0272,-0.305,-0.004,0.0047,-0.0493,-0.0498","0.0871,0,0,-0.261,0,0,-0.0871,-0.0871","0.0516,-0.0382,-0.0308,-0.261,0,0,-0.0513,-0.0391",0.3046875,0.3420447111129761,1,0.13755708932876587,0.1440725475549698
0,up_proj,gptq,13824,5120,0,0.002095455593532986,0.0014192934389467592,1126.4685941256648,0.05289340111666291,2406.842041015625,1251.0654296875,2.927546739578247,25.430397033691406,5.229220390319824,24.25000762939453,0.97081458568573,1122.611572265625,0.07067898660898209,"927,1158,1542,1711,1679,575,3170,4930,1787,5000,129,3593,1684,4597,1145,4863",224.13125610351562,,,,,0,3.830780029296875,13.937368392944336,2.5982491970062256,14.644359588623047,"0.337,0.330,0.637,0.248,0.173,0.195,0.189,0.195",3543.494140625,2359.841064453125,"5322,6826,3750,3152,2693,2183,3033,1389",7.398901462554932,7.587688446044922,"8.063,9.158,5.705,7.236,8.135,7.015,8.538,5.341","2.332,2.63,2.27,1.789,1.677,1.525,1.837,1.193","4.019,4.578,2.843,3.595,4.03,3.455,4.232,2.702",9385,0.001249043270945549,2509,0.0012904247269034386,"3850,4930,3390,28,890,1787,3170,3593",0.5126863718032837,0.3946940004825592,0.39245152473449707,"0.929,2.18,2.12,1.84,2.18,2.13,2.08,1.68","1.3,0.867,0.766,0.715,0.703,0.699,0.668,0.66","-0.00148,0.00934,0.00577,-0.00125,0.00195,-0.00748,0.00507,0.0266","0,0.00882,0.00882,0,0,-0.00882,0.00882,0.0265","0,0.0171,0,0,0,0,0,0.0184",0.08154296875,0.07164512574672699,1,0.05926530063152313,0.05661415681242943
0,down_proj,gptq,5120,13824,0,0.002000300089518229,0.0014574121545862268,2707.132168287644,0.09726600574306099,4533.81396484375,1720.331298828125,4.373790740966797,16.359010696411133,16.838191986083984,15.491605758666992,0.14396485686302185,2698.646240234375,0.14302466809749603,"78,10932,8538,1642,7591,9330,11058,6699,12901,5451,8119,879,13296,3929,2300,7430",471.16522216796875,,,,,0,7.049461364746094,8.579010009765625,19.928565979003906,10.570796012878418,"1.642,0.693,2.128,0.382,0.498,0.928,1.638,0.309",14607.8251953125,45313.9765625,"3.107e+04,2.193e+04,8812,4419,1.352e+04,1.487e+04,2.084e+04,1397",7.560925006866455,8.418004989624023,"7.24,13.03,3.148,6.827,12.35,7.323,6.716,3.855","3.311,3.881,1.681,1.485,3.067,2.484,3.024,0.7889","2.583,4.662,1.152,2.403,4.345,2.578,2.363,1.418",2406,0.008274132385849953,2144,0.003953129053115845,"11834,9003,11455,218,5787,3135,11434,11205",1.6300575733184814,0.33354493975639343,0.3357177674770355,"1.4,1.4,1.39,1.47,1.31,1.48,1.41,1.41","9.12,5.22,2.16,1.87,1.78,1.4,1.34,1.11","0.0188,-0.0141,-0.0369,0.0015,0.0119,0.0203,0.012,0.0153","0.0388,-0.0255,-0.037,0,0,0.037,0,0.0298","0.0294,-0.0205,-0.0314,0,0,0.0254,0,0",0.150390625,0.1440366506576538,1,0.27899253368377686,0.050779763609170914
1,q_proj,gptq,5120,5120,0,0.0019976043701171874,0.0014424896240234374,338.0942375163204,0.3837467768138586,425.5940246582031,85.12911987304688,0.5027790069580078,5.118996620178223,1.0808076858520508,5.306329250335693,0.9789909720420837,335.70196533203125,0.5271784067153931,"4517,2657,11,3388,4775,28,1477,351,1093,3553,4139,4847,157,1290,1372,415",1503.6357421875,,,,,0,0.7330105304718018,2.262697696685791,0.41483837366104126,1.9204245805740356,"0.984,0.315,0.306,0.364,0.339,0.208,0.080,0.136",627.7340087890625,540.7303466796875,"1466,755.1,430.7,326.5,622.4,641.9,629.1,149.6",3.5068531036376953,3.361182928085327,"4.382,3.453,3.355,2.702,3.226,3.586,4.467,2.883","1.637,0.7872,0.9118,0.5531,0.6403,0.6281,0.6523,0.4431","1.651,1.403,1.648,0.9173,1.099,1.378,2.303,1.201",3107,0.0069094812497496605,997,0.016353918239474297,"2657,4775,4517,28,1477,11,1372,157",1.6492692232131958,0.31013184785842896,0.13359375298023224,"2.56,2.32,2.59,2.75,2.24,4.28,2.19,2.7","0.914,0.672,0.625,0.559,0.512,0.49,0.467,0.463","0.187,0.0908,-0.11,0.0491,0.0747,0.118,-0.139,-0.12","0.16,0.107,-0.107,0.0533,0.0533,0.107,-0.16,-0.107","0.16,0.0798,-0.0946,0.0338,0.064,0.101,-0.119,-0.103",0.1865234375,0.1598772406578064,4,0.05322428047657013,0.0625678226351738
1,k_proj,gptq,1024,5120,0,0.0019906997680664063,0.0014616012573242187,86.41364666971336,0.17748495171776327,120.08023071289062,60.8409423828125,0.12907196581363678,1.5486080646514893,0.25415271520614624,1.438462495803833,0.9789909720420837,86.01032257080078,0.4233175218105316,"4517,2657,3388,4775,11,28,1477,3553,351,1093,4139,4847,157,1290,1372,1685",1503.6357421875,,,,,0,0.16778773069381714,0.6507399082183838,0.10126762092113495,0.5698034763336182,"0.869,0.222,0.245,0.296,0.257,0.187,0.073,0.095",627.7340087890625,540.7303466796875,"1466,755.1,430.7,326.5,622.4,641.9,629.1,149.6",3.5068531036376953,3.361182928085327,"4.382,3.453,3.355,2.702,3.226,3.586,4.467,2.883","0.765,0.3892,0.4108,0.2663,0.3273,0.3277,0.3294,0.2071","0.8204,0.8256,0.8307,0.489,0.6456,0.7578,1.217,0.6715",438,0.013393398374319077,117,0.06532056629657745,"2657,4775,4517,28,1477,11,1372,157",1.2400283813476562,0.2801513671875,0.1630859375,"1.36,1.53,1.4,1.43,1.07,1.23,1.22,1.28","0.914,0.672,0.625,0.559,0.512,0.49,0.467,0.463","-0.0146,-0.0449,0.00977,-0.0154,-0.0172,-0.0884,0.00742,0.0698","0,-0.048,0,0,-0.048,-0.096,0,0.048","0,-0.0452,0.0158,-0.0253,-0.0325,-0.101,0,0.0791",0.16796875,0.1919642984867096,1,0.03787921369075775,0.0035571064800024033
1,v_proj,gptq,1024,5120,0,0.001971435546875,0.0014768600463867187,28.599375168867304,0.05257047569084995,63.009056091308594,55.70306396484375,0.04330384358763695,0.28744253516197205,0.07418946921825409,0.27681586146354675,0.9789909720420837,28.395172119140625,0.25995898246765137,"4517,2657,3388,11,4775,28,351,1477,4847,1093,4139,157,1685,1290,3553,415",1503.6357421875,,,,,0,0.0486358180642128,0.13094139099121094,0.03326971456408501,0.11979058384895325,"0.807,0.353,0.366,0.266,0.320,0.258,0.187,0.136",627.7340087890625,540.7303466796875,"1466,755.1,430.7,326.5,622.4,641.9,629.1,149.6",3.5068531036376953,3.361182928085327,"4.382,3.453,3.355,2.702,3.226,3.586,4.467,2.883","0.4024,0.2129,0.2125,0.1454,0.1822,0.1865,0.1898,0.1073","0.448,0.3581,0.3515,0.2819,0.3218,0.3673,0.4387,0.2908",182,0.023621853440999985,170,0.010382051579654217,"2657,4775,4517,28,1477,11,1372,157",0.8303449749946594,0.603759765625,0.6563720703125,"0.204,0.211,0.238,0.26,0.327,0.267,0.292,0.254","0.914,0.672,0.625,0.559,0.512,0.49,0.467,0.463","0.00696,0.00229,0.00607,0.0123,0.000927,-0.008,0.00186,0.0187","0,0,0,0,0,0,0,0.0371","0.01,0,0,0.011,0,-0.011,0,0.0149",0.1298828125,0.1484375,1,0.027997523546218872,0.0073015415109694
