layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected
0,q_proj,gptq,3584,3584,0,0.0021387995505819514,0.001455890889070472,229.63076672237366,0.041326741294693825,547.0535278320312,327.88653564453125,10.005463600158691,65.52225494384766,24.78815269470215,61.386234283447266,0.8420219421386719,228.69720458984375,0.12280496209859848,"1395,1926,3197,2898,822,658,3404,2043,3075,1959,1956,809,1347,115,1122,2604",283.05157470703125,9532.7900390625,,,,0
0,k_proj,gptq,512,3584,0,0.002074650355747768,0.00146484375,55.840119551692624,0.040356994901537324,138.00711059570312,80.7220687866211,2.622652530670166,13.992912292480469,4.826308250427246,12.163804054260254,0.8420219421386719,55.6531867980957,0.07183793932199478,"1395,1926,2898,822,3197,658,2043,3075,1959,1956,1347,3404,809,115,1122,2604",283.05157470703125,9532.7900390625,,,,0
0,v_proj,gptq,512,3584,0,0.0021275111607142855,0.001407623291015625,6.006953753232665,0.0404257112819615,14.854778289794922,8.766284942626953,0.2861158847808838,1.486603021621704,0.5381892323493958,1.345898985862732,0.8420219421386719,5.993916034698486,0.08176770061254501,"1395,1926,2898,658,822,3404,1956,2043,1959,3075,3197,1347,809,115,2604,1122",283.05157470703125,9532.7900390625,,,,0
0,o_proj,gptq,3584,3584,0,0.002130703050263074,0.0014951277752311863,92.15858312594355,0.04636826114748871,232.84521484375,122.56916046142578,1.8757232427597046,4.941756248474121,2.405367851257324,4.769347190856934,0.9925704598426819,91.60047912597656,0.07697228342294693,"77,2180,401,408,502,845,453,386,391,427,394,465,1317,1298,428,417",185.13818359375,22832.3359375,,,,0
0,gate_proj,gptq,18944,3584,0,0.0020976858249502294,0.001504375207378137,4147.558060598356,0.2589434898212482,5220.1708984375,947.913818359375,21.444110870361328,3710.57177734375,346.6241760253906,4781.1962890625,0.9998371601104736,3818.796875,0.6747808456420898,"20,689,1395,1121,1803,1122,3110,2790,3498,1470,294,364,2143,1571,1660,1759",1312.716796875,27900.27734375,,,,0
0,up_proj,gptq,18944,3584,0,0.0021056834335032577,0.0014509105314159025,642.4955803597077,0.054309148758029634,1367.0986328125,718.3887329101562,7.960714340209961,59.18589782714844,13.764108657836914,60.34928512573242,0.9998371601104736,640.8741455078125,0.07528895139694214,"20,1069,792,1507,2456,2043,1205,3349,3046,2659,3124,1395,1860,1266,2451,1707",1312.716796875,27900.27734375,,,,0
0,down_proj,gptq,3584,18944,0,0.0020087842315320344,0.0014392160540842181,1004.0919916932544,0.07559593385975714,1880.65673828125,831.4989013671875,1.9267351627349854,5.903489589691162,6.045345783233643,5.835758686065674,0.1203758642077446,1002.049560546875,0.12092924118041992,"11250,12122,11229,9576,10665,3123,12828,13046,15829,5335,18723,2379,7771,18245,17629,16082",334.9128112792969,7602.751953125,,,,0
1,q_proj,gptq,3584,3584,0,0.002042731460259885,0.0014600169901945153,243.08222532774636,0.07551106347426796,452.4197082519531,235.5513153076172,5.470301151275635,35.63520812988281,11.075966835021973,43.635292053222656,0.9961907267570496,241.80679321289062,0.29884105920791626,"1288,1767,1801,3559,2653,3303,2718,1009,1926,3197,1650,37,2010,1660,3386,2259",891.55029296875,28838.5,,,,0
1,k_proj,gptq,512,3584,0,0.0020550319126674105,0.0014463152204241072,65.98258870046436,0.07385441246018214,121.56980895996094,63.344356536865234,1.4705379009246826,8.566499710083008,2.9998950958251953,8.942864418029785,0.9961907267570496,65.63532257080078,0.30278506875038147,"1288,1767,1801,2653,3559,1009,1926,2718,2010,37,3197,3303,3386,2259,1650,822",891.55029296875,28838.5,,,,0
1,v_proj,gptq,512,3584,0,0.0020157950265066965,0.0014790126255580357,11.645748603163433,0.0347332589315884,32.993507385253906,23.032073974609375,0.30561941862106323,2.048750638961792,0.4721744656562805,2.1268110275268555,0.9961907267570496,11.587571144104004,0.11869270354509354,"1288,3559,1767,2653,1009,2718,2259,1926,822,1660,1121,3386,3197,1887,1650,1621",891.55029296875,28838.5,,,,0
