layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected
0,q_proj,gptq,2048,2048,0,0.0021352767944335938,0.0014536380767822266,8850.565687620838,0.0546452649207283,18621.85546875,12543.83203125,11.906266212463379,205.61215209960938,107.87980651855469,525.8172607421875,0.9326951503753662,8764.77734375,0.6229035258293152,"1195,1271,63,1122,574,1425,1328,1457,1487,881,1467,1463,1340,845,1004,991",744.131103515625,,,,,0
0,k_proj,gptq,2048,2048,0,0.0021092891693115234,0.0014874935150146484,6142.545424129639,0.04031657250384318,15147.3974609375,10269.91015625,8.794322967529297,144.99362182617188,66.44259643554688,340.7383728027344,0.9326951503753662,6108.3291015625,0.5975342392921448,"1195,1271,63,1122,1425,574,1457,1487,1328,881,1467,1463,1340,845,875,991",744.131103515625,,,,,0
0,v_proj,gptq,2048,2048,0,0.0020818710327148438,0.0014102458953857422,132.67539015937655,0.014791491668868803,668.0731201171875,566.0201416015625,0.2689448297023773,2.723660707473755,1.1877856254577637,6.233903884887695,0.9326951503753662,131.0653076171875,0.4000583291053772,"1195,63,1271,1122,1457,574,1425,1487,1328,881,1467,1463,1004,845,1199,1340",744.131103515625,,,,,0
0,o_proj,gptq,2048,2048,0,0.002082347869873047,0.0014700889587402344,379.85702941957425,0.07885644277059206,725.94775390625,443.291259765625,0.28647381067276,1.3298933506011963,2.764604091644287,2.9589571952819824,0.8203613758087158,372.6081237792969,0.2982427179813385,"829,1425,803,781,2003,800,139,418,1118,501,834,1360,923,826,1855,1476",507.74725341796875,,,,,0
0,gate_proj,gptq,8192,2048,0,0.0020914077758789062,0.001467883586883545,4411.245518274605,0.02129398285750989,16433.23828125,12052.044921875,13.039780616760254,26.04733657836914,30.363454818725586,36.40297317504883,0.8899800181388855,4402.6044921875,0.12436056137084961,"875,1170,1195,1122,1249,33,1199,318,1271,534,1902,1425,131,1114,1078,705",219.57350158691406,,,,,0
0,up_proj,gptq,8192,2048,0,0.0021065473556518555,0.0014814138412475586,4026.0390185872093,0.020571006038585384,15350.369140625,11334.42578125,12.271126747131348,23.572601318359375,27.53844451904297,33.59037780761719,0.8899800181388855,4023.248291015625,0.10436182469129562,"875,1170,1195,1122,1249,33,1199,1271,1902,534,318,1425,131,1114,1807,400",219.57350158691406,,,,,0
0,down_proj,gptq,2048,8192,0,0.0020319223403930664,0.0015027523040771484,8837.313129161485,0.04350599926003892,21135.15625,12392.828125,5.94682502746582,18.547182083129883,103.26318359375,80.96781158447266,0.26582053303718567,8799.181640625,0.16201967000961304,"3343,5858,6491,7702,8181,5036,6490,7208,2477,5601,280,2461,4668,5420,7381,7216",369.5740966796875,,,,,0
1,q_proj,gptq,2048,2048,0,0.0021047592163085938,0.001495361328125,4532.611861228943,0.048826875919315164,10285.9189453125,5883.2001953125,39.131717681884766,225.2497100830078,115.88150787353516,225.681640625,0.988106369972229,4468.80078125,0.4279730021953583,"161,875,1170,318,618,1820,415,1602,941,1122,33,749,1195,928,809,705",924.0462646484375,,,,,0
1,k_proj,gptq,2048,2048,0,0.0021059513092041016,0.0014660358428955078,3601.786765009165,0.037975204634990656,9307.8603515625,5951.3876953125,34.24544143676758,268.2480773925781,85.97442626953125,248.13467407226562,0.988106369972229,3592.64501953125,0.37301596999168396,"875,161,1170,318,618,1820,1602,749,33,415,809,941,1122,1195,1558,928",924.0462646484375,,,,,0
1,v_proj,gptq,2048,2048,0,0.0020914077758789062,0.0014340877532958984,585.0306676549371,0.02188428020984544,2130.21240234375,1537.765380859375,7.502402305603027,23.191532135009766,11.71335506439209,20.130990982055664,0.988106369972229,575.6889038085938,0.18045765161514282,"875,1170,318,618,161,1820,1602,415,941,1558,809,928,1979,705,33,1195",924.0462646484375,,,,,0
1,o_proj,gptq,2048,2048,0,0.002126932144165039,0.0014133453369140625,819.3049200684072,0.034306540756897555,2360.5068359375,1511.4052734375,2.9912869930267334,10.429336547851562,7.353271484375,16.571983337402344,0.8266841173171997,807.584716796875,0.12450538575649261,"129,80,105,1656,840,1848,1823,905,150,291,36,891,1275,1564,992,112",229.80984497070312,,,,,0
1,gate_proj,gptq,8192,2048,0,0.002070188522338867,0.0014566779136657715,3835.940806373954,0.017852374415230386,16199.2119140625,12461.58984375,26.830780029296875,47.72228240966797,50.87541198730469,61.9544677734375,0.6637513637542725,3827.54248046875,0.12403997778892517,"875,277,161,318,209,410,809,737,415,1820,1122,1037,1558,1164,705,941",109.52101135253906,,,,,0
1,up_proj,gptq,8192,2048,0,0.002097487449645996,0.001517951488494873,3200.8272053450346,0.01719272555819385,13892.9560546875,10674.78125,23.15028953552246,39.0316162109375,42.264488220214844,50.70510482788086,0.6637513637542725,3198.3291015625,0.10901183634996414,"875,277,161,318,209,410,809,415,737,1037,1820,1122,705,1558,1164,1979",109.52101135253906,,,,,0
1,down_proj,gptq,2048,8192,0,0.0019716620445251465,0.0015235543251037598,35219.38328558346,0.18518013211283213,29467.36328125,11139.9423828125,613.6373901367188,1393.037841796875,4561.7314453125,5035.90283203125,0.999577522277832,24675.85546875,0.9886321425437927,"7348,4987,5232,3971,2724,3335,7909,3076,7663,2942,4444,6666,3809,3136,6034,2221",8048.6728515625,,,,,0
2,q_proj,gptq,2048,2048,0,0.0021038055419921875,0.0014903545379638672,2420.932907421142,0.02923903467126038,7360.5859375,4981.6572265625,59.50644302368164,317.656005859375,153.5067138671875,282.606201171875,0.9383413791656494,2371.211669921875,0.47090208530426025,"618,227,1195,318,33,1170,875,1820,1037,277,809,941,1164,1602,415,705",770.8685302734375,,,,,0
2,k_proj,gptq,2048,2048,0,0.002093791961669922,0.0014820098876953125,1753.7834644056857,0.020966624722131,6596.1591796875,4992.7626953125,52.28486251831055,368.7569885253906,108.37323760986328,329.118896484375,0.9383413791656494,1738.810546875,0.3646927773952484,"227,1195,618,318,33,277,1170,875,1820,809,941,1037,1164,1602,415,705",770.8685302734375,,,,,0
2,v_proj,gptq,2048,2048,0,0.002122163772583008,0.0015306472778320312,554.4705623411573,0.016099350529403617,2530.327392578125,1975.220947265625,19.75910758972168,53.696651458740234,31.974761962890625,48.267822265625,0.9383413791656494,547.115234375,0.24202470481395721,"618,318,1195,33,1820,227,1170,809,875,1037,277,941,1164,415,705,1602",770.8685302734375,,,,,0
2,o_proj,gptq,2048,2048,0,0.00212860107421875,0.0015327930450439453,810.393404199509,0.026636924147500247,2681.21923828125,1841.693115234375,7.657119274139404,15.772418022155762,9.195561408996582,13.396581649780273,0.9818223118782043,809.500244140625,0.11033396422863007,"1599,720,1301,1254,523,1718,806,1133,1384,1276,1223,336,56,924,10,1976",260.6900634765625,,,,,0
2,gate_proj,gptq,8192,2048,0,0.0020546317100524902,0.0014708638191223145,3207.849116081372,0.015099033483817506,15367.544921875,12238.537109375,39.61216354370117,63.37043762207031,67.452880859375,73.27677917480469,0.1967424750328064,3210.923828125,0.08684860914945602,"618,318,809,410,1195,415,1037,209,737,1820,1164,705,277,1558,941,281",48.49175262451172,,,,,0
2,up_proj,gptq,8192,2048,0,0.0020751357078552246,0.0015000700950622559,2796.2534988569096,0.014808273717626053,13605.7109375,10843.28515625,35.175846099853516,55.44831085205078,58.84435272216797,65.15731048583984,0.1967424750328064,2793.10693359375,0.07947009801864624,"618,318,809,410,1195,415,1037,209,737,1164,1820,705,277,1558,941,281",48.49175262451172,,,,,0
2,down_proj,gptq,2048,8192,0,0.002017080783843994,0.001506805419921875,4935.831133975211,0.0256698681889614,16285.2509765625,11265.994140625,24.034427642822266,40.92585754394531,74.63770294189453,53.86298370361328,0.5884132385253906,4934.814453125,0.09402178972959518,"8092,6893,1882,303,1755,1984,1703,785,963,11,5084,5367,8074,1520,1774,4194",55.14823532104492,,,,,0
3,q_proj,gptq,2048,2048,0,0.002106189727783203,0.0014560222625732422,1740.2296571731567,0.02287084872365061,6242.3759765625,4621.92626953125,70.25662994384766,311.395263671875,133.88719177246094,283.13604736328125,0.9449555277824402,1713.5203857421875,0.3880859315395355,"618,1195,318,227,1170,1037,33,161,1164,941,809,1820,705,209,415,1602",626.4275512695312,,,,,0
3,k_proj,gptq,2048,2048,0,0.0020902156829833984,0.0014622211456298828,1641.6280452944338,0.02062879274523079,6281.38330078125,4831.78369140625,70.40644836425781,360.7095947265625,125.07984161376953,326.72918701171875,0.9449555277824402,1624.242431640625,0.3605016767978668,"1195,318,618,227,1170,1037,33,161,1164,941,1820,809,415,705,209,1602",626.4275512695312,,,,,0
3,v_proj,gptq,2048,2048,0,0.0020966529846191406,0.001550912857055664,547.7752232188359,0.015199456270735868,2614.26611328125,2068.2314453125,28.882484436035156,76.13136291503906,40.884056091308594,65.42393493652344,0.9449555277824402,542.2491455078125,0.22889629006385803,"618,318,1195,1170,1037,33,227,1164,941,809,1820,705,415,209,1602,161",626.4275512695312,,,,,0
3,o_proj,gptq,2048,2048,0,0.0021369457244873047,0.0015382766723632812,871.7989557868277,0.027687216419334644,2877.081298828125,1918.185302734375,9.744574546813965,22.5634822845459,10.569718360900879,19.27252960205078,0.9345945119857788,867.1218872070312,0.13214711844921112,"682,184,1328,185,216,720,190,155,1223,1573,276,989,1276,134,681,147",244.7396240234375,,,,,0
3,gate_proj,gptq,8192,2048,0,0.002068758010864258,0.0014867782592773438,3079.3997150808573,0.014716366619263356,15064.109375,12118.591796875,50.031410217285156,82.50186157226562,67.28594207763672,77.478759765625,0.4010700583457947,3072.1015625,0.11335554718971252,"318,618,410,1037,1195,1170,809,209,415,1164,1122,941,705,1558,281,161",88.90801239013672,,,,,0
3,up_proj,gptq,8192,2048,0,0.0020642876625061035,0.0014849305152893066,2818.4503158330917,0.014173816355645182,14214.5517578125,11500.9609375,47.42417907714844,77.25806427001953,61.96857452392578,71.934326171875,0.4010700583457947,2816.33251953125,0.10023019462823868,"318,618,1037,410,1170,1195,809,209,415,1164,1122,941,705,1558,281,161",88.90801239013672,,,,,0
3,down_proj,gptq,2048,8192,0,0.0020076632499694824,0.0015016794204711914,4907.252108463319,0.024564144684681315,16802.171875,11896.1875,41.89122009277344,71.2974624633789,69.36863708496094,74.50064086914062,0.5442835688591003,4896.716796875,0.0879434198141098,"7609,5118,6619,3827,2004,5878,1509,4193,6226,4109,7421,8009,8156,7311,3062,7984",60.78372573852539,,,,,0
4,q_proj,gptq,2048,2048,0,0.0020437240600585938,0.0014634132385253906,1737.8094534404445,0.02363754559728974,6048.2783203125,4420.509765625,78.84358215332031,380.50445556640625,141.67031860351562,366.17535400390625,0.9042887091636658,1703.2978515625,0.4118375778198242,"1195,318,618,1170,1037,161,941,1122,227,705,1164,415,809,410,1602,1558",466.2614440917969,,,,,0
4,k_proj,gptq,2048,2048,0,0.0020728111267089844,0.0014710426330566406,1556.6258398956325,0.02075159583179445,5915.802734375,4507.306640625,76.44470977783203,402.55419921875,129.74380493164062,387.4226379394531,0.9042887091636658,1546.135009765625,0.3727606236934662,"1195,318,618,1170,1037,227,1122,941,705,161,1164,415,809,1602,1558,410",466.2614440917969,,,,,0
4,v_proj,gptq,2048,2048,0,0.002107858657836914,0.0015149116516113281,552.7028355669961,0.015739267865939505,2568.06298828125,2020.54443359375,32.315673828125,99.92408752441406,44.79281234741211,86.13043212890625,0.9042887091636658,547.923583984375,0.2693018317222595,"618,318,1195,1170,1037,941,1122,705,1164,415,161,809,1602,1558,227,410",466.2614440917969,,,,,0
4,o_proj,gptq,2048,2048,0,0.0021126270294189453,0.0014770030975341797,863.6984838383332,0.02800776692664741,2819.82958984375,1872.599365234375,13.84613037109375,30.66655731201172,21.96813201904297,26.766193389892578,0.9056824445724487,860.5391235351562,0.11938141286373138,"1988,1389,1106,1497,401,604,1012,1267,504,1958,1110,1131,2036,2009,277,1101",143.6340789794922,,,,,0
4,gate_proj,gptq,8192,2048,0,0.002090156078338623,0.0015007257461547852,2884.03518743068,0.013814671337531026,14837.357421875,12052.8447265625,63.690834045410156,100.89564514160156,82.77391052246094,94.91112518310547,0.39120227098464966,2880.153076171875,0.09850066155195236,"318,618,1195,410,1170,809,1037,209,415,1164,161,705,1122,2045,941,843",75.51395416259766,,,,,0
4,up_proj,gptq,8192,2048,0,0.0020751953125,0.0014795660972595215,2699.380422092974,0.013387113140557303,14259.5,11661.396484375,61.492774963378906,96.66820526123047,78.27180480957031,90.29661560058594,0.39120227098464966,2696.3671875,0.08753299713134766,"318,618,410,1195,809,1170,209,1037,1164,415,161,705,1122,941,2045,843",75.51395416259766,,,,,0
4,down_proj,gptq,2048,8192,0,0.0020107030868530273,0.0014933943748474121,4451.278432955965,0.022114486270691583,16375.451171875,12056.109375,58.13508987426758,95.65766143798828,98.04110717773438,100.02720642089844,0.23169071972370148,4442.576171875,0.08416765183210373,"2051,3202,444,5587,5411,2225,1231,2336,7565,116,335,5790,6347,3959,5897,1857",15.738537788391113,,,,,0
5,q_proj,gptq,2048,2048,0,0.0020639896392822266,0.0014543533325195312,1683.481468513608,0.02209243887570404,6153.3046875,4518.6005859375,76.37641906738281,349.90277099609375,141.37911987304688,338.0627136230469,0.9161826968193054,1636.824951171875,0.4468683898448944,"1195,618,318,1037,1170,227,1122,941,1164,161,809,705,423,843,2045,1602",592.7652587890625,,,,,0
5,k_proj,gptq,2048,2048,0,0.0020873546600341797,0.0014619827270507812,1546.0224355012178,0.020065798549573924,6028.90625,4636.8935546875,74.4313735961914,464.48236083984375,134.10731506347656,452.5074157714844,0.9161826968193054,1526.498291015625,0.4194954037666321,"1195,318,618,227,1037,1170,1122,941,1164,705,809,423,161,415,2045,1602",592.7652587890625,,,,,0
