layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn
0,q_proj,gptq,4096,4096,0,0.002017378807067871,0.001447439193725586,951.1305351373824,0.16265342825881782,1338.88232421875,482.68939208984375,9.669233322143555,73.55960083007812,3.612448215484619,62.51034927368164,0.9844388961791992,942.7103271484375,0.28101199865341187,"2871,2650,3303,891,1669,565,2646,162,194,3608,2082,2333,4055,2877,133,87",615.4021606445312,,,,,0,0.4241815209388733,21.24724769592285,0.3887560963630676,40.353271484375,"0.033,0.033,1.573,0.018,1.202,0.001,0.017,0.015",115.83482360839844,122.79753112792969,"110.5,110.5,30.33,200.4,25.05,53.93,200.3,195.8",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.9269,0.9269,0.5485,0.6197,0.383,0.2459,0.6115,0.6397","5.128,5.128,0.4373,4.6,0.3494,6.796,4.733,5.228"
0,k_proj,gptq,1024,4096,0,0.0020117759704589844,0.0014109611511230469,647.2103349058411,0.21262932393581413,871.1602172851562,285.19085693359375,6.555220127105713,29.38740348815918,2.4957399368286133,25.975547790527344,0.9844388961791992,640.3287353515625,0.31415900588035583,"2871,3303,2650,891,565,2646,162,1669,194,3608,4055,87,1384,2082,2535,2877",615.4021606445312,,,,,0,0.34283649921417236,13.230652809143066,0.27884984016418457,15.525524139404297,"0.029,0.029,2.668,0.023,2.151,0.003,0.021,0.019",115.83482360839844,122.79753112792969,"110.5,110.5,30.33,200.4,25.05,53.93,200.3,195.8",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.8924,0.8924,0.5183,0.51,0.3324,0.2072,0.4668,0.5001","5.266,5.266,0.3173,3.346,0.2266,3.912,3.215,3.659"
0,v_proj,gptq,1024,4096,0,0.0019922256469726562,0.0014576911926269531,5.490286625592806,0.025078839310024147,18.592060089111328,17.150089263916016,0.05726724863052368,0.4303141236305237,0.021937478333711624,0.34837889671325684,0.9844388961791992,5.332082748413086,0.07168165594339371,"2650,2871,891,565,2646,1669,194,162,2333,3608,3303,87,2304,2082,133,1384",615.4021606445312,,,,,0,0.0033266085665673018,0.12320816516876221,0.003361365757882595,0.2239304780960083,"0.174,0.174,0.342,0.019,0.430,0.008,0.016,0.019",115.83482360839844,122.79753112792969,"110.5,110.5,30.33,200.4,25.05,53.93,200.3,195.8",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.06741,0.06741,0.03516,0.07126,0.02924,0.03423,0.06462,0.07076","0.1618,0.1618,0.06011,0.5157,0.04457,0.3798,0.5063,0.511"
0,o_proj,gptq,4096,4096,0,0.0020995140075683594,0.0014528632164001465,58.09372690503588,0.04980446340343688,143.10121154785156,74.64352416992188,0.004151269793510437,0.01209627091884613,0.0016875028377398849,0.012472154572606087,0.6738458275794983,57.86757278442383,0.13305862247943878,"272,386,3129,383,1341,1311,285,314,372,357,511,263,258,413,1289,255",89.8947982788086,,,,,0,0.0001503047824371606,0.004365229047834873,0.0002167458296753466,0.006754785776138306,"0.068,0.068,0.027,0.099,0.003,0.008,0.068,0.026",164.16326904296875,174.40768432617188,"85.9,85.9,160.7,162.9,221.8,219.4,160.7,216",0.43976396322250366,0.557219386100769,"0.3379,0.3379,0.2705,0.3739,0.6136,0.4913,0.4023,0.6908","0.01257,0.01257,0.006285,0.0169,0.004512,0.006078,0.01432,0.01728","0.04838,0.04838,0.03832,0.05365,0.08361,0.06712,0.05501,0.1066"
0,gate_proj,gptq,14336,4096,0,0.0020656585693359375,0.0015205144882202148,248.39060761089627,0.025802030852390384,834.13818359375,599.827880859375,4.676681995391846,10.698051452636719,2.1757168769836426,10.877683639526367,0.7312405705451965,248.27536010742188,0.04476764053106308,"1669,1856,3488,689,29,2461,2888,3261,3303,2082,607,2871,199,2283,541,3485",17.259401321411133,,,,,0,0.30175554752349854,6.856650352478027,0.28600233793258667,5.115962505340576,"0.023,0.023,0.099,0.044,0.073,0.056,0.043,0.043",186.7196807861328,176.5858154296875,"112.6,112.6,205.4,220.6,200.3,204.1,219.6,218.7",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.4244,0.4244,0.5466,0.6113,0.5585,0.5669,0.6112,0.612","2.821,2.821,1.741,2.925,2.073,2.401,2.933,2.946"
0,up_proj,gptq,14336,4096,0,0.002060856137956892,0.0015333890914916992,197.2325997858535,0.02439712488282152,680.166015625,487.1895446777344,3.8905961513519287,8.619842529296875,1.7987713813781738,8.767976760864258,0.7312405705451965,197.21514892578125,0.03708171471953392,"1669,3488,1856,2461,689,29,2888,2871,199,541,3303,3261,2283,3522,3485,2082",17.259401321411133,,,,,0,0.2505229413509369,5.525938987731934,0.23567724227905273,4.1707963943481445,"0.023,0.023,0.103,0.045,0.077,0.056,0.044,0.044",186.7196807861328,176.5858154296875,"112.6,112.6,205.4,220.6,200.3,204.1,219.6,218.7",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.3835,0.3835,0.4993,0.5625,0.5103,0.5122,0.5603,0.5546","2.504,2.504,1.557,2.652,1.843,2.169,2.666,2.647"
0,down_proj,gptq,4096,14336,0,0.0020146199635096957,0.0015303066798618861,402.8249100725807,0.049643972160169886,916.2218017578125,502.564697265625,0.01459496095776558,0.0720440149307251,0.010475094430148602,0.30712229013442993,0.999681293964386,400.1191101074219,0.10496373474597931,"10585,8268,2605,8001,11579,8733,13768,3106,5647,8509,13667,1456,491,7749,11381,3053",5122.49267578125,,,,,0,0.000531837809830904,0.796333372592926,0.00022236192307900637,0.020450782030820847,"0.000,0.000,0.001,0.004,0.009,0.008,0.004,0.005",197.11497497558594,213.62734985351562,"113.4,113.4,226.6,225.1,223.1,225.4,224.7,225.2",3.3595798015594482,0.7231204509735107,"9.668,9.668,2.239,1.254,0.7945,0.8782,1.275,1.099","0.03828,0.03828,0.01473,0.01481,0.01528,0.01474,0.01474,0.01482","1.728,1.728,0.4307,0.2391,0.1638,0.1629,0.2433,0.2064"
1,q_proj,gptq,4096,4096,0,0.002056121826171875,0.0014661550521850586,444.6781252627619,0.07060181036760636,830.6328735351562,447.267333984375,7.115896701812744,65.33384704589844,3.5399489402770996,60.14576721191406,0.8796716928482056,442.31304931640625,0.1955558806657791,"3572,1935,1472,1306,1902,3829,2593,2345,3490,979,29,50,541,1163,3405,3261",103.6335220336914,,,,,0,1.5795719623565674,22.56451988220215,0.2977820634841919,30.15512466430664,"0.919,0.919,0.015,0.008,0.021,0.013,0.008,0.007",172.253662109375,166.79330444335938,"103.4,103.4,207.4,198,166.5,203.5,195.3,200.4",11.108321189880371,13.574827194213867,"3.96,3.96,12.82,14.45,13,12.84,13.72,14.11","2.308,2.308,0.5879,0.5102,0.7612,0.5824,0.4929,0.466","2.408,2.408,4.776,5.577,5.249,5.073,5.481,5.628"
1,k_proj,gptq,1024,4096,0,0.0020759105682373047,0.0014238357543945312,262.69037461288997,0.08325136538785709,456.12713623046875,252.30661010742188,4.1173882484436035,38.062252044677734,1.9421005249023438,36.108890533447266,0.8796716928482056,261.05096435546875,0.21802504360675812,"3572,1935,1472,3829,1902,1306,2593,3490,2345,29,979,541,3261,50,3405,3869",103.6335220336914,,,,,0,0.5559934377670288,13.78226089477539,0.15659430623054504,17.23312759399414,"1.082,1.082,0.011,0.007,0.019,0.013,0.006,0.006",172.253662109375,166.79330444335938,"103.4,103.4,207.4,198,166.5,203.5,195.3,200.4",11.108321189880371,13.574827194213867,"3.96,3.96,12.82,14.45,13,12.84,13.72,14.11","1.291,1.291,0.4126,0.37,0.6027,0.4569,0.3456,0.3434","1.241,1.241,3.886,4.5,4.326,3.98,4.326,4.309"
1,v_proj,gptq,1024,4096,0,0.0020530223846435547,0.001458883285522461,7.015457841563097,0.02093447743948138,26.575992584228516,20.0921573638916,0.14344364404678345,1.6053400039672852,0.0625469982624054,1.4728021621704102,0.8796716928482056,6.99259090423584,0.1063612625002861,"3572,1472,2822,3448,2058,2717,1935,3508,911,979,482,3327,1932,2347,2578,199",103.6335220336914,,,,,0,0.008924875408411026,0.5603299140930176,0.00961078330874443,0.7383476495742798,"0.634,0.634,0.016,0.011,0.017,0.016,0.012,0.010",172.253662109375,166.79330444335938,"103.4,103.4,207.4,198,166.5,203.5,195.3,200.4",11.108321189880371,13.574827194213867,"3.96,3.96,12.82,14.45,13,12.84,13.72,14.11","0.07516,0.07516,0.1023,0.09773,0.1045,0.1017,0.09876,0.09525","0.09443,0.09443,0.8059,0.9227,0.7907,0.8124,0.8954,0.9365"
