layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x
0,q_proj,gptq,4096,4096,0,0.002031564712524414,0.001447439193725586,704.1308127244248,0.12041385109747589,1208.2728271484375,482.68939208984375,11.51553726196289,74.86592102050781,15.859040260314941,62.51034927368164,0.982268214225769,681.3687744140625,0.4800778031349182,"2650,2871,3303,565,1669,2646,162,2949,2082,891,194,3153,2987,1727,3608,2333",613.0956420898438,,,,,0,14.379888534545898,21.24724769592285,7.8584418296813965,40.353271484375,"1.161,1.161,3.110,0.634,1.569,0.268,0.638,0.481",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","5.524,5.524,0.7711,3.661,0.4376,3.518,3.779,3.628","5.128,5.128,0.4373,4.6,0.3494,6.796,4.733,5.228",102,0.015980789437890053,4022,0.02054618112742901,"2229,2917,2581,345,2126,3483,1508,297",0.1129947155714035,0.34503173828125,0.34625244140625,"1.85,1.84,2.07,1.83,1.96,1.89,1.83,1.83","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762"
0,k_proj,gptq,1024,4096,0,0.0020227432250976562,0.0014109611511230469,381.97728536921954,0.1254917722516141,681.5694580078125,285.19085693359375,6.51180362701416,29.85651969909668,8.76495361328125,25.975547790527344,0.982268214225769,372.06134033203125,0.4540911614894867,"3303,2650,2871,565,1669,2646,162,891,2949,194,3608,2082,3153,3316,1384,1727",613.0956420898438,,,,,0,7.735259532928467,13.230652809143066,4.405703067779541,15.525524139404297,"0.577,0.577,2.983,0.740,2.103,0.432,0.652,0.583",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","4.002,4.002,0.548,2.878,0.3286,2.571,2.597,2.794","5.266,5.266,0.3173,3.346,0.2266,3.912,3.215,3.659",868,0.04001561552286148,875,0.01935468427836895,"2229,2917,2581,345,2126,3483,1508,297",0.10705763846635818,0.304443359375,0.3040771484375,"1.76,1.77,1.79,1.76,1.63,1.68,1.74,1.63","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762"
0,v_proj,gptq,1024,4096,0,0.002081155776977539,0.0014576911926269531,8.766312849598226,0.040043255714857305,26.2357234954834,17.150089263916016,0.18308988213539124,0.43858110904693604,0.19846266508102417,0.34837889671325684,0.982268214225769,8.54705810546875,0.20513585209846497,"2650,3303,2871,1669,2646,194,3153,3745,2949,3608,891,3183,3199,87,565,1421",613.0956420898438,,,,,0,0.10325512290000916,0.12320816516876221,0.11018720269203186,0.2239304780960083,"1.073,1.073,1.622,0.808,1.353,0.938,0.836,0.754",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.1676,0.1676,0.07655,0.4637,0.05184,0.3678,0.4628,0.4437","0.1618,0.1618,0.06011,0.5157,0.04457,0.3798,0.5063,0.511",433,0.01276871282607317,129,0.010903301648795605,"2229,2917,2581,345,2126,3483,1508,297",0.13093356788158417,0.8138427734375,0.817626953125,"0.0661,0.0779,0.0883,0.073,0.0956,0.125,0.104,0.106","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762"
0,o_proj,gptq,4096,4096,0,0.002370119094848633,0.0014528632164001465,48.82421676902044,0.04185759886345591,124.29419708251953,74.64352416992188,0.004369907081127167,0.012571033090353012,0.009423600509762764,0.012472154572606087,0.5945128202438354,48.515716552734375,0.20835527777671814,"4081,372,3129,1311,1341,357,386,314,272,383,285,511,336,1297,344,3651",100.36190032958984,,,,,0,0.003594773355871439,0.004365229047834873,0.004603017121553421,0.006754785776138306,"0.107,0.107,0.234,0.596,1.023,1.172,0.774,1.005",4496.65771484375,4099.30078125,"115.6,115.6,641.6,700.8,1.668e+04,1.179e+04,1541,4383",0.43976396322250366,0.557219386100769,"0.3379,0.3379,0.2705,0.3739,0.6136,0.4913,0.4023,0.6908","0.01581,0.01581,0.01855,0.04143,0.08455,0.07265,0.04838,0.1069","0.04838,0.04838,0.03832,0.05365,0.08361,0.06712,0.05501,0.1066",133,0.015140038914978504,1039,0.014031430706381798,"3907,3932,3651,3676,3779,3804,3129,4035",0.2136799693107605,0.3284912109375,0.3531494140625,"0.41,0.558,0.351,0.383,0.985,0.805,0.805,0.936","0.0869,0.0825,0.0752,0.0732,0.0708,0.0698,0.0674,0.0664"
0,gate_proj,gptq,14336,4096,0,0.002065028463091169,0.0015205144882202148,236.1727689012209,0.024532880402746954,846.84033203125,599.827880859375,5.445408344268799,10.697928428649902,10.079988479614258,10.877683639526367,0.6468554735183716,236.06410217285156,0.039405252784490585,"3303,2871,1669,1856,2560,607,29,689,2461,3902,3513,199,541,2650,3488,103",15.964418411254883,,,,,0,6.050837993621826,6.856650352478027,4.027971267700195,5.115962505340576,"0.093,0.093,0.932,1.208,1.280,1.793,1.093,0.982",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.8594,0.8594,1.681,3.215,2.346,3.215,3.067,2.92","2.821,2.821,1.741,2.925,2.073,2.401,2.933,2.946",10834,0.014125773683190346,8001,0.012039492838084698,"3485,709,29,4046,2389,3104,3596,3608",0.10447733849287033,0.3483276665210724,0.355564683675766,"2.07,1.59,1.81,1.74,1.75,1.78,1.65,1.8","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418"
0,up_proj,gptq,14336,4096,0,0.0020615884235927035,0.0015333890914916992,191.21364248421884,0.023652596579124316,686.6130981445312,487.1895446777344,4.395565032958984,8.61789321899414,8.066723823547363,8.767976760864258,0.6468554735183716,191.15792846679688,0.03839922696352005,"3303,2871,1669,1856,2560,607,689,29,2461,199,3902,541,194,2650,3488,3513",15.964418411254883,,,,,0,4.8326191902160645,5.525938987731934,3.2506961822509766,4.1707963943481445,"0.094,0.094,0.934,1.198,1.260,1.759,1.077,0.942",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.766,0.766,1.504,2.902,2.069,2.876,2.766,2.569","2.504,2.504,1.557,2.652,1.843,2.169,2.666,2.647",12650,0.0017621549777686596,12829,0.002132125897333026,"3485,709,29,4046,2389,3104,3596,3608",0.10175954550504684,0.4120658040046692,0.4246216118335724,"1.34,1.11,1.32,1.08,1.38,1.32,1.26,1.31","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418"
0,down_proj,gptq,4096,14336,0,0.002019780022757394,0.0015303066798618861,328.1780675863641,0.04044452674960026,844.6046752929688,502.564697265625,0.021143019199371338,0.058749884366989136,0.06315456330776215,0.30712229013442993,0.9984935522079468,327.5354919433594,0.11775525659322739,"8268,10585,2605,14005,11579,8509,8001,12829,5647,491,10002,8733,8479,3106,6487,7787",3447.137939453125,,,,,0,0.053575944155454636,0.796333372592926,0.017459768801927567,0.020450782030820847,"0.001,0.001,0.746,1.224,1.677,1.780,1.015,1.388",28983.25,10197.8515625,"209.8,209.8,7.558e+04,3.082e+04,2.455e+04,4.098e+04,2.567e+04,3.386e+04",3.3595798015594482,0.7231204509735107,"9.668,9.668,2.239,1.254,0.7945,0.8782,1.275,1.099","0.06611,0.06611,0.3721,0.2646,0.212,0.2174,0.2452,0.2432","1.728,1.728,0.4307,0.2391,0.1638,0.1629,0.2433,0.2064",585,0.01664852723479271,3931,0.054759617894887924,"12650,12829,1794,10902,10835,10834,5505,10729",0.6302456259727478,0.4290771484375,0.4757080078125,"0.962,0.696,0.853,0.729,0.854,0.819,0.766,0.72","0.216,0.208,0.193,0.176,0.154,0.114,0.107,0.0962"
1,q_proj,gptq,4096,4096,0,0.0020834803581237793,0.0014661550521850586,265.65857465676004,0.04217876986722069,725.30859375,447.267333984375,10.274426460266113,65.73920440673828,22.92759895324707,60.1968879699707,0.8375944495201111,264.31903076171875,0.2616962194442749,"3405,1935,3572,3261,3829,1306,4055,3837,3513,1472,3869,3583,1856,2560,2593,3266",109.49755859375,,,,,0,11.196483612060547,21.644161224365234,8.096593856811523,29.52043914794922,"0.974,0.974,0.713,0.349,0.560,0.830,0.277,0.303",1483.123779296875,1347.7236328125,"178,178,1948,1669,1399,2885,1617,1992",10.977893829345703,13.448741912841797,"3.958,3.958,12.98,14.02,13.27,12.43,13.43,13.78","2.376,2.376,4.088,3.191,3.975,4.323,2.808,3.002","2.407,2.407,4.843,5.404,5.311,4.744,5.338,5.45",1661,0.0069666956551373005,950,0.006585118360817432,"2593,788,1472,709,3266,3104,1298,4046",0.6537700295448303,0.252716064453125,0.252349853515625,"2.07,1.67,1.59,1.79,2.12,1.81,1.58,1.84","3.19,3.14,3.09,3.03,2.84,2.8,2.34,2.23"
1,k_proj,gptq,1024,4096,0,0.002059459686279297,0.0014238357543945312,154.27364807340322,0.048892129619911656,415.23809814453125,252.30661010742188,5.9540534019470215,38.19390106201172,13.560787200927734,36.26000213623047,0.8375944495201111,153.4281768798828,0.26148584485054016,"3405,1935,3261,3572,3829,3837,1472,4055,1306,3513,2560,1856,2593,2345,3583,3104",109.49755859375,,,,,0,6.283053398132324,13.331811904907227,4.7506866455078125,16.90802764892578,"0.927,0.927,0.666,0.331,0.479,0.781,0.262,0.318",1483.123779296875,1347.7236328125,"178,178,1948,1669,1399,2885,1617,1992",10.977893829345703,13.448741912841797,"3.958,3.958,12.98,14.02,13.27,12.43,13.43,13.78","1.194,1.194,3.221,2.533,3.076,3.34,2.157,2.313","1.24,1.24,3.946,4.4,4.447,3.778,4.213,4.105",573,0.025841115042567253,552,0.020497078076004982,"2593,788,1472,709,3266,3104,1298,4046",0.6743415594100952,0.2108154296875,0.20556640625,"1.67,1.66,1.44,1.24,1.71,1.53,1.25,1.57","3.19,3.14,3.09,3.03,2.84,2.8,2.34,2.23"
1,v_proj,gptq,1024,4096,0,0.0021109580993652344,0.001458883285522461,10.504788476928358,0.03134681475439991,31.050872802734375,20.0921573638916,0.40197354555130005,1.6130857467651367,0.7849198579788208,1.48975670337677,0.8375944495201111,10.396890640258789,0.22704549133777618,"3261,3405,3837,4055,3869,979,2560,3513,1472,3553,3583,3829,1856,3488,3361,541",109.49755859375,,,,,0,0.3497301936149597,0.5482666492462158,0.3155220150947571,0.7283477187156677,"0.749,0.749,0.882,0.483,0.780,1.095,0.382,0.388",1483.123779296875,1347.7236328125,"178,178,1948,1669,1399,2885,1617,1992",10.977893829345703,13.448741912841797,"3.958,3.958,12.98,14.02,13.27,12.43,13.43,13.78","0.08147,0.08147,0.7636,0.6222,0.7141,0.8217,0.5466,0.5748","0.09411,0.09411,0.8133,0.8956,0.8089,0.7852,0.8841,0.9233",996,0.00962928868830204,955,0.016695668920874596,"2593,788,1472,709,3266,3104,1298,4046",0.5855823755264282,0.8349609375,0.8779296875,"0.069,0.0762,0.0788,0.0647,0.0831,0.0789,0.0751,0.126","3.19,3.14,3.09,3.03,2.84,2.8,2.34,2.23"
