layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn
0,q_proj,gptq,4096,4096,0,7.164478302001953e-05,3.081560134887695e-05,349.0018213343339,0.059683019955196204,645.03466796875,295.56158447265625,3.8696935176849365,19.324359893798828,5.286777496337891,15.667570114135742,0.982268214225769,343.52130126953125,0.18498563766479492,"2871,2650,3303,891,2646,162,565,1669,194,3608,4055,2333,2877,87,133,1384",613.0956420898438,,,,,0,2.988966226577759,6.342652797698975,2.7493793964385986,9.690164566040039,"0.110,0.110,2.124,0.724,1.526,0.651,0.634,0.469",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.8961,0.8961,0.4885,2.447,0.3191,2.372,2.338,2.211","2.703,2.703,0.3351,2.875,0.2583,2.941,2.935,3.228"
0,k_proj,gptq,1024,4096,0,6.771087646484375e-05,3.361701965332031e-05,250.5943079324921,0.08232825621612014,473.725341796875,225.2379913330078,2.796837329864502,12.962116241455078,3.8088457584381104,10.825111389160156,0.982268214225769,248.54820251464844,0.18420922756195068,"2871,3303,2650,891,162,565,2646,1669,194,3608,4055,2082,2877,2333,133,3153",613.0956420898438,,,,,0,2.135794162750244,5.043306827545166,2.0719637870788574,6.62944221496582,"0.086,0.086,2.435,0.651,1.948,0.720,0.696,0.464",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.8062,0.8062,0.4186,2.07,0.289,1.958,1.975,1.874","2.753,2.753,0.2683,2.564,0.2071,2.308,2.367,2.751"
0,v_proj,gptq,1024,4096,0,9.059906005859375e-05,3.24249267578125e-05,5.677678514134709,0.025934818493121334,13.712894439697266,8.014077186584473,0.064194455742836,0.2492496222257614,0.08489828556776047,0.1979212462902069,0.982268214225769,5.625583648681641,0.1390109360218048,"891,2650,2871,1669,194,2646,565,162,2333,87,3608,2082,264,3153,1384,2535",613.0956420898438,,,,,0,0.045404694974422455,0.07466209679841995,0.04430815204977989,0.124606192111969,"0.131,0.131,2.336,0.675,1.965,0.840,0.653,0.494",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.05672,0.05672,0.06053,0.3163,0.0424,0.2797,0.3059,0.282","0.1568,0.1568,0.03961,0.385,0.03025,0.3052,0.3787,0.4011"
0,o_proj,gptq,4096,4096,0,7.706880569458008e-05,3.546476364135742e-05,28.526329932817617,0.02445597194161464,78.28530883789062,49.71200180053711,0.0021463236771523952,0.008070362731814384,0.005343686789274216,0.007642184384167194,0.5945128202438354,28.536020278930664,0.11228756606578827,"272,314,386,1311,1341,383,372,285,3129,511,357,1289,413,336,1297,258",100.36190032958984,,,,,0,0.0019364446634426713,0.0025128046981990337,0.0026429099962115288,0.003980518318712711,"0.097,0.097,0.245,0.562,0.919,1.147,0.809,0.936",4496.65771484375,4099.30078125,"115.6,115.6,641.6,700.8,1.668e+04,1.179e+04,1541,4383",0.43976396322250366,0.557219386100769,"0.3379,0.3379,0.2705,0.3739,0.6136,0.4913,0.4023,0.6908","0.01163,0.01163,0.01466,0.03118,0.06276,0.05712,0.0408,0.07189","0.03736,0.03736,0.0296,0.04157,0.06545,0.05334,0.04537,0.0743"
0,gate_proj,gptq,14336,4096,0,7.607255663190569e-05,2.7946063450404574e-05,107.63496939693516,0.011180780255291694,373.28955078125,266.1838073730469,2.2627410888671875,4.701287269592285,4.078936576843262,4.822198390960693,0.6468554735183716,107.48159790039062,0.03694567829370499,"1669,3488,1856,2461,2888,689,29,3261,199,2082,3303,2871,2300,2283,541,607",15.964418411254883,,,,,0,2.4754176139831543,3.072840690612793,1.6527457237243652,2.2704830169677734,"0.042,0.042,0.736,1.160,1.127,1.642,1.052,0.926",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.3863,0.3863,0.9966,2.156,1.431,2.065,1.991,1.893","1.894,1.894,1.162,2.002,1.348,1.611,1.941,1.967"
0,up_proj,gptq,14336,4096,0,7.767336709158761e-05,2.5050980704171316e-05,82.01031600252895,0.010144448348628743,285.9150085449219,203.97940063476562,1.7270184755325317,3.5915284156799316,3.1373703479766846,3.6714401245117188,0.6468554735183716,82.00021362304688,0.036689117550849915,"3488,1856,1669,689,2461,29,2888,3261,2283,199,2082,2871,541,607,3522,2300",15.964418411254883,,,,,0,1.892303228378296,2.3288025856018066,1.2872742414474487,1.7343616485595703,"0.041,0.041,0.744,1.171,1.135,1.655,1.044,0.924",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.3319,0.3319,0.8621,1.879,1.257,1.809,1.757,1.645","1.637,1.637,0.9993,1.737,1.18,1.406,1.72,1.711"
0,down_proj,gptq,4096,14336,0,2.8133392333984375e-05,6.794929504394531e-06,275.50299165597244,0.03395287259009948,584.7297973632812,307.99249267578125,0.009224144741892815,0.036583978682756424,0.03556239604949951,0.1073773056268692,0.9984935522079468,274.5114440917969,0.0828300341963768,"8268,10585,2605,5647,8001,8733,3106,13768,8509,8631,7749,1456,11381,3024,10002,3053",3447.137939453125,,,,,0,0.02981853485107422,0.2361949235200882,0.009709577076137066,0.01609509438276291,"0.001,0.001,0.750,0.796,1.951,1.846,0.749,0.976",28983.25,10197.8515625,"209.8,209.8,7.558e+04,3.082e+04,2.455e+04,4.098e+04,2.567e+04,3.386e+04",3.3595798015594482,0.7231204509735107,"9.668,9.668,2.239,1.254,0.7945,0.8782,1.275,1.099","0.02136,0.02136,0.2868,0.1814,0.1686,0.1847,0.1664,0.1796","0.9043,0.9043,0.3311,0.2033,0.1207,0.1359,0.1923,0.1818"
1,q_proj,gptq,4096,4096,0,7.987022399902344e-05,3.1113624572753906e-05,167.09718409423522,0.026530119279897343,422.18048095703125,255.0380859375,3.050015926361084,25.108896255493164,8.719392776489258,23.687580108642578,0.8603203296661377,166.701904296875,0.1812371164560318,"3572,1935,1306,1472,3829,1902,2345,3490,50,2593,3261,979,541,29,1163,103",109.91220092773438,,,,,0,4.135967254638672,9.286155700683594,3.02011775970459,11.705751419067383,"0.929,0.929,0.573,0.286,0.506,0.783,0.228,0.266",1456.95947265625,1339.89013671875,"174.8,174.8,1972,1664,1301,2867,1571,1931",11.058980941772461,13.550621032714844,"3.928,3.928,13.02,14.2,12.68,12.99,13.63,14.09","1.191,1.191,2.526,1.921,2.301,2.909,1.693,1.885","1.236,1.236,3.336,3.594,3.235,3.287,3.547,3.652"
1,k_proj,gptq,1024,4096,0,7.581710815429688e-05,3.314018249511719e-05,85.64629456776122,0.027142871046128,218.1939239501953,132.68064880371094,1.5643612146377563,13.211315155029297,4.484156608581543,12.110806465148926,0.8603203296661377,85.655029296875,0.1809866726398468,"3572,1935,1306,1472,3829,1902,2345,3490,2593,50,979,541,1163,3261,29,4091",109.91220092773438,,,,,0,2.0699970722198486,4.69446325302124,1.5391700267791748,6.07566499710083,"0.981,0.981,0.533,0.272,0.493,0.832,0.234,0.282",1456.95947265625,1339.89013671875,"174.8,174.8,1972,1664,1301,2867,1571,1931",11.058980941772461,13.550621032714844,"3.928,3.928,13.02,14.2,12.68,12.99,13.63,14.09","0.7322,0.7322,1.755,1.313,1.652,2.116,1.227,1.405","0.7391,0.7391,2.404,2.516,2.353,2.319,2.537,2.646"
1,v_proj,gptq,1024,4096,0,8.082389831542969e-05,3.361701965332031e-05,5.112287175616646,0.01525532088697594,13.078128814697266,7.970003128051758,0.09300562739372253,0.7666060924530029,0.25517189502716064,0.682608425617218,0.8603203296661377,5.101202964782715,0.17499375343322754,"1472,3572,1935,1902,1306,3829,3490,979,29,2345,50,1163,541,3261,103,3553",109.91220092773438,,,,,0,0.1170826405286789,0.24493524432182312,0.09119632840156555,0.348312109708786,"1.001,1.001,0.631,0.345,0.565,0.873,0.280,0.273",1456.95947265625,1339.89013671875,"174.8,174.8,1972,1664,1301,2867,1571,1931",11.058980941772461,13.550621032714844,"3.928,3.928,13.02,14.2,12.68,12.99,13.63,14.09","0.07303,0.07303,0.4289,0.3437,0.3954,0.5144,0.3088,0.328","0.07301,0.07301,0.5399,0.5854,0.526,0.5505,0.5837,0.6279"
