layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.0019463300704956055,0.0009789466857910156,201.29805153227272,0.03442410581299976,277.9859619140625,119.8445053100586,2.171584129333496,17.272336959838867,3.265986204147339,14.511381149291992,0.982268214225769,200.88479614257812,0.28400322794914246,"2871,2650,3303,891,2646,162,565,1669,194,3608,4055,2333,2877,87,133,2535",613.0956420898438,,,,,0,1.8517402410507202,4.530557632446289,1.7563937902450562,9.560879707336426,"0.112,0.112,4.113,0.746,2.955,0.359,0.678,0.472",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.7362,0.7362,0.4034,1.856,0.2528,2.01,1.804,1.663","2.196,2.196,0.1989,2.149,0.1471,3.356,2.19,2.42",167,0.034220997244119644,360,0.018330782651901245,"2229,2917,2581,345,2126,3483,1508,297",0.08961784839630127,0.185516357421875,0.167083740234375,"1.85,1.84,2.07,1.83,1.96,1.89,1.83,1.83","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","-0.0762,0.0547,0.0366,-0.00279,0.0171,-0.0129,-0.102,0.00806","-0.0696,0.0348,0.0348,0,0,0,-0.104,0","-0.0661,0.0917,0.0677,0,0,-0.0201,-0.105,0",0.6875,0.7333333492279053,1,0.0467720627784729,0.0019604330882430077
0,k_proj,gptq,1024,4096,0,0.0019199848175048828,0.000982522964477539,137.2329656216254,0.04508542451825684,180.45819091796875,71.20096588134766,1.4877045154571533,6.7337541580200195,2.278237819671631,5.734214782714844,0.982268214225769,137.54766845703125,0.3188532888889313,"2871,3303,2650,891,162,565,2646,1669,194,3608,2333,4055,133,2082,2877,1384",613.0956420898438,,,,,0,1.3116583824157715,2.6937742233276367,1.197714924812317,3.52323055267334,"0.091,0.091,6.307,0.990,3.661,0.830,0.977,0.669",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.6941,0.6941,0.3534,1.526,0.2137,1.67,1.562,1.343","2.303,2.303,0.1407,1.534,0.1117,1.833,1.58,1.642",294,0.029324613511562347,799,0.024511421099305153,"2229,2917,2581,345,2126,3483,1508,297",0.0842408761382103,0.167724609375,0.145751953125,"1.76,1.77,1.79,1.76,1.63,1.68,1.74,1.63","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","0.0522,-0.0591,-0.0437,0.0371,0.00964,0.0266,-0.0322,-0.0579","0.0574,-0.0574,-0.0287,0.0574,0,0.0373,-0.0287,-0.0745","0.0526,-0.0802,-0.0372,0.0354,0,0.0247,-0.0242,-0.0708",0.6015625,0.5614583492279053,2,0.03659573197364807,0.011990098282694817
0,v_proj,gptq,1024,4096,0,0.0019540786743164062,0.0009741783142089844,1.1947422660075186,0.005457410760018653,4.123866081237793,4.108158111572266,0.01324385404586792,0.13629019260406494,0.01625002920627594,0.10690081119537354,0.982268214225769,1.1775333881378174,0.0794525220990181,"2871,2650,891,565,162,2646,1669,3303,194,4055,3608,133,2333,1384,87,2082",613.0956420898438,,,,,0,0.008366363123059273,0.03822838515043259,0.008558674715459347,0.06694062054157257,"0.086,0.086,0.692,0.259,0.675,0.283,0.248,0.176",777.8392944335938,789.6871948242188,"199.5,199.5,49.45,1637,36.83,1127,1624,1349",6.209587097167969,8.476394653320312,"7.273,7.273,0.9,8.473,0.6844,7.462,8.334,9.278","0.0409,0.0409,0.02405,0.1313,0.01795,0.1168,0.1342,0.1175","0.1392,0.1392,0.02891,0.2582,0.02185,0.2194,0.2694,0.2799",178,0.012528585270047188,291,0.011895968578755856,"2229,2917,2581,345,2126,3483,1508,297",0.07246997952461243,0.253173828125,0.5067138671875,"0.0661,0.0779,0.0883,0.073,0.0956,0.125,0.104,0.106","0.134,0.127,0.115,0.108,0.0874,0.085,0.0762,0.0762","0.000359,-0.00629,0.0117,0.00369,-0.00677,0.00314,-0.00293,-0.00337","0,-0.00641,0.0112,0.00321,-0.00641,0.00272,-0.00321,-0.00272","0,-0.00632,0.0121,0.00412,-0.00573,0.00326,-0.00384,-0.00412",0.037353515625,0.03672077879309654,1,0.002009297488257289,0.0003008958010468632
0,o_proj,gptq,4096,4096,0,0.0020034313201904297,0.000979602336883545,12.744276980860256,0.010925824702795864,31.121288299560547,16.4160099029541,0.0009785222355276346,0.0028109708800911903,0.0023838775232434273,0.0027067973278462887,0.5945128202438354,12.738664627075195,0.12385362386703491,"386,272,314,1311,383,1341,3129,372,285,511,1289,357,258,336,413,1297",100.36190032958984,,,,,0,0.000859854044392705,0.0009341283002868295,0.0011764391092583537,0.0015038696583360434,"0.129,0.129,0.265,0.767,1.006,1.432,1.475,0.931",4496.65771484375,4099.30078125,"115.6,115.6,641.6,700.8,1.668e+04,1.179e+04,1541,4383",0.43976396322250366,0.557219386100769,"0.3379,0.3379,0.2705,0.3739,0.6136,0.4913,0.4023,0.6908","0.007683,0.007683,0.008718,0.02194,0.03976,0.0378,0.03016,0.04779","0.02143,0.02143,0.01692,0.02505,0.03965,0.03158,0.02484,0.04954",133,0.011101465672254562,133,0.03131147474050522,"3907,3932,3651,3676,3779,3804,3129,4035",0.20476669073104858,0.213897705078125,0.175628662109375,"0.41,0.558,0.351,0.383,0.985,0.805,0.805,0.936","0.0869,0.0825,0.0752,0.0732,0.0708,0.0698,0.0674,0.0664","-0.0146,-0.0121,0.115,-0.0674,-0.062,-0.179,-0.0554,-0.196","-0.0201,0,0.108,-0.0802,-0.0641,-0.169,-0.0539,-0.182","-0.0254,0,0.105,-0.0785,-0.05,-0.175,-0.0609,-0.183",0.404296875,0.3773437738418579,1,0.004189349245280027,0.007015235722064972
0,gate_proj,gptq,14336,4096,0,0.0019988843372889926,0.0010737861905779158,53.1391327585124,0.005519925073222692,179.0521697998047,131.4609375,1.0528056621551514,2.3437247276306152,2.0111284255981445,2.381321430206299,0.6468554735183716,53.153343200683594,0.04597937688231468,"1856,3488,1669,2461,689,2888,29,2082,3261,3485,199,2871,607,2283,2300,541",15.964418411254883,,,,,0,1.214371919631958,1.5042052268981934,0.801275372505188,1.1190111637115479,"0.039,0.039,0.753,1.113,1.142,1.773,1.021,0.880",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.2592,0.2592,0.7131,1.477,1.029,1.48,1.398,1.299","1.305,1.305,0.8217,1.4,0.9626,1.111,1.383,1.385",10834,0.0059298258274793625,10834,0.0059405118227005005,"3485,709,29,4046,2389,3104,3596,3608",0.09415221959352493,0.1748395711183548,0.1725202351808548,"2.07,1.59,1.81,1.74,1.75,1.78,1.65,1.8","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418","-0.209,0.0825,-0.219,-0.598,0.0542,-0.136,-0.147,-0.0518","-0.206,0.0823,-0.206,-0.558,0.0797,-0.159,-0.123,-0.0411","-0.195,0.0859,-0.204,-0.558,0.0547,-0.143,-0.146,-0.0487",0.59765625,0.5576629042625427,1,0.07921893894672394,0.07419128715991974
0,up_proj,gptq,14336,4096,0,0.001989671162196568,0.001082028661455427,42.06407270023362,0.005203208981993506,145.871826171875,106.4202880859375,0.8775089383125305,1.8813550472259521,1.616027593612671,1.9159126281738281,0.6468554735183716,42.081459045410156,0.038288015872240067,"1856,3488,1669,689,2461,2888,29,3261,2082,2283,199,2300,2871,607,3522,3485",15.964418411254883,,,,,0,0.9779133796691895,1.2038931846618652,0.6557170152664185,0.9025862216949463,"0.040,0.040,0.709,1.205,1.099,1.697,1.022,0.928",4215.6396484375,2769.432373046875,"206.7,206.7,1829,7544,3736,7776,6659,5769",6.71059513092041,5.813721656799316,"7.307,7.307,4.473,7.731,5.293,6.263,7.692,7.62","0.2368,0.2368,0.6176,1.352,0.9029,1.311,1.252,1.183","1.179,1.179,0.7336,1.232,0.8615,1.006,1.239,1.228",12410,0.0015619893092662096,2612,0.001481909304857254,"3485,709,29,4046,2389,3104,3596,3608",0.07327087968587875,0.195940300822258,0.2098650336265564,"1.34,1.11,1.32,1.08,1.38,1.32,1.26,1.31","0.633,0.594,0.539,0.52,0.5,0.445,0.422,0.418","0.0233,0.00543,-0.00238,0.00316,0.00343,-0.000263,-0.0181,-0.00812","0.0217,0.00544,0,0.0084,0.0084,0,-0.0163,-0.00544","0.0223,0.00518,0,0.00407,0,0,-0.019,-0.00951",0.0634765625,0.06718628853559494,1,0.035685885697603226,0.005268846172839403
0,down_proj,gptq,4096,14336,0,0.0019712107522147043,0.0010726962770734514,100.77220516329908,0.012419124097227152,211.52438354492188,111.32923126220703,0.00329179922118783,0.01374872401356697,0.014383791014552116,0.08152532577514648,0.9984935522079468,100.66204833984375,0.10498114675283432,"8268,10585,2605,491,8001,8733,5647,13768,8631,1456,3106,11579,7749,11381,8509,3024",3447.137939453125,,,,,0,0.011495486833155155,0.21689116954803467,0.003611565800383687,0.004458343610167503,"0.000,0.000,0.798,0.901,2.323,2.090,0.804,1.229",28983.25,10197.8515625,"209.8,209.8,7.558e+04,3.082e+04,2.455e+04,4.098e+04,2.567e+04,3.386e+04",3.3595798015594482,0.7231204509735107,"9.668,9.668,2.239,1.254,0.7945,0.8782,1.275,1.099","0.01789,0.01789,0.1739,0.108,0.1197,0.1145,0.1011,0.1086","0.9082,0.9082,0.1947,0.1138,0.07851,0.07917,0.1127,0.09792",1268,0.10560007393360138,291,0.08863116800785065,"12650,12829,1794,10902,10835,10834,5505,10729",0.5455508828163147,0.22906494140625,0.243804931640625,"0.962,0.696,0.853,0.729,0.854,0.819,0.766,0.72","0.216,0.208,0.193,0.176,0.154,0.114,0.107,0.0962","0.0135,-0.0108,-0.00522,0.00412,-0.0149,0.0483,0.0145,-0.00995","0,-0.0198,-0.00989,0,-0.132,0.15,0.0169,-0.0118","0.012,-0.0108,-0.0042,0.00358,-0.0129,0.0451,0.0149,-0.00846",0.1484375,0.18182741105556488,1,0.03888215124607086,0.0008854132611304522
1,q_proj,gptq,4096,4096,0,0.0019907355308532715,0.0009917616844177246,97.36943753638663,0.015459403496590526,178.40379333496094,98.3383560180664,1.5645970106124878,14.619688034057617,5.02468204498291,13.261479377746582,0.8608255982398987,97.22869110107422,0.1979045867919922,"3572,1935,1306,1472,3829,1902,3490,2345,2593,979,2717,50,3261,541,29,2058",110.36817169189453,,,,,0,2.4045445919036865,5.125249862670898,1.6267833709716797,6.651956558227539,"1.072,1.072,0.609,0.289,0.553,0.752,0.225,0.252",1446.1783447265625,1333.5458984375,"181.2,181.2,1938,1636,1292,2860,1571,1911",11.037334442138672,13.53394889831543,"3.959,3.959,12.86,14.4,12.59,12.72,13.69,14.13","1.146,1.146,1.847,1.422,1.801,2.143,1.245,1.339","1.107,1.107,2.367,2.643,2.422,2.472,2.625,2.664",1016,0.007831299677491188,945,0.014478558674454689,"788,3104,709,2593,4046,3266,1472,4055",0.7880045771598816,0.13970947265625,0.12060546875,"1.67,1.81,1.79,2.07,1.84,2.12,1.59,1.54","3.34,2.88,2.83,2.62,2.55,2.38,2.36,2.22","0.0732,-0.0159,0.13,-0.00867,0.0201,-0.189,0.112,-0.0488","0.087,0,0.13,0,0.0435,-0.174,0.13,-0.087","0.0684,-0.0169,0.127,0,0.0328,-0.177,0.106,-0.0328",0.326171875,0.34791669249534607,1,0.15935452282428741,0.12951694428920746
1,k_proj,gptq,1024,4096,0,0.0020058155059814453,0.0009698867797851562,56.71487774559628,0.017973977984858364,97.00617218017578,55.3147087097168,0.8933460712432861,8.442981719970703,2.997511863708496,7.805441856384277,0.8608255982398987,56.607154846191406,0.2180740237236023,"3572,1935,1306,1472,1902,3829,2345,3490,2593,979,1163,541,3261,50,29,103",110.36817169189453,,,,,0,1.3440959453582764,2.8839292526245117,0.928787112236023,3.8043458461761475,"1.334,1.334,0.594,0.267,0.537,0.905,0.231,0.256",1446.1783447265625,1333.5458984375,"181.2,181.2,1938,1636,1292,2860,1571,1911",11.037334442138672,13.53394889831543,"3.959,3.959,12.86,14.4,12.59,12.72,13.69,14.13","0.6656,0.6656,1.368,1.087,1.449,1.673,0.9347,1.02","0.5763,0.5763,1.775,2.102,1.977,1.759,1.943,2.015",502,0.033854443579912186,295,0.033789947628974915,"788,3104,709,2593,4046,3266,1472,4055",0.7697672843933105,0.1368408203125,0.105712890625,"1.66,1.53,1.24,1.67,1.57,1.71,1.44,0.954","3.34,2.88,2.83,2.62,2.55,2.38,2.36,2.22","-0.0449,-0.0212,0.0562,0.0145,-0.024,-0.114,0.0165,-0.0464","-0.0474,0,0.0474,0,0,-0.0948,0,-0.0474","-0.051,-0.0185,0.05,0.0189,-0.018,-0.106,0.0194,-0.0539",0.35546875,0.3317708671092987,1,0.26656901836395264,0.04241766035556793
1,v_proj,gptq,1024,4096,0,0.0020143985748291016,0.000949859619140625,1.529233866518909,0.004563310421262268,5.747653484344482,4.409358024597168,0.0320793054997921,0.4266778230667114,0.06613925844430923,0.38252362608909607,0.8608255982398987,1.527345895767212,0.10966242849826813,"3572,1306,1935,2058,1472,2717,3448,1902,482,2822,2973,3508,689,3829,887,1515",110.36817169189453,,,,,0,0.033112719655036926,0.14047132432460785,0.028074434027075768,0.18889491260051727,"0.812,0.812,0.283,0.158,0.217,0.435,0.155,0.186",1446.1783447265625,1333.5458984375,"181.2,181.2,1938,1636,1292,2860,1571,1911",11.037334442138672,13.53394889831543,"3.959,3.959,12.86,14.4,12.59,12.72,13.69,14.13","0.05891,0.05891,0.2177,0.1839,0.1875,0.2693,0.1764,0.1949","0.06538,0.06538,0.4091,0.4632,0.4028,0.4081,0.4474,0.4521",1000,0.046984732151031494,957,0.009699994698166847,"788,3104,709,2593,4046,3266,1472,4055",0.4953835904598236,0.310546875,0.587158203125,"0.0762,0.0789,0.0647,0.069,0.126,0.0831,0.0788,0.0546","3.34,2.88,2.83,2.62,2.55,2.38,2.36,2.22","-0.0181,-0.0332,0.00519,-0.014,-0.0476,-0.0308,-0.0094,-0.00583","-0.0169,-0.0339,0.00846,-0.0169,-0.0423,-0.0339,-0.00846,-0.00846","-0.0201,-0.031,0.00898,-0.0162,-0.0494,-0.0309,-0.0114,-0.00706",0.0966796875,0.09295137971639633,1,0.04064967855811119,0.010442654602229595
