tag,model,calib,n_calib,seqlen,role,layer,d_in,d_out,n_tokens,A_bos,rank1_share_B,norm_x0_sq,lambda,kappa,kappa_iso,sm_check,n_bos_cols90_J,actorder_topJ_overlap,pat_cos_x0_bos,pat_cos_v_bos,pat_cos_rand_bos,pat_bosmass_bos,pat_norm_bos,pat_cos_x0_ord,pat_cos_v_ord,pat_bosmass_ord,pat_norm_ord,nob_pat_cos_x0_bos,nob_pat_cos_v_bos,nob_pat_bosmass_bos,nob_pat_norm_bos,share_S_x0,share_S_v,share_S_rand,share_S_top1,cos_top1_x0,cos_top1_v,n_bos_cols90,colshare_S_bos,colshare_Dnob_bos,normS_over_normDnob,toprow_share_S,toprow_S,share_D_x0,share_D_v,share_D_rand,toprow_share_D,toprow_D,share_C_x0,share_C_v,share_C_rand,share_Eg_x0,share_Eg_v,share_Er_x0,share_Er_v,normD_over_normEr,normC_over_normEr,toprow_share_C,toprow_C,toprow_share_Eg,toprow_Eg,toprow_share_Er,maxabs_W,maxabs_Qg,maxabs_Qnob,n_clip_g,n_clip_nob,n_clip_r,seconds
f_f3_c4,tiiuae/Falcon3-7B-Instruct,c4,128,2048,sink,3,23040,3072,55179,0.501325,0.99999,1147.7,0.00496821,5731.96,231009,1.52389e-11,1,1,0.841883,0.128246,0.00163476,0,4.37217,0.0346313,0.0202376,0,2.53124,0.422354,0.819599,0,3.79109,1.39254e-05,0.000261771,4.65082e-05,0.0116296,0.030423,0.0550885,1,0,0,0.914184,0.00703196,2427,3.40806e-05,6.74575e-05,4.40805e-05,0.00839876,2427,5.14319e-06,1.88479e-05,4.40461e-05,1.12288e-09,6.92798e-06,1.21764e-05,3.39866e-05,0.79004,1.53161,0.00342369,2696,0.0035735,2427,0.00280744,1.14062,1.82831,1.30357,3127,3115,104374,13.4
f_f3_c4,tiiuae/Falcon3-7B-Instruct,c4,128,2048,control+3,6,23040,3072,55179,0.000620719,0.99939,0.769078,0.00269047,88.6203,285.853,2.37892e-13,20,0,0.331825,0.109432,0.00478216,0.129808,0.978983,0.00553322,0.00510908,0.00230694,2.30033,0.0782297,0.0736627,0.0283659,0.864114,0.000117943,0.000147424,4.5091e-05,0.00250915,0.00188327,0.00203729,20,0.00113103,0.00118775,0.993928,0.0023213,2696,5.25457e-05,4.03347e-05,4.50783e-05,0.00304457,2696,1.831e-05,2.63039e-05,4.50457e-05,5.86914e-07,1.68951e-05,4.58256e-05,4.45723e-05,0.857554,1.57439,0.00264,2696,0.002598,2696,0.00227859,1.02344,1.16964,1.16964,3125,3137,106806,12.8
f_f3_c4,tiiuae/Falcon3-7B-Instruct,c4,128,2048,control+11,14,23040,3072,55179,0.000467036,0.998825,0.375669,0.00174764,23.9871,214.958,7.69103e-14,217,0.271889,0.0532517,0.0134245,0.00549296,0.0299755,1.28272,0.00302169,0.0049805,0.0207225,2.13411,0.0296142,0.0251174,0.0282929,1.27401,8.4741e-05,0.000164774,4.27145e-05,0.00947341,0.0100181,0.0118795,217,0.00315943,0.00493863,0.954882,0.0093422,2696,5.38262e-05,4.16759e-05,4.3567e-05,0.0107293,2696,1.9079e-05,3.29443e-05,4.39842e-05,1.3494e-06,2.58175e-05,4.66338e-05,4.42527e-05,0.803234,1.53785,0.00929368,2696,0.00891513,2696,0.00908731,1.20312,1.375,1.375,3110,3124,106059,13
f_granite_c4,ibm-granite/granite-3.1-8b-instruct,c4,128,2048,sink,5,12800,4096,62659,0.991227,0.999882,1.92256e+06,7.57736,168.794,253724,3.04329e-12,1,1,0.906718,0.025633,0.0114801,0,20.5668,0.551841,0.136485,0,0.345715,0.871408,0.0931705,0,20.1024,5.5742e-05,0.125299,3.36055e-05,0.872277,0.0077548,0.376115,1,0,0,1.49756,0.554151,3433,0.000343438,0.032454,5.51029e-06,0.60485,3433,5.18621e-05,0.00310458,6.36339e-05,1.06219e-06,0.00364236,0.000103751,8.57077e-05,1.20382,1.30901,0.151898,3433,0.180916,3433,0.00436803,0.761719,1.9127,3.26539,4362,4199,81181,6.9
f_granite_c4,ibm-granite/granite-3.1-8b-instruct,c4,128,2048,control+3,8,12800,4096,62659,0.00118153,0.999936,1.4977,0.00495182,21.6722,302.453,9.88866e-14,2148,0.22486,0.0413372,0.0288637,0.013295,0.160314,0.731532,0.00145172,0.00701592,0.17225,1.82488,0.0153415,0.0157175,0.160049,0.729963,0.000136928,0.000322214,7.86836e-05,0.00481241,0.0143494,0.00589698,2148,0.15971,0.161037,0.93076,0.00455702,484,0.000118564,0.000180072,7.89339e-05,0.00754847,484,3.61993e-05,7.20451e-05,7.97505e-05,1.55558e-06,5.11659e-05,8.0926e-05,8.10055e-05,0.7426,1.49241,0.00534718,484,0.00500943,484,0.00490988,0.582031,0.498884,0.498884,4169,4186,81175,7.3
f_granite_c4,ibm-granite/granite-3.1-8b-instruct,c4,128,2048,control+15,20,12800,4096,62659,0.00101173,0.99995,3.38288,0.0130618,17.9544,258.991,7.37312e-14,2465,0.252333,0.0447938,0.0354671,0.0132161,0.188475,0.698879,0.00147488,0.00633302,0.198309,2.28309,0.0151157,0.0162682,0.187692,0.697609,0.000252331,0.000653343,8.33399e-05,0.0030725,0.0376007,0.0535541,2465,0.185349,0.189547,0.770451,0.00279743,484,0.000133628,0.000211576,7.94275e-05,0.0143768,484,3.57625e-05,7.11755e-05,8.20285e-05,1.61333e-06,5.29637e-05,8.0667e-05,7.83398e-05,0.738338,1.49142,0.00589639,484,0.00669484,484,0.0027486,0.691406,0.592634,0.592634,4229,4209,81169,7.5
f_hermes3_c4,NousResearch/Hermes-3-Llama-3.1-8B,c4,128,2048,sink,1,14336,4096,53700,0.997823,1,1030.29,0.0036012,117485,286095,8.55262e-12,1,1,0.772346,0.310463,0.00501512,0,11.5533,0.193383,0.211483,0,0.436372,0.428981,0.605775,0,2.4459,8.84334e-05,0.000973101,8.46584e-06,0.876709,0.00989048,0.032689,1,0,0,2.83347,0.367777,1384,9.39179e-05,0.000960497,4.15402e-07,0.418462,1384,6.86971e-06,4.47116e-05,5.07588e-05,2.71099e-06,0.000100929,5.24624e-05,0.00010254,2.18739,1.79054,0.255952,1384,0.28233,1384,0.00425869,0.710938,10.1133,0.609375,4228,4214,90401,7.8
f_hermes3_c4,NousResearch/Hermes-3-Llama-3.1-8B,c4,128,2048,control+3,4,14336,4096,53700,0.000212553,1,0.00399177,6.55e-05,5.65982,60.9431,1.46018e-13,2860,0.292657,0.0302472,0.0211984,0.0109717,0.165016,0.730038,0.0021646,0.00627793,0.207226,1.64501,0.0158387,0.0164598,0.1644,0.729601,0.000147859,0.000311159,6.79217e-05,0.00461136,0.00306862,0.0151449,2860,0.157713,0.17157,0.867651,0.00437451,4055,9.34302e-05,0.000105305,6.91435e-05,0.00954058,4055,3.51073e-05,6.14393e-05,7.03703e-05,6.84008e-06,4.95941e-05,7.22196e-05,7.11713e-05,0.703157,1.47064,0.00738967,4055,0.00692262,4055,0.00620274,0.660156,0.61141,0.610845,4164,4167,90625,8.3
f_hermes3_c4,NousResearch/Hermes-3-Llama-3.1-8B,c4,128,2048,control+15,16,14336,4096,53700,0.000213967,1,0.0214368,0.000349425,6.15158,61.3487,5.49977e-13,1056,0.241477,0.0314188,0.0180181,0.0108532,0.0602084,0.809861,0.00347605,0.00676349,0.0761247,1.76128,0.0153296,0.0157998,0.059673,0.808803,0.000153177,0.000326798,6.5761e-05,0.00608575,0.050319,0.0636344,1056,0.0481562,0.0553652,0.864232,0.00586971,4055,8.52494e-05,8.74462e-05,6.70762e-05,0.0113028,4055,3.35998e-05,5.85128e-05,6.67337e-05,8.47503e-06,5.11034e-05,7.22983e-05,6.93995e-05,0.721444,1.48386,0.00682315,4055,0.00710428,4055,0.00452126,0.8125,0.696429,0.696429,4174,4169,90238,7.8
f_l32_c4,meta-llama/Llama-3.2-3B-Instruct,c4,128,2048,sink,1,8192,3072,53700,0.99808,1,1914.18,0.0117057,69487.5,163525,7.8126e-12,1,1,0.883251,0.364127,0.000544322,0,15.5502,0.0908736,0.232634,0,0.343766,0.494801,0.659917,0,2.26234,8.17719e-05,0.00267469,2.11914e-05,0.826494,0.0096569,0.0555973,1,0,0,2.38292,0.215782,3046,9.13013e-05,0.00283706,6.18835e-07,0.258257,3046,2.71592e-05,0.000257132,0.00010328,2.18595e-05,0.000454009,6.51345e-05,0.00011701,1.56772,1.3357,0.0723566,3046,0.0855816,3046,0.00387026,0.683594,4.2546,0.585938,3172,3164,35554,4.2
