prompt,dW,T,n_tpl,L0,q_full,q_diag,q_diag_std,ratio_full_over_diag,first_order,finite_diff,q_diag_tpl,q_diag_ord
0,lesion,106,9,365.9384765625,-27.13262176513672,-13.139249801635742,5.344818115234375,-27132621765136.72,-17.939727783203125,70.52716064453125,-14.447389602661133,-0.37968000769615173
0,rtn,106,9,365.9384765625,0.9645287394523621,0.6794714331626892,0.37531861662864685,1.419528021896132,-2.0391387939453125,-1.1741943359375,nan,nan
0,random,106,9,365.9384765625,2.7402992248535156,1.6709524393081665,0.6098393797874451,1.6399624312395729,-2.811312198638916,-0.51544189453125,nan,nan
1,lesion,67,9,254.46182250976562,-69.8330307006836,-61.1220703125,6.719415664672852,-69833030700683.59,-16.87405776977539,20.819488525390625,-61.3272590637207,0.16705769300460815
1,rtn,67,9,254.46182250976562,-0.7858926653862,-0.9689560532569885,0.35120081901550293,-785892665386.2,-1.6729755401611328,-1.297882080078125,nan,nan
1,random,67,9,254.46182250976562,-0.9558144807815552,-1.4432282447814941,0.5662027597427368,-955814480781.5552,-4.471528053283691,-5.1710968017578125,nan,nan
2,lesion,68,9,263.7020568847656,25.441579818725586,24.25468635559082,4.804742336273193,1.0489346036363476,-17.184614181518555,51.893951416015625,21.552387237548828,0.7563965916633606
2,rtn,68,9,263.7020568847656,1.1399922370910645,0.18749234080314636,0.6040549278259277,6.0802069684967845,-1.8325809240341187,-0.118896484375,nan,nan
2,random,68,9,263.7020568847656,0.7263016700744629,0.3926900029182434,0.7230780124664307,1.849554775209483,1.5670700073242188,2.546905517578125,nan,nan
3,lesion,105,9,434.4676513671875,53.074546813964844,41.66020965576172,7.7477264404296875,1.2739865510164203,11.007217407226562,78.524169921875,39.29941177368164,-0.1724005788564682
3,rtn,105,9,434.4676513671875,0.45643749833106995,-0.25418388843536377,1.0047179460525513,456437498331.06995,-1.6612476110458374,-0.477294921875,nan,nan
3,random,105,9,434.4676513671875,7.585854530334473,5.766044616699219,1.8848129510879517,1.3156080180796463,3.9151997566223145,4.353515625,nan,nan
4,lesion,69,9,281.7749328613281,-77.37062072753906,-70.81439208984375,6.375087261199951,-77370620727539.06,-20.899078369140625,53.540283203125,-68.45378112792969,-0.43565991520881653
4,rtn,69,9,281.7749328613281,-0.7062785625457764,-0.3363773822784424,0.3065473437309265,-706278562545.7764,1.4680850505828857,0.954559326171875,nan,nan
4,random,69,9,281.7749328613281,-1.8895848989486694,-2.3221328258514404,0.34904441237449646,-1889584898948.6694,1.2586179971694946,-0.3758544921875,nan,nan
5,lesion,102,9,352.909423828125,-156.6943359375,-156.19091796875,6.304705619812012,-156694335937500.0,12.611751556396484,44.33489990234375,-155.2364044189453,-0.24308916926383972
5,rtn,102,9,352.909423828125,-0.31997621059417725,-0.6342483758926392,0.6488058567047119,-319976210594.17725,1.462477445602417,1.10693359375,nan,nan
5,random,102,9,352.909423828125,3.941761016845703,0.8131943941116333,1.1996371746063232,4.847255521420365,2.3259754180908203,3.2891845703125,nan,nan
6,lesion,71,9,324.77899169921875,45.27782440185547,38.472957611083984,13.201709747314453,1.1768740230361445,-7.384718894958496,37.313568115234375,39.83971405029297,-0.2646960914134979
6,rtn,71,9,324.77899169921875,0.8126461505889893,-0.07392340153455734,0.4173528850078583,812646150588.9893,-0.9159930944442749,-0.863677978515625,nan,nan
6,random,71,9,324.77899169921875,0.9772993326187134,-0.7852516770362854,0.5139886736869812,977299332618.7134,-0.1978245973587036,1.09869384765625,nan,nan
7,lesion,75,9,328.68572998046875,584.5352172851562,603.1524047851562,35.822574615478516,0.9691335268626982,12.854548454284668,65.46112060546875,600.5823974609375,-0.08858990669250488
7,rtn,75,9,328.68572998046875,-1.6359472274780273,-0.5117935538291931,1.1483399868011475,-1635947227478.0273,0.40479716658592224,-2.751068115234375,nan,nan
7,random,75,9,328.68572998046875,-0.14078599214553833,0.3172345757484436,0.7038546800613403,-0.44379144931912123,0.06839078664779663,5.813201904296875,nan,nan
8,lesion,46,9,206.61631774902344,46.52299118041992,35.84625244140625,12.704336166381836,1.297848115544734,2.508232593536377,72.15913391113281,34.018096923828125,-0.14258576929569244
8,rtn,46,9,206.61631774902344,-0.13890710473060608,-0.12170541286468506,0.5708069205284119,-138907104730.60608,-0.9567213654518127,-1.295196533203125,nan,nan
8,random,46,9,206.61631774902344,-1.2359362840652466,-1.6884676218032837,0.23004499077796936,-1235936284065.2466,0.22160062193870544,-1.1767120361328125,nan,nan
9,lesion,76,9,290.20709228515625,126.64750671386719,114.73231506347656,5.039807319641113,1.1038520981974298,-28.96678924560547,36.51861572265625,118.5645523071289,-0.5113041996955872
9,rtn,76,9,290.20709228515625,0.6695561408996582,0.3695305585861206,0.23249539732933044,1.8119100716906351,-3.4886727333068848,-1.8363037109375,nan,nan
9,random,76,9,290.20709228515625,-2.422548294067383,-2.352686882019043,0.47458553314208984,-2422548294067.383,0.680600106716156,-0.126068115234375,nan,nan
10,lesion,51,9,173.123046875,-61.49213409423828,-49.148223876953125,14.000326156616211,-61492134094238.28,-58.802677154541016,85.05450439453125,-51.25816345214844,-0.370578795671463
10,rtn,51,9,173.123046875,0.3265790343284607,0.5624301433563232,0.4525717794895172,0.5806570614789384,-5.836014747619629,-4.602813720703125,nan,nan
10,random,51,9,173.123046875,-2.3015315532684326,-0.5862283706665039,0.8163060545921326,-2301531553268.4326,9.127735137939453,6.026824951171875,nan,nan
11,lesion,64,9,244.9227294921875,52.143287658691406,47.74917221069336,4.224862575531006,1.0920249555030819,-36.85468292236328,29.530792236328125,47.73860549926758,-0.492243230342865
11,rtn,64,9,244.9227294921875,0.10581141710281372,-0.5636522173881531,0.4382568895816803,105811417102.81372,1.7141962051391602,1.8722686767578125,nan,nan
11,random,64,9,244.9227294921875,-1.9589520692825317,-2.6792054176330566,0.9822635054588318,-1958952069282.5317,-1.208382487297058,-3.6408843994140625,nan,nan
12,lesion,64,9,235.64649963378906,-106.2567367553711,-106.19173431396484,3.632727861404419,-106256736755371.1,9.93907642364502,54.61204528808594,-106.848876953125,0.08702588081359863
12,rtn,64,9,235.64649963378906,0.6754409074783325,0.35003072023391724,0.24482476711273193,1.9296617937618485,-0.8947423696517944,-0.262542724609375,nan,nan
12,random,64,9,235.64649963378906,0.4475911855697632,-0.28842735290527344,0.2210361361503601,447591185569.7632,1.1004093885421753,0.759033203125,nan,nan
13,lesion,58,9,241.71041870117188,1.7544679641723633,3.3607187271118164,3.893869400024414,0.5220514141866742,-7.433173656463623,32.415863037109375,2.7843477725982666,0.22603102028369904
13,rtn,58,9,241.71041870117188,1.1455581188201904,1.0218045711517334,0.16824236512184143,1.1211127363904503,-2.376342296600342,-1.5425262451171875,nan,nan
13,random,58,9,241.71041870117188,0.31034913659095764,0.2688716948032379,0.3600712716579437,1.154264813252556,1.926906943321228,1.9322052001953125,nan,nan
14,lesion,48,9,175.9716033935547,33.66791915893555,49.830238342285156,10.928397178649902,0.6756523805419065,-24.20330238342285,59.3973388671875,50.153350830078125,0.460411012172699
14,rtn,48,9,175.9716033935547,-0.8921000957489014,-0.4641329050064087,0.4857768714427948,-892100095748.9014,-4.5568156242370605,-4.3360748291015625,nan,nan
14,random,48,9,175.9716033935547,-0.118051677942276,-0.2684175670146942,0.8128765821456909,-118051677942.276,-3.566288471221924,-4.075469970703125,nan,nan
15,lesion,64,9,302.2280578613281,65.12033081054688,69.16913604736328,2.5574984550476074,0.9414651466219847,-38.438594818115234,37.8436279296875,69.03311920166016,-0.10853371024131775
15,rtn,64,9,302.2280578613281,0.7822192907333374,0.5256472826004028,0.47744205594062805,1.4881067906670424,-2.2822813987731934,-0.987518310546875,nan,nan
15,random,64,9,302.2280578613281,0.5268694758415222,-0.17172448337078094,0.23728559911251068,526869475841.5222,1.7209508419036865,1.50872802734375,nan,nan
