module,n_crit,crit_disp_gptq,crit_disp_rtn,rand_disp_gptq,rand_disp_rtn
model.layers.0.mlp.down_proj,2333,0.01351882889866829,0.013042517006397247,0.0030549464281648397,0.0024256149772554636
model.layers.0.mlp.gate_proj,943,0.015128628350794315,0.016381176188588142,0.0030407938174903393,0.002641265979036689
model.layers.0.mlp.up_proj,404,0.008571813814342022,0.009409083053469658,0.0028674036730080843,0.0024387789890170097
model.layers.0.self_attn.k_proj,5288,0.019219253212213516,0.02141035534441471,0.009128318168222904,0.005626854486763477
model.layers.0.self_attn.o_proj,1917,0.010484244674444199,0.011477968655526638,0.002332564676180482,0.0017223753966391087
model.layers.0.self_attn.q_proj,3282,0.017961017787456512,0.0205177441239357,0.005419250577688217,0.0035037463530898094
model.layers.0.self_attn.v_proj,127,0.0018260084325447679,0.002579095773398876,0.0014825111720710993,0.0015832551289349794
model.layers.1.mlp.down_proj,1111,0.030977312475442886,0.01408587396144867,0.0024348548613488674,0.002519814996048808
model.layers.1.mlp.gate_proj,1064,0.014962074346840382,0.016407787799835205,0.0030111863743513823,0.002646065317094326
model.layers.1.mlp.up_proj,629,0.014594389125704765,0.020670831203460693,0.002781619317829609,0.0024914355017244816
model.layers.1.self_attn.k_proj,2394,0.01479641068726778,0.017305582761764526,0.0076003060676157475,0.0058770449832081795
model.layers.1.self_attn.o_proj,1763,0.013930088840425014,0.01577642746269703,0.0026080599054694176,0.0019134050235152245
model.layers.1.self_attn.q_proj,1231,0.013319646008312702,0.01573249325156212,0.00523298978805542,0.004134335555136204
model.layers.1.self_attn.v_proj,49,0.003128674579784274,0.003954517655074596,0.00239559100009501,0.0017365824896842241
model.layers.10.mlp.down_proj,140,0.01873081736266613,0.02297363243997097,0.002892937045544386,0.0025354453828185797
model.layers.10.mlp.gate_proj,303,0.011270353570580482,0.01334796566516161,0.003257534233853221,0.0028993808664381504
model.layers.10.mlp.up_proj,140,0.010213796980679035,0.011844308115541935,0.0026882034726440907,0.0023677689023315907
model.layers.10.self_attn.k_proj,1242,0.015401843003928661,0.018203170970082283,0.006553622893989086,0.0057815490290522575
model.layers.10.self_attn.o_proj,166,0.0134126590564847,0.015062079764902592,0.00265186233446002,0.0019608046859502792
model.layers.10.self_attn.q_proj,1243,0.009566953405737877,0.011856434866786003,0.004204172175377607,0.003760973922908306
model.layers.10.self_attn.v_proj,29,0.0054026637226343155,0.005314267706125975,0.0019612477626651525,0.0022295918315649033
model.layers.11.mlp.down_proj,181,0.020518602803349495,0.023161660879850388,0.002668080385774374,0.0022957997862249613
